"Chr","Start","End","Value"
1,98000001,100000000,0.060515
1,99000001,101000000,0.0899455
1,100000001,102000000,0.0880926
1,101000001,103000000,0.0602554
1,102000001,104000000,0.0589858
1,103000001,105000000,0.0657527
1,104000001,106000000,0.0753331
1,105000001,107000000,0.0535114
1,106000001,108000000,0.0524606
1,107000001,109000000,0.0673044
1,108000001,110000000,0.0610294
1,109000001,111000000,0.0605327
1,110000001,112000000,0.0727182
1,111000001,113000000,0.057684
1,112000001,114000000,0.0606206
1,113000001,115000000,0.0698515
1,114000001,116000000,0.0529863
1,115000001,117000000,0.0697479
1,116000001,118000000,0.0680555
1,117000001,118073833,0.0449332
1,118000001,118073833,0.0175593
10,1,2000000,0.0693177
10,1000001,3000000,0.0695619
10,2000001,4000000,0.0696851
10,3000001,5000000,0.0607951
10,4000001,6000000,0.0699386
10,5000001,7000000,0.0631263
10,6000001,8000000,0.0584639
10,7000001,9000000,0.0949236
10,8000001,10000000,0.0824073
10,9000001,11000000,0.0587719
10,10000001,12000000,0.0628129
10,11000001,13000000,0.0744638
10,12000001,14000000,0.0717246
10,13000001,15000000,0.07858
10,14000001,16000000,0.0807178
10,15000001,17000000,0.0774721
10,16000001,18000000,0.0762409
10,17000001,19000000,0.0711216
10,18000001,20000000,0.0693919
10,19000001,21000000,0.0544695
10,20000001,22000000,0.0524484
10,21000001,23000000,0.0622455
10,22000001,24000000,0.0804037
10,23000001,25000000,0.0853519
10,24000001,26000000,0.0685803
10,25000001,27000000,0.06257
10,26000001,28000000,0.0702811
10,27000001,29000000,0.0728862
10,28000001,30000000,0.0725576
10,29000001,31000000,0.0663142
10,30000001,32000000,0.0762895
10,31000001,33000000,0.0786369
10,32000001,34000000,0.0695021
10,33000001,35000000,0.0829869
10,34000001,36000000,0.0902318
10,35000001,37000000,0.0716633
10,36000001,38000000,0.0602985
10,37000001,39000000,0.0640479
10,38000001,40000000,0.0596703
10,39000001,41000000,0.0492242
10,40000001,42000000,0.0603649
10,41000001,43000000,0.0609721
10,42000001,44000000,0.0657441
10,43000001,45000000,0.0693347
10,44000001,46000000,0.0631148
10,45000001,47000000,0.0613078
10,46000001,48000000,0.063368
10,47000001,49000000,0.06666
10,48000001,50000000,0.0421931
10,49000001,51000000,0.0420785
10,50000001,52000000,0.0625569
10,51000001,53000000,0.0648193
10,52000001,54000000,0.0667772
10,53000001,55000000,0.0746651
10,54000001,56000000,0.0816617
10,55000001,57000000,0.0620846
10,56000001,57983155,0.0502822
10,57000001,57983155,0.0520492
11,1,2000000,0.0797686
11,1000001,3000000,0.0928415
11,2000001,4000000,0.0934564
11,3000001,5000000,0.0754315
11,4000001,6000000,0.0758379
11,5000001,7000000,0.0662993
11,6000001,8000000,0.0550864
11,7000001,9000000,0.0579395
11,8000001,10000000,0.0627217
11,9000001,11000000,0.0818559
11,10000001,12000000,0.0826454
11,11000001,13000000,0.0951434
11,12000001,14000000,0.0919041
11,13000001,15000000,0.0635877
11,14000001,16000000,0.055032
11,15000001,17000000,0.0759539
11,16000001,18000000,0.0797525
11,17000001,19000000,0.0725872
11,18000001,20000000,0.0588722
11,19000001,21000000,0.0619977
11,20000001,22000000,0.0793875
11,21000001,23000000,0.0782438
11,22000001,24000000,0.0854471
11,23000001,25000000,0.0772457
11,24000001,26000000,0.062526
11,25000001,27000000,0.0570496
11,26000001,28000000,0.0573544
11,27000001,29000000,0.0592518
11,28000001,30000000,0.0534814
11,29000001,31000000,0.0507972
11,30000001,32000000,0.0638268
11,31000001,33000000,0.0752382
11,32000001,34000000,0.07474
11,33000001,35000000,0.082591
11,34000001,36000000,0.0835813
11,35000001,37000000,0.0771884
11,36000001,38000000,0.0758941
11,37000001,39000000,0.0746347
11,38000001,40000000,0.0808427
11,39000001,41000000,0.0821049
11,40000001,42000000,0.0809957
11,41000001,43000000,0.0810067
11,42000001,44000000,0.0702984
11,43000001,45000000,0.0711559
11,44000001,46000000,0.0701342
11,45000001,47000000,0.0696155
11,46000001,48000000,0.0675585
11,47000001,49000000,0.0676198
11,48000001,50000000,0.0644583
11,49000001,50685131,0.0548749
11,50000001,50685131,0.0551247
12,1,2000000,0.0640921
12,1000001,3000000,0.0587867
12,2000001,4000000,0.0854529
12,3000001,5000000,0.0929808
12,4000001,6000000,0.071078
12,5000001,7000000,0.0763386
12,6000001,8000000,0.0676388
12,7000001,9000000,0.0676016
12,8000001,10000000,0.0722436
12,9000001,11000000,0.085011
12,10000001,12000000,0.0772286
12,11000001,13000000,0.0735097
12,12000001,14000000,0.0661351
12,13000001,15000000,0.0687226
12,14000001,16000000,0.0711175
12,15000001,17000000,0.0676931
12,16000001,18000000,0.076744
12,17000001,19000000,0.0715821
12,18000001,20000000,0.0650323
12,19000001,21000000,0.0691759
12,20000001,22000000,0.0636268
12,21000001,23000000,0.0654989
12,22000001,24000000,0.0713988
12,23000001,25000000,0.0730281
12,24000001,26000000,0.0548737
12,25000001,27000000,0.0451594
12,26000001,28000000,0.0642498
12,27000001,29000000,0.0649985
12,28000001,30000000,0.123973
12,29000001,31000000,0.133258
12,30000001,32000000,0.052061
12,31000001,32552834,0.0395001
12,32000001,32552834,0.0282606
13,1,2000000,0.0590209
13,1000001,3000000,0.0555897
13,2000001,4000000,0.0567675
13,3000001,5000000,0.0637303
13,4000001,6000000,0.0729514
13,5000001,7000000,0.0685745
13,6000001,8000000,0.0681892
13,7000001,9000000,0.0750786
13,8000001,10000000,0.0680629
13,9000001,11000000,0.0566715
13,10000001,12000000,0.0649476
13,11000001,13000000,0.0759227
13,12000001,14000000,0.0829509
13,13000001,15000000,0.0817161
13,14000001,16000000,0.0649398
13,15000001,17000000,0.0619745
13,16000001,18000000,0.0603886
13,17000001,19000000,0.0542478
13,18000001,20000000,0.0621516
13,19000001,21000000,0.0606237
13,20000001,22000000,0.0592759
13,21000001,23000000,0.0650725
13,22000001,24000000,0.0718826
13,23000001,25000000,0.0683763
13,24000001,25667229,0.0622595
13,25000001,25667229,0.0692047
14,1,2000000,0.0496617
14,1000001,3000000,0.0731702
14,2000001,4000000,0.0958763
14,3000001,5000000,0.0847122
14,4000001,6000000,0.0714978
14,5000001,7000000,0.0692903
14,6000001,8000000,0.0549249
14,7000001,9000000,0.0665191
14,8000001,10000000,0.107312
14,9000001,11000000,0.103681
14,10000001,12000000,0.0642648
14,11000001,13000000,0.0663256
14,12000001,14000000,0.0900424
14,13000001,15000000,0.10106
14,14000001,16000000,0.0866223
14,15000001,17000000,0.0744401
14,16000001,18000000,0.0870779
14,17000001,19000000,0.0849783
14,18000001,20000000,0.0770668
14,19000001,21000000,0.0727197
14,20000001,22000000,0.0553331
14,21000001,23000000,0.062153
14,22000001,24000000,0.0680496
14,23000001,25000000,0.0757498
14,24000001,26000000,0.0782837
14,25000001,27000000,0.0706199
14,26000001,28000000,0.0642387
14,27000001,29000000,0.0708546
14,28000001,30000000,0.092041
14,29000001,31000000,0.111009
14,30000001,32000000,0.0801206
14,31000001,33000000,0.0698615
14,32000001,34000000,0.0781613
14,33000001,35000000,0.0653527
14,34000001,36000000,0.0521371
14,35000001,37000000,0.0645265
14,36000001,38000000,0.104621
14,37000001,39000000,0.106361
14,38000001,40000000,0.0575846
14,39000001,41000000,0.0517747
14,40000001,42000000,0.0751587
14,41000001,43000000,0.0973811
14,42000001,44000000,0.0856562
14,43000001,45000000,0.0544829
14,44000001,46000000,0.0489541
14,45000001,47000000,0.0641215
14,46000001,48000000,0.0871873
14,47000001,49000000,0.105822
14,48000001,50000000,0.0818761
14,49000001,51000000,0.0535367
14,50000001,52000000,0.0557843
14,51000001,53000000,0.0561408
14,52000001,53685928,0.0690222
14,53000001,53685928,0.0932246
15,1,2000000,0.0414206
15,1000001,3000000,0.0638594
15,2000001,4000000,0.08819
15,3000001,5000000,0.0522373
15,4000001,6000000,0.0438862
15,5000001,7000000,0.060897
15,6000001,8000000,0.0609481
15,7000001,9000000,0.0603288
15,8000001,10000000,0.0541741
15,9000001,11000000,0.0482921
15,10000001,12000000,0.0673574
15,11000001,13000000,0.0687292
15,12000001,13456278,0.0749238
15,13000001,13456278,0.132499
16,1,2000000,0.0530701
16,1000001,3000000,0.0636468
16,2000001,4000000,0.069451
16,3000001,5000000,0.0599015
16,4000001,6000000,0.0588813
16,5000001,7000000,0.101116
16,6000001,8000000,0.104054
16,7000001,9000000,0.0658217
16,8000001,10000000,0.0756118
16,9000001,11000000,0.106413
16,10000001,12000000,0.107675
16,11000001,13000000,0.0776688
16,12000001,14000000,0.101413
16,13000001,15000000,0.132182
16,14000001,16000000,0.107315
16,15000001,17000000,0.0999521
16,16000001,18000000,0.0846799
16,17000001,19000000,0.0619218
16,18000001,20000000,0.0572684
16,19000001,21000000,0.0930503
16,20000001,22000000,0.14156
16,21000001,23000000,0.130868
16,22000001,24000000,0.0647851
16,23000001,25000000,0.0563957
16,24000001,26000000,0.0643079
16,25000001,27000000,0.060123
16,26000001,28000000,0.0552596
16,27000001,28459215,0.0576127
16,28000001,28459215,0.0542991
17,1,2000000,0.0599549
17,1000001,3000000,0.0659768
17,2000001,4000000,0.0734553
17,3000001,5000000,0.0693824
17,4000001,6000000,0.0474224
17,5000001,7000000,0.0586788
17,6000001,8000000,0.0686489
17,7000001,9000000,0.074833
17,8000001,10000000,0.0898197
17,9000001,11000000,0.0973937
17,10000001,12000000,0.0911154
17,11000001,13000000,0.0935892
17,12000001,14000000,0.0796627
17,13000001,15000000,0.072631
17,14000001,16000000,0.0801518
17,15000001,17000000,0.0664061
17,16000001,18000000,0.0553964
17,17000001,19000000,0.0532846
17,18000001,20000000,0.0707879
17,19000001,21000000,0.099057
17,20000001,22000000,0.145197
17,21000001,23000000,0.0975543
17,22000001,24000000,0.0651826
17,23000001,25000000,0.0981258
17,24000001,26000000,0.115147
17,25000001,27000000,0.0744789
17,26000001,28000000,0.0538581
17,27000001,29000000,0.0520043
17,28000001,30000000,0.0518175
17,29000001,31000000,0.0459809
17,30000001,32000000,0.0444595
17,31000001,33000000,0.0585135
17,32000001,34000000,0.0800401
17,33000001,35000000,0.0840204
17,34000001,36000000,0.0694969
17,35000001,37000000,0.0531353
17,36000001,38000000,0.0566124
17,37000001,39000000,0.0619393
17,38000001,40000000,0.0490456
17,39000001,41000000,0.0456844
17,40000001,42000000,0.0444493
17,41000001,42403734,0.0445296
17,42000001,42403734,0.0356878
18,1,2000000,0.0515031
18,1000001,3000000,0.070602
18,2000001,4000000,0.0920942
18,3000001,5000000,0.0816688
18,4000001,6000000,0.0738238
18,5000001,7000000,0.0776345
18,6000001,8000000,0.0677689
18,7000001,9000000,0.0681849
18,8000001,10000000,0.0762698
18,9000001,11000000,0.0818143
18,10000001,12000000,0.0665354
18,11000001,13000000,0.0733242
18,12000001,14000000,0.0633069
18,13000001,15000000,0.03323
18,14000001,16000000,0.0494061
18,15000001,17000000,0.0629452
18,16000001,18000000,0.0726696
18,17000001,19000000,0.0738649
18,18000001,20000000,0.0681106
18,19000001,21000000,0.0606922
18,20000001,22000000,0.061686
18,21000001,23000000,0.0677613
18,22000001,24000000,0.071645
18,23000001,25000000,0.0641538
18,24000001,26000000,0.0763564
18,25000001,27000000,0.101566
18,26000001,27842185,0.088117
18,27000001,27842185,0.0789238
19,1,2000000,0.0585868
19,1000001,3000000,0.071842
19,2000001,4000000,0.0687746
19,3000001,5000000,0.0567212
19,4000001,6000000,0.0666865
19,5000001,7000000,0.0562064
19,6000001,8000000,0.0531193
19,7000001,9000000,0.0606323
19,8000001,10000000,0.0594579
19,9000001,11000000,0.0814102
19,10000001,12000000,0.126461
19,11000001,13000000,0.0893875
19,12000001,14000000,0.0457562
19,13000001,15000000,0.0728565
19,14000001,16000000,0.0925572
19,15000001,17000000,0.0681664
19,16000001,18000000,0.0765368
19,17000001,19000000,0.0784423
19,18000001,19701765,0.0700779
19,19000001,19701765,0.0723513
2,1,2000000,0.0802132
2,1000001,3000000,0.0765473
2,2000001,4000000,0.060136
2,3000001,5000000,0.0595887
2,4000001,6000000,0.0629637
2,5000001,7000000,0.0571235
2,6000001,8000000,0.0613396
2,7000001,9000000,0.0585261
2,8000001,10000000,0.0421444
2,9000001,11000000,0.0437708
2,10000001,12000000,0.0523469
2,11000001,13000000,0.0605774
2,12000001,14000000,0.0685137
2,13000001,15000000,0.0673895
2,14000001,16000000,0.0636529
2,15000001,17000000,0.062549
2,16000001,18000000,0.0669542
2,17000001,19000000,0.0521051
2,18000001,20000000,0.063235
2,19000001,21000000,0.0859601
2,20000001,22000000,0.0739975
2,21000001,23000000,0.0695682
2,22000001,24000000,0.0649275
2,23000001,25000000,0.0556238
2,24000001,26000000,0.0612493
2,25000001,27000000,0.0831236
2,26000001,28000000,0.0989797
2,27000001,29000000,0.0654992
2,28000001,30000000,0.0544268
2,29000001,31000000,0.0559461
2,30000001,32000000,0.0572018
2,31000001,33000000,0.0712107
2,32000001,34000000,0.0573316
2,33000001,35000000,0.0518159
2,34000001,36000000,0.0562088
2,35000001,37000000,0.0641862
2,36000001,38000000,0.072422
2,37000001,39000000,0.072361
2,38000001,40000000,0.0592381
2,39000001,41000000,0.0678684
2,40000001,42000000,0.0696975
2,41000001,43000000,0.0639553
2,42000001,44000000,0.0752078
2,43000001,45000000,0.0770591
2,44000001,46000000,0.0747088
2,45000001,47000000,0.0648232
2,46000001,48000000,0.0670744
2,47000001,49000000,0.0668547
2,48000001,50000000,0.0636589
2,49000001,51000000,0.0666263
2,50000001,52000000,0.0725532
2,51000001,53000000,0.0670328
2,52000001,54000000,0.0610136
2,53000001,55000000,0.061056
2,54000001,56000000,0.0624904
2,55000001,57000000,0.0548671
2,56000001,58000000,0.0538275
2,57000001,59000000,0.0694533
2,58000001,60000000,0.110117
2,59000001,61000000,0.117974
2,60000001,62000000,0.0614911
2,61000001,63000000,0.0552945
2,62000001,64000000,0.062558
2,63000001,65000000,0.0604368
2,64000001,66000000,0.0651191
2,65000001,67000000,0.0585814
2,66000001,68000000,0.0821063
2,67000001,69000000,0.104546
2,68000001,70000000,0.085245
2,69000001,71000000,0.0973553
2,70000001,72000000,0.0722373
2,71000001,73000000,0.0482776
2,72000001,74000000,0.0457545
2,73000001,75000000,0.0788112
2,74000001,76000000,0.0811777
2,75000001,77000000,0.0749873
2,76000001,78000000,0.0851772
2,77000001,79000000,0.0615189
2,78000001,80000000,0.0635714
2,79000001,81000000,0.0750221
2,80000001,82000000,0.0714731
2,81000001,83000000,0.0726184
2,82000001,84000000,0.0681259
2,83000001,85000000,0.0592262
2,84000001,86000000,0.0612089
2,85000001,87000000,0.0784743
2,86000001,88000000,0.0677841
2,87000001,89000000,0.058767
2,88000001,90000000,0.0788356
2,89000001,91000000,0.0810495
2,90000001,92000000,0.0683797
2,91000001,93000000,0.0643115
2,92000001,94000000,0.0611188
2,93000001,95000000,0.0677736
2,94000001,96000000,0.0551346
2,95000001,97000000,0.0580868
2,96000001,98000000,0.0669541
2,97000001,98364873,0.0562952
2,98000001,98364873,0.0557323
3,1,2000000,0.0751595
3,1000001,3000000,0.0772017
3,2000001,4000000,0.0621807
3,3000001,5000000,0.110449
3,4000001,6000000,0.100966
3,5000001,7000000,0.05961
3,6000001,8000000,0.0504833
3,7000001,9000000,0.0581482
3,8000001,10000000,0.066419
3,9000001,11000000,0.081654
3,10000001,12000000,0.0679766
3,11000001,13000000,0.0487033
3,12000001,14000000,0.061781
3,13000001,15000000,0.0638258
3,14000001,16000000,0.0574246
3,15000001,17000000,0.089146
3,16000001,18000000,0.0855925
3,17000001,19000000,0.0760723
3,18000001,20000000,0.0982776
3,19000001,21000000,0.106023
3,20000001,22000000,0.107454
3,21000001,23000000,0.109805
3,22000001,24000000,0.0842614
3,23000001,25000000,0.0647071
3,24000001,26000000,0.0465199
3,25000001,27000000,0.0373172
3,26000001,28000000,0.0623703
3,27000001,29000000,0.0797043
3,28000001,30000000,0.0744164
3,29000001,31000000,0.0670615
3,30000001,32000000,0.0484071
3,31000001,33000000,0.0491059
3,32000001,34000000,0.0532092
3,33000001,35000000,0.0518623
3,34000001,36000000,0.0569313
3,35000001,37000000,0.0464071
3,36000001,38000000,0.0566237
3,37000001,39000000,0.0667274
3,38000001,40000000,0.0611552
3,39000001,41000000,0.0603452
3,40000001,42000000,0.0669531
3,41000001,43000000,0.0640581
3,42000001,44000000,0.056393
3,43000001,45000000,0.0623589
3,44000001,46000000,0.0668924
3,45000001,47000000,0.0850731
3,46000001,48000000,0.0785933
3,47000001,49000000,0.0765717
3,48000001,50000000,0.134737
3,49000001,51000000,0.141958
3,50000001,52000000,0.12223
3,51000001,53000000,0.0900888
3,52000001,54000000,0.0602725
3,53000001,55000000,0.0622283
3,54000001,56000000,0.069414
3,55000001,57000000,0.0731029
3,56000001,58000000,0.100777
3,57000001,59000000,0.0881738
3,58000001,60000000,0.0561663
3,59000001,61000000,0.0630859
3,60000001,62000000,0.0656919
3,61000001,63000000,0.0664495
3,62000001,64000000,0.0880232
3,63000001,65000000,0.0752844
3,64000001,66000000,0.0607239
3,65000001,67000000,0.06695
3,66000001,68000000,0.0608863
3,67000001,69000000,0.0843764
3,68000001,70000000,0.0927626
3,69000001,71000000,0.0763569
3,70000001,72000000,0.067333
3,71000001,73000000,0.0949367
3,72000001,74000000,0.0847666
3,73000001,75000000,0.0593288
3,74000001,76000000,0.0744776
3,75000001,77000000,0.0696104
3,76000001,78000000,0.0625882
3,77000001,79000000,0.0598445
3,78000001,80000000,0.0645597
3,79000001,81000000,0.0651673
3,80000001,82000000,0.0797738
3,81000001,83000000,0.0918238
3,82000001,84000000,0.0620055
3,83000001,85000000,0.053581
3,84000001,86000000,0.0506289
3,85000001,87000000,0.0417699
3,86000001,88000000,0.0557341
3,87000001,89000000,0.0568412
3,88000001,90000000,0.0455302
3,89000001,91000000,0.0353207
3,90000001,92000000,0.0417606
3,91000001,93000000,0.0616119
3,92000001,94000000,0.0609275
3,93000001,95000000,0.0639771
3,94000001,96000000,0.0724421
3,95000001,97000000,0.0885483
3,96000001,98000000,0.0839012
3,97000001,99000000,0.0696548
3,98000001,100000000,0.0634507
3,99000001,101000000,0.0703555
3,100000001,102000000,0.0613063
3,101000001,103000000,0.0442536
3,102000001,104000000,0.0682775
3,103000001,105000000,0.107685
3,104000001,106000000,0.0717614
3,105000001,107000000,0.0367783
3,106000001,108000000,0.0509336
3,107000001,109000000,0.0921191
3,108000001,110000000,0.101524
3,109000001,111000000,0.0554538
3,110000001,112000000,0.0393822
3,111000001,113000000,0.0575445
3,112000001,114000000,0.0624548
3,113000001,115000000,0.0875036
3,114000001,116000000,0.079167
3,115000001,117000000,0.0719185
3,116000001,118000000,0.0796946
3,117000001,119000000,0.0771753
3,118000001,120000000,0.075675
3,119000001,121000000,0.0729792
3,120000001,122000000,0.0701474
3,121000001,123000000,0.0841442
3,122000001,124000000,0.102062
3,123000001,125000000,0.0660733
3,124000001,126000000,0.0510357
3,125000001,127000000,0.0679979
3,126000001,128000000,0.069532
3,127000001,129000000,0.0821014
3,128000001,130000000,0.0795973
3,129000001,131000000,0.0686591
3,130000001,132000000,0.0741498
3,131000001,133000000,0.0834926
3,132000001,134000000,0.0836488
3,133000001,135000000,0.0853415
3,134000001,136000000,0.0758119
3,135000001,137000000,0.0755546
3,136000001,138000000,0.0791867
3,137000001,139000000,0.061532
3,138000001,140000000,0.0595124
3,139000001,141000000,0.0641279
3,140000001,142000000,0.0652855
3,141000001,143000000,0.0798075
3,142000001,144000000,0.0873536
3,143000001,145000000,0.0780437
3,144000001,146000000,0.0817566
3,145000001,147000000,0.0783683
3,146000001,148000000,0.0632385
3,147000001,149000000,0.0684483
3,148000001,150000000,0.0629203
3,149000001,151000000,0.062022
3,150000001,152000000,0.0566049
3,151000001,153000000,0.0466043
3,152000001,154000000,0.0535646
3,153000001,155000000,0.0648909
3,154000001,156000000,0.0671537
3,155000001,157000000,0.0685223
3,156000001,158000000,0.0763231
3,157000001,159000000,0.0645185
3,158000001,160000000,0.0595563
3,159000001,161000000,0.0659709
3,160000001,162000000,0.0740913
3,161000001,163000000,0.0700363
3,162000001,164000000,0.0645612
3,163000001,165000000,0.081449
3,164000001,166000000,0.0888788
3,165000001,167000000,0.0819509
3,166000001,168000000,0.0478794
3,167000001,169000000,0.0384463
3,168000001,170000000,0.0585159
3,169000001,171000000,0.0739385
3,170000001,172000000,0.0586965
3,171000001,173000000,0.0524006
3,172000001,174000000,0.0638265
3,173000001,175000000,0.0624149
3,174000001,176000000,0.0657561
3,175000001,177000000,0.0672974
3,176000001,178000000,0.0671424
3,177000001,179000000,0.0744869
3,178000001,180000000,0.0657594
3,179000001,181000000,0.0715178
3,180000001,182000000,0.0667294
3,181000001,183000000,0.0552108
3,182000001,184000000,0.058131
3,183000001,185000000,0.0561546
3,184000001,186000000,0.0574954
3,185000001,187000000,0.0528034
3,186000001,188000000,0.0633903
3,187000001,189000000,0.0768373
3,188000001,190000000,0.0670637
3,189000001,191000000,0.0592082
3,190000001,192000000,0.056414
3,191000001,193000000,0.0844979
3,192000001,194000000,0.144848
3,193000001,195000000,0.124217
3,194000001,196000000,0.059707
3,195000001,197000000,0.0539082
3,196000001,198000000,0.0567007
3,197000001,199000000,0.0665271
3,198000001,200000000,0.0649406
3,199000001,201000000,0.067438
3,200000001,202000000,0.0691823
3,201000001,203000000,0.0814679
3,202000001,204000000,0.0825989
3,203000001,205000000,0.0721363
3,204000001,206000000,0.0824217
3,205000001,207000000,0.084714
3,206000001,207093695,0.076555
3,207000001,207093695,0.0845607
4,1,2000000,0.0747391
4,1000001,3000000,0.0638969
4,2000001,4000000,0.0714364
4,3000001,5000000,0.0578802
4,4000001,6000000,0.0384729
4,5000001,7000000,0.0419838
4,6000001,8000000,0.0586881
4,7000001,9000000,0.0724277
4,8000001,10000000,0.0684981
4,9000001,11000000,0.0838011
4,10000001,12000000,0.0861696
4,11000001,13000000,0.0567557
4,12000001,14000000,0.0514251
4,13000001,15000000,0.0774371
4,14000001,16000000,0.109285
4,15000001,17000000,0.0766708
4,16000001,18000000,0.0761572
4,17000001,19000000,0.0731546
4,18000001,20000000,0.0679517
4,19000001,21000000,0.0706064
4,20000001,22000000,0.0601957
4,21000001,23000000,0.0673193
4,22000001,24000000,0.0705844
4,23000001,25000000,0.0687555
4,24000001,26000000,0.0688908
4,25000001,27000000,0.12393
4,26000001,28000000,0.126272
4,27000001,29000000,0.0456009
4,28000001,30000000,0.0386111
4,29000001,31000000,0.0459013
4,30000001,32000000,0.0602314
4,31000001,33000000,0.0660567
4,32000001,34000000,0.0727829
4,33000001,35000000,0.0987424
4,34000001,36000000,0.083392
4,35000001,37000000,0.0800692
4,36000001,38000000,0.0825809
4,37000001,39000000,0.0644707
4,38000001,40000000,0.0771584
4,39000001,41000000,0.0779043
4,40000001,42000000,0.0620303
4,41000001,43000000,0.0528002
4,42000001,44000000,0.0614022
4,43000001,45000000,0.0651333
4,44000001,46000000,0.0585509
4,45000001,47000000,0.0587613
4,46000001,48000000,0.0505614
4,47000001,49000000,0.0573196
4,48000001,50000000,0.0500473
4,49000001,50051714,0.0341086
4,50000001,50051714,0.0561493
5,1,2000000,0.066298
5,1000001,3000000,0.0715251
5,2000001,4000000,0.0595333
5,3000001,5000000,0.0692811
5,4000001,6000000,0.0899804
5,5000001,7000000,0.0787587
5,6000001,8000000,0.0580893
5,7000001,9000000,0.0569096
5,8000001,10000000,0.0654113
5,9000001,11000000,0.0654952
5,10000001,12000000,0.0724298
5,11000001,13000000,0.0689813
5,12000001,14000000,0.0776765
5,13000001,15000000,0.0937241
5,14000001,16000000,0.0760432
5,15000001,17000000,0.0662157
5,16000001,18000000,0.0599045
5,17000001,19000000,0.0503624
5,18000001,20000000,0.0548892
5,19000001,21000000,0.0629849
5,20000001,22000000,0.0697766
5,21000001,23000000,0.0559943
5,22000001,24000000,0.0630546
5,23000001,25000000,0.0816325
5,24000001,26000000,0.0784624
5,25000001,27000000,0.0845591
5,26000001,28000000,0.0960152
5,27000001,29000000,0.0805594
5,28000001,30000000,0.0899137
5,29000001,31000000,0.092212
5,30000001,32000000,0.0724107
5,31000001,33000000,0.066613
5,32000001,34000000,0.0617784
5,33000001,35000000,0.0755194
5,34000001,36000000,0.0745616
5,35000001,37000000,0.0585723
5,36000001,38000000,0.0684711
5,37000001,39000000,0.0618209
5,38000001,40000000,0.0593228
5,39000001,41000000,0.0566774
5,40000001,42000000,0.0575403
5,41000001,43000000,0.0851672
5,42000001,44000000,0.108962
5,43000001,45000000,0.0894856
5,44000001,45443526,0.0568027
5,45000001,45443526,0.0234773
6,1,2000000,0.0655354
6,1000001,3000000,0.0702609
6,2000001,4000000,0.0894072
6,3000001,5000000,0.0711261
