"Chr","Start","End","Value_1","Color_1","Value_2","Color_2"
1,90000001,92000000,0.00227473,"fc8d62",0.00331471,"8da0cb"
1,91000001,93000000,0.0024914,"fc8d62",0.0031192,"8da0cb"
1,92000001,94000000,0.00300239,"fc8d62",0.00379906,"8da0cb"
1,93000001,95000000,0.00206811,"fc8d62",0.00302699,"8da0cb"
1,94000001,96000000,0.00137066,"fc8d62",0.00188524,"8da0cb"
1,95000001,97000000,0.00208815,"fc8d62",0.00303193,"8da0cb"
1,96000001,98000000,0.00201296,"fc8d62",0.0032216,"8da0cb"
1,97000001,99000000,0.00185413,"fc8d62",0.00268711,"8da0cb"
1,98000001,100000000,0.00200338,"fc8d62",0.00267826,"8da0cb"
1,99000001,101000000,0.0018449,"fc8d62",0.00340202,"8da0cb"
1,100000001,102000000,0.00225633,"fc8d62",0.00378485,"8da0cb"
1,101000001,103000000,0.00281097,"fc8d62",0.00330231,"8da0cb"
1,102000001,104000000,0.00254657,"fc8d62",0.00305401,"8da0cb"
1,103000001,105000000,0.00209743,"fc8d62",0.00280447,"8da0cb"
1,104000001,106000000,0.00216584,"fc8d62",0.00278043,"8da0cb"
1,105000001,107000000,0.00228233,"fc8d62",0.00281963,"8da0cb"
1,106000001,108000000,0.00248895,"fc8d62",0.00314417,"8da0cb"
1,107000001,109000000,0.00234583,"fc8d62",0.00285246,"8da0cb"
1,108000001,110000000,0.00211746,"fc8d62",0.00253762,"8da0cb"
1,109000001,111000000,0.00222638,"fc8d62",0.00273191,"8da0cb"
1,110000001,112000000,0.00216945,"fc8d62",0.0028346,"8da0cb"
1,111000001,113000000,0.0027253,"fc8d62",0.00343708,"8da0cb"
1,112000001,114000000,0.00234868,"fc8d62",0.00295197,"8da0cb"
1,113000001,115000000,0.00212889,"fc8d62",0.00270901,"8da0cb"
1,114000001,116000000,0.0028884,"fc8d62",0.00338122,"8da0cb"
1,115000001,117000000,0.00294487,"fc8d62",0.00377379,"8da0cb"
1,116000001,118000000,0.00317158,"fc8d62",0.00436415,"8da0cb"
1,117000001,118073833,0.00187079,"fc8d62",0.00244846,"8da0cb"
1,118000001,118073833,7.27e-05,"fc8d62",8.34e-05,"8da0cb"
10,1,2000000,0.00214039,"fc8d62",0.00316748,"8da0cb"
10,1000001,3000000,0.00251528,"fc8d62",0.00315289,"8da0cb"
10,2000001,4000000,0.00232819,"fc8d62",0.00304765,"8da0cb"
10,3000001,5000000,0.00272027,"fc8d62",0.00373749,"8da0cb"
10,4000001,6000000,0.00265666,"fc8d62",0.00372265,"8da0cb"
10,5000001,7000000,0.00204029,"fc8d62",0.00310263,"8da0cb"
10,6000001,8000000,0.00243494,"fc8d62",0.00341611,"8da0cb"
10,7000001,9000000,0.00195099,"fc8d62",0.00277272,"8da0cb"
10,8000001,10000000,0.00213962,"fc8d62",0.0028011,"8da0cb"
10,9000001,11000000,0.00257501,"fc8d62",0.00326845,"8da0cb"
10,10000001,12000000,0.00228696,"fc8d62",0.002899,"8da0cb"
10,11000001,13000000,0.00247688,"fc8d62",0.00345234,"8da0cb"
10,12000001,14000000,0.00319992,"fc8d62",0.00385751,"8da0cb"
10,13000001,15000000,0.00353053,"fc8d62",0.00356045,"8da0cb"
10,14000001,16000000,0.0029518,"fc8d62",0.00345691,"8da0cb"
10,15000001,17000000,0.00279691,"fc8d62",0.00417099,"8da0cb"
10,16000001,18000000,0.00238338,"fc8d62",0.00374506,"8da0cb"
10,17000001,19000000,0.00239115,"fc8d62",0.00338062,"8da0cb"
10,18000001,20000000,0.00305802,"fc8d62",0.00420748,"8da0cb"
10,19000001,21000000,0.00298784,"fc8d62",0.00395483,"8da0cb"
10,20000001,22000000,0.00286005,"fc8d62",0.00368454,"8da0cb"
10,21000001,23000000,0.00258957,"fc8d62",0.00361444,"8da0cb"
10,22000001,24000000,0.00266365,"fc8d62",0.00392545,"8da0cb"
10,23000001,25000000,0.00278229,"fc8d62",0.00392249,"8da0cb"
10,24000001,26000000,0.00231445,"fc8d62",0.00330618,"8da0cb"
10,25000001,27000000,0.00210146,"fc8d62",0.00313131,"8da0cb"
10,26000001,28000000,0.00226305,"fc8d62",0.00327464,"8da0cb"
10,27000001,29000000,0.00245204,"fc8d62",0.00344997,"8da0cb"
10,28000001,30000000,0.00250622,"fc8d62",0.00346829,"8da0cb"
10,29000001,31000000,0.00237842,"fc8d62",0.00347495,"8da0cb"
10,30000001,32000000,0.00196699,"fc8d62",0.00317622,"8da0cb"
10,31000001,33000000,0.00185684,"fc8d62",0.00291125,"8da0cb"
10,32000001,34000000,0.00212669,"fc8d62",0.00278293,"8da0cb"
10,33000001,35000000,0.00240884,"fc8d62",0.00322821,"8da0cb"
10,34000001,36000000,0.00196518,"fc8d62",0.00282963,"8da0cb"
10,35000001,37000000,0.00217284,"fc8d62",0.00272258,"8da0cb"
10,36000001,38000000,0.00270071,"fc8d62",0.00333196,"8da0cb"
10,37000001,39000000,0.00211387,"fc8d62",0.00306731,"8da0cb"
10,38000001,40000000,0.00200121,"fc8d62",0.00277699,"8da0cb"
10,39000001,41000000,0.00214618,"fc8d62",0.00234054,"8da0cb"
10,40000001,42000000,0.00190061,"fc8d62",0.00220595,"8da0cb"
10,41000001,43000000,0.00206345,"fc8d62",0.00270471,"8da0cb"
10,42000001,44000000,0.00212081,"fc8d62",0.00303675,"8da0cb"
10,43000001,45000000,0.00243393,"fc8d62",0.00347801,"8da0cb"
10,44000001,46000000,0.00310483,"fc8d62",0.00378339,"8da0cb"
10,45000001,47000000,0.00306242,"fc8d62",0.00371296,"8da0cb"
10,46000001,48000000,0.00302165,"fc8d62",0.00403073,"8da0cb"
10,47000001,49000000,0.00232144,"fc8d62",0.00312792,"8da0cb"
10,48000001,50000000,0.00268197,"fc8d62",0.00337158,"8da0cb"
10,49000001,51000000,0.00280893,"fc8d62",0.00335653,"8da0cb"
10,50000001,52000000,0.00159658,"fc8d62",0.00175312,"8da0cb"
10,51000001,53000000,0.00175999,"fc8d62",0.00226411,"8da0cb"
10,52000001,54000000,0.00200728,"fc8d62",0.00275306,"8da0cb"
10,53000001,55000000,0.00186725,"fc8d62",0.00236439,"8da0cb"
10,54000001,56000000,0.00154889,"fc8d62",0.00220423,"8da0cb"
10,55000001,57000000,0.00275488,"fc8d62",0.00324116,"8da0cb"
10,56000001,57983155,0.00334156,"fc8d62",0.00353525,"8da0cb"
10,57000001,57983155,0.00122825,"fc8d62",0.00136634,"8da0cb"
11,1,2000000,0.00286373,"fc8d62",0.00338362,"8da0cb"
11,1000001,3000000,0.00244199,"fc8d62",0.00291692,"8da0cb"
11,2000001,4000000,0.00186097,"fc8d62",0.00248466,"8da0cb"
11,3000001,5000000,0.00213978,"fc8d62",0.00316883,"8da0cb"
11,4000001,6000000,0.00259079,"fc8d62",0.00376216,"8da0cb"
11,5000001,7000000,0.00300778,"fc8d62",0.00390353,"8da0cb"
11,6000001,8000000,0.00284871,"fc8d62",0.00350281,"8da0cb"
11,7000001,9000000,0.00256396,"fc8d62",0.00311292,"8da0cb"
11,8000001,10000000,0.00223455,"fc8d62",0.00271581,"8da0cb"
11,9000001,11000000,0.00199242,"fc8d62",0.00221174,"8da0cb"
11,10000001,12000000,0.00192679,"fc8d62",0.00218888,"8da0cb"
11,11000001,13000000,0.00159392,"fc8d62",0.0021386,"8da0cb"
11,12000001,14000000,0.00190111,"fc8d62",0.00298282,"8da0cb"
11,13000001,15000000,0.0017214,"fc8d62",0.00271603,"8da0cb"
11,14000001,16000000,0.00153144,"fc8d62",0.00187193,"8da0cb"
11,15000001,17000000,0.00168236,"fc8d62",0.00199818,"8da0cb"
11,16000001,18000000,0.00165136,"fc8d62",0.00211099,"8da0cb"
11,17000001,19000000,0.00170071,"fc8d62",0.00241216,"8da0cb"
11,18000001,20000000,0.00213007,"fc8d62",0.00290447,"8da0cb"
11,19000001,21000000,0.00244015,"fc8d62",0.0033457,"8da0cb"
11,20000001,22000000,0.00223468,"fc8d62",0.00319962,"8da0cb"
11,21000001,23000000,0.00210464,"fc8d62",0.00284279,"8da0cb"
11,22000001,24000000,0.00199708,"fc8d62",0.00233232,"8da0cb"
11,23000001,25000000,0.00259669,"fc8d62",0.00305731,"8da0cb"
11,24000001,26000000,0.00347687,"fc8d62",0.00398761,"8da0cb"
11,25000001,27000000,0.00338762,"fc8d62",0.00388,"8da0cb"
11,26000001,28000000,0.002492,"fc8d62",0.00316478,"8da0cb"
11,27000001,29000000,0.00228493,"fc8d62",0.00293348,"8da0cb"
11,28000001,30000000,0.00219835,"fc8d62",0.00307078,"8da0cb"
11,29000001,31000000,0.00282782,"fc8d62",0.00367591,"8da0cb"
11,30000001,32000000,0.0027914,"fc8d62",0.00361541,"8da0cb"
11,31000001,33000000,0.00235489,"fc8d62",0.00299839,"8da0cb"
11,32000001,34000000,0.00277331,"fc8d62",0.00338771,"8da0cb"
11,33000001,35000000,0.00206497,"fc8d62",0.00242446,"8da0cb"
11,34000001,36000000,0.00185098,"fc8d62",0.00182406,"8da0cb"
11,35000001,37000000,0.00206747,"fc8d62",0.00252445,"8da0cb"
11,36000001,38000000,0.00189741,"fc8d62",0.00260652,"8da0cb"
11,37000001,39000000,0.00151899,"fc8d62",0.00213969,"8da0cb"
11,38000001,40000000,0.00163257,"fc8d62",0.0022962,"8da0cb"
11,39000001,41000000,0.00252469,"fc8d62",0.00336148,"8da0cb"
11,40000001,42000000,0.00247347,"fc8d62",0.00332078,"8da0cb"
11,41000001,43000000,0.00193316,"fc8d62",0.00270629,"8da0cb"
11,42000001,44000000,0.00169593,"fc8d62",0.00224913,"8da0cb"
11,43000001,45000000,0.00166491,"fc8d62",0.00204002,"8da0cb"
11,44000001,46000000,0.00215465,"fc8d62",0.00279365,"8da0cb"
11,45000001,47000000,0.00225009,"fc8d62",0.00309088,"8da0cb"
11,46000001,48000000,0.00244912,"fc8d62",0.00303795,"8da0cb"
11,47000001,49000000,0.0025438,"fc8d62",0.00320986,"8da0cb"
11,48000001,50000000,0.00265382,"fc8d62",0.00352299,"8da0cb"
11,49000001,50685131,0.00199502,"fc8d62",0.00267572,"8da0cb"
11,50000001,50685131,0.000442274,"fc8d62",0.000753827,"8da0cb"
12,1,2000000,0.00246102,"fc8d62",0.00338309,"8da0cb"
12,1000001,3000000,0.00268301,"fc8d62",0.00344572,"8da0cb"
12,2000001,4000000,0.00224657,"fc8d62",0.00328154,"8da0cb"
12,3000001,5000000,0.00173216,"fc8d62",0.00292735,"8da0cb"
12,4000001,6000000,0.00167483,"fc8d62",0.00262484,"8da0cb"
12,5000001,7000000,0.00153881,"fc8d62",0.00218745,"8da0cb"
12,6000001,8000000,0.00199582,"fc8d62",0.00224734,"8da0cb"
12,7000001,9000000,0.00229927,"fc8d62",0.00268862,"8da0cb"
12,8000001,10000000,0.00192909,"fc8d62",0.00263384,"8da0cb"
12,9000001,11000000,0.00168381,"fc8d62",0.00222715,"8da0cb"
12,10000001,12000000,0.00226948,"fc8d62",0.00285635,"8da0cb"
12,11000001,13000000,0.00240557,"fc8d62",0.00337715,"8da0cb"
12,12000001,14000000,0.00215456,"fc8d62",0.00304848,"8da0cb"
12,13000001,15000000,0.00226578,"fc8d62",0.00339534,"8da0cb"
12,14000001,16000000,0.00246469,"fc8d62",0.00400471,"8da0cb"
12,15000001,17000000,0.00290668,"fc8d62",0.00368295,"8da0cb"
12,16000001,18000000,0.00243437,"fc8d62",0.00276814,"8da0cb"
12,17000001,19000000,0.00180736,"fc8d62",0.00227248,"8da0cb"
12,18000001,20000000,0.00232979,"fc8d62",0.00267952,"8da0cb"
12,19000001,21000000,0.00251676,"fc8d62",0.00310729,"8da0cb"
12,20000001,22000000,0.00220831,"fc8d62",0.00292591,"8da0cb"
12,21000001,23000000,0.00229335,"fc8d62",0.00281887,"8da0cb"
12,22000001,24000000,0.00242345,"fc8d62",0.00341908,"8da0cb"
12,23000001,25000000,0.00231951,"fc8d62",0.00331244,"8da0cb"
12,24000001,26000000,0.00228166,"fc8d62",0.00298437,"8da0cb"
12,25000001,27000000,0.00244977,"fc8d62",0.00341686,"8da0cb"
12,26000001,28000000,0.00228374,"fc8d62",0.00315823,"8da0cb"
12,27000001,29000000,0.00213284,"fc8d62",0.00279686,"8da0cb"
12,28000001,30000000,0.0016215,"fc8d62",0.00217779,"8da0cb"
12,29000001,31000000,0.00130595,"fc8d62",0.00182967,"8da0cb"
12,30000001,32000000,0.00180622,"fc8d62",0.0027031,"8da0cb"
12,31000001,32552834,0.00156279,"fc8d62",0.00250078,"8da0cb"
12,32000001,32552834,0.000520841,"fc8d62",0.000798808,"8da0cb"
13,1,2000000,0.00268386,"fc8d62",0.00329854,"8da0cb"
13,1000001,3000000,0.00260284,"fc8d62",0.00347392,"8da0cb"
13,2000001,4000000,0.00289072,"fc8d62",0.00389018,"8da0cb"
13,3000001,5000000,0.00288052,"fc8d62",0.00366993,"8da0cb"
13,4000001,6000000,0.00209426,"fc8d62",0.00266218,"8da0cb"
13,5000001,7000000,0.00225099,"fc8d62",0.00321823,"8da0cb"
13,6000001,8000000,0.0025176,"fc8d62",0.0033834,"8da0cb"
13,7000001,9000000,0.00222141,"fc8d62",0.00259639,"8da0cb"
13,8000001,10000000,0.00215451,"fc8d62",0.00268425,"8da0cb"
13,9000001,11000000,0.00241791,"fc8d62",0.00335169,"8da0cb"
13,10000001,12000000,0.00242218,"fc8d62",0.00340204,"8da0cb"
13,11000001,13000000,0.00202749,"fc8d62",0.00310775,"8da0cb"
13,12000001,14000000,0.00227726,"fc8d62",0.0037477,"8da0cb"
13,13000001,15000000,0.00275044,"fc8d62",0.00405604,"8da0cb"
13,14000001,16000000,0.00252271,"fc8d62",0.00340835,"8da0cb"
13,15000001,17000000,0.00241457,"fc8d62",0.00323016,"8da0cb"
13,16000001,18000000,0.00285294,"fc8d62",0.00358205,"8da0cb"
13,17000001,19000000,0.00324859,"fc8d62",0.00379135,"8da0cb"
13,18000001,20000000,0.00262561,"fc8d62",0.00341357,"8da0cb"
13,19000001,21000000,0.00206248,"fc8d62",0.00277127,"8da0cb"
13,20000001,22000000,0.00313644,"fc8d62",0.00397283,"8da0cb"
13,21000001,23000000,0.00365787,"fc8d62",0.00453446,"8da0cb"
13,22000001,24000000,0.00261756,"fc8d62",0.00332182,"8da0cb"
13,23000001,25000000,0.00251934,"fc8d62",0.00346794,"8da0cb"
13,24000001,25667229,0.00216101,"fc8d62",0.00295081,"8da0cb"
13,25000001,25667229,0.000632525,"fc8d62",0.000908302,"8da0cb"
14,1,2000000,0.00300411,"fc8d62",0.00365939,"8da0cb"
14,1000001,3000000,0.00334721,"fc8d62",0.00454818,"8da0cb"
14,2000001,4000000,0.00321581,"fc8d62",0.00441841,"8da0cb"
14,3000001,5000000,0.00321065,"fc8d62",0.00403607,"8da0cb"
14,4000001,6000000,0.00257705,"fc8d62",0.00337078,"8da0cb"
14,5000001,7000000,0.00215648,"fc8d62",0.00305097,"8da0cb"
14,6000001,8000000,0.0030406,"fc8d62",0.00411848,"8da0cb"
14,7000001,9000000,0.00323091,"fc8d62",0.00416471,"8da0cb"
14,8000001,10000000,0.00262774,"fc8d62",0.00319983,"8da0cb"
14,9000001,11000000,0.00262146,"fc8d62",0.00335252,"8da0cb"
14,10000001,12000000,0.00302961,"fc8d62",0.00416129,"8da0cb"
14,11000001,13000000,0.00299484,"fc8d62",0.00418644,"8da0cb"
14,12000001,14000000,0.0028022,"fc8d62",0.00382698,"8da0cb"
14,13000001,15000000,0.00252016,"fc8d62",0.00327514,"8da0cb"
14,14000001,16000000,0.00203903,"fc8d62",0.00280391,"8da0cb"
14,15000001,17000000,0.00231139,"fc8d62",0.00345345,"8da0cb"
14,16000001,18000000,0.00250633,"fc8d62",0.00378441,"8da0cb"
14,17000001,19000000,0.00237306,"fc8d62",0.00346612,"8da0cb"
14,18000001,20000000,0.00258243,"fc8d62",0.00356931,"8da0cb"
14,19000001,21000000,0.00253504,"fc8d62",0.00346329,"8da0cb"
14,20000001,22000000,0.00237538,"fc8d62",0.00334232,"8da0cb"
14,21000001,23000000,0.00199647,"fc8d62",0.00295722,"8da0cb"
14,22000001,24000000,0.00184147,"fc8d62",0.00255775,"8da0cb"
14,23000001,25000000,0.00235698,"fc8d62",0.0032314,"8da0cb"
14,24000001,26000000,0.00286473,"fc8d62",0.00350657,"8da0cb"
14,25000001,27000000,0.00225892,"fc8d62",0.00259956,"8da0cb"
14,26000001,28000000,0.0018218,"fc8d62",0.00272589,"8da0cb"
14,27000001,29000000,0.00191448,"fc8d62",0.00285871,"8da0cb"
14,28000001,30000000,0.00129326,"fc8d62",0.00235317,"8da0cb"
14,29000001,31000000,0.00107167,"fc8d62",0.00223209,"8da0cb"
14,30000001,32000000,0.00237553,"fc8d62",0.00315856,"8da0cb"
14,31000001,33000000,0.00282276,"fc8d62",0.00367062,"8da0cb"
14,32000001,34000000,0.00247475,"fc8d62",0.00338896,"8da0cb"
14,33000001,35000000,0.0026928,"fc8d62",0.00320781,"8da0cb"
14,34000001,36000000,0.00244545,"fc8d62",0.00285706,"8da0cb"
14,35000001,37000000,0.00233695,"fc8d62",0.00325594,"8da0cb"
14,36000001,38000000,0.00216562,"fc8d62",0.00337212,"8da0cb"
14,37000001,39000000,0.00190627,"fc8d62",0.00283652,"8da0cb"
14,38000001,40000000,0.00218322,"fc8d62",0.00272075,"8da0cb"
14,39000001,41000000,0.00232186,"fc8d62",0.00282732,"8da0cb"
14,40000001,42000000,0.00203928,"fc8d62",0.00264572,"8da0cb"
14,41000001,43000000,0.00205785,"fc8d62",0.00295367,"8da0cb"
14,42000001,44000000,0.00229948,"fc8d62",0.00352296,"8da0cb"
14,43000001,45000000,0.00260735,"fc8d62",0.00376964,"8da0cb"
14,44000001,46000000,0.0025816,"fc8d62",0.00364946,"8da0cb"
14,45000001,47000000,0.00198155,"fc8d62",0.0030942,"8da0cb"
14,46000001,48000000,0.00221146,"fc8d62",0.00324818,"8da0cb"
14,47000001,49000000,0.00249765,"fc8d62",0.00336138,"8da0cb"
14,48000001,50000000,0.00224226,"fc8d62",0.00310269,"8da0cb"
14,49000001,51000000,0.0024283,"fc8d62",0.00332027,"8da0cb"
14,50000001,52000000,0.0029985,"fc8d62",0.00384429,"8da0cb"
14,51000001,53000000,0.00341483,"fc8d62",0.00437955,"8da0cb"
14,52000001,53685928,0.00245616,"fc8d62",0.0032866,"8da0cb"
14,53000001,53685928,0.000783401,"fc8d62",0.001077,"8da0cb"
15,1,2000000,0.00325896,"fc8d62",0.00421646,"8da0cb"
15,1000001,3000000,0.00297638,"fc8d62",0.00362732,"8da0cb"
15,2000001,4000000,0.00189589,"fc8d62",0.00259933,"8da0cb"
15,3000001,5000000,0.00205331,"fc8d62",0.00293478,"8da0cb"
15,4000001,6000000,0.00273219,"fc8d62",0.00346274,"8da0cb"
15,5000001,7000000,0.0024365,"fc8d62",0.00310802,"8da0cb"
15,6000001,8000000,0.00303519,"fc8d62",0.00342155,"8da0cb"
15,7000001,9000000,0.00315093,"fc8d62",0.00349194,"8da0cb"
15,8000001,10000000,0.00252819,"fc8d62",0.00294315,"8da0cb"
15,9000001,11000000,0.00261575,"fc8d62",0.00305442,"8da0cb"
15,10000001,12000000,0.00260777,"fc8d62",0.00334884,"8da0cb"
15,11000001,13000000,0.002227,"fc8d62",0.00285366,"8da0cb"
15,12000001,13456278,0.00147876,"fc8d62",0.00184735,"8da0cb"
15,13000001,13456278,0.000443253,"fc8d62",0.000652117,"8da0cb"
16,1,2000000,0.00302634,"fc8d62",0.00375598,"8da0cb"
16,1000001,3000000,0.00276514,"fc8d62",0.00328989,"8da0cb"
16,2000001,4000000,0.00250515,"fc8d62",0.00340805,"8da0cb"
16,3000001,5000000,0.00312392,"fc8d62",0.00449216,"8da0cb"
16,4000001,6000000,0.00292183,"fc8d62",0.00415839,"8da0cb"
16,5000001,7000000,0.00213605,"fc8d62",0.00300682,"8da0cb"
16,6000001,8000000,0.00202212,"fc8d62",0.00263836,"8da0cb"
16,7000001,9000000,0.00190396,"fc8d62",0.00247227,"8da0cb"
16,8000001,10000000,0.00164751,"fc8d62",0.00226681,"8da0cb"
16,9000001,11000000,0.00145621,"fc8d62",0.00214096,"8da0cb"
16,10000001,12000000,0.00146211,"fc8d62",0.00236046,"8da0cb"
16,11000001,13000000,0.00172792,"fc8d62",0.00257717,"8da0cb"
16,12000001,14000000,0.00163885,"fc8d62",0.00259186,"8da0cb"
16,13000001,15000000,0.00139981,"fc8d62",0.00200817,"8da0cb"
16,14000001,16000000,0.00148195,"fc8d62",0.00196547,"8da0cb"
16,15000001,17000000,0.00162523,"fc8d62",0.00235263,"8da0cb"
16,16000001,18000000,0.00181441,"fc8d62",0.00235367,"8da0cb"
16,17000001,19000000,0.00224034,"fc8d62",0.00293507,"8da0cb"
16,18000001,20000000,0.00237135,"fc8d62",0.00319132,"8da0cb"
16,19000001,21000000,0.00188993,"fc8d62",0.0029635,"8da0cb"
16,20000001,22000000,0.00150012,"fc8d62",0.00349063,"8da0cb"
16,21000001,23000000,0.00120236,"fc8d62",0.00282382,"8da0cb"
