chr	pos	length_bp	sample_count	freq	freq_class	is_short
chrM	6357.0	1	403	0.08532712259157316	common	True
chrM	6360.0	1	562	0.11899216599618886	common	True
chrM	6365.0	1	400	0.08469193309337286	common	True
chrM	6366.0	1	290	0.061401651492695324	common	True
chrM	6381.0	1	344	0.07283506246030065	common	True
chrM	6385.0	1	346	0.07325852212576751	common	True
chr11	100145018.0	1	341	0.07219987296210036	common	True
chr11	100145038.0	1	39	0.008257463476603853	rare	True
chr11	100145043.0	1	27	0.005716705483802668	rare	True
chr11	100145050.0	1	37	0.00783400381113699	rare	True
chr11	100145056.0	1	35	0.007410544145670125	rare	True
chr11	100145057.0	1	49	0.010374761803938174	common	True
chr11	100145058.0	1	25	0.005293245818335804	rare	True
chr11	100145071.0	1	21	0.004446326487402075	rare	True
chr11	100145081.0	1	49	0.010374761803938174	common	True
chr11	100145082.0	1	34	0.007198814312936693	rare	True
chr11	100145105.0	1	48	0.010163031971204743	common	True
chr11	100145112.0	1	59	0.012492060131272496	common	True
chr11	100145117.0	1	34	0.007198814312936693	rare	True
chrM	11498.0	1	345	0.07304679229303408	common	True
chrM	11502.0	1	48	0.010163031971204743	common	True
chrM	11505.0	1	35	0.007410544145670125	rare	True
chrM	11512.0	1	41	0.008680923142070718	rare	True
chr11	49862054.0	1	268	0.056743595172559814	common	True
chr11	49862090.0	1	350	0.07410544145670125	common	True
chr11	49862098.0	1	296	0.06267203048909592	common	True
chr11	49862105.0	1	941	0.19923777260215964	common	True
chr17	22521425.0	1	298	0.06309549015456278	common	True
chr17	22521432.0	1	367	0.07770484861316959	common	True
chr17	22521436.0	1	3498	0.7406309549015456	common	True
chr17	22521438.0	1	3344	0.708024560660597	common	True
chr17	22521442.0	1	3053	0.6464111793351683	common	True
chr17	22521443.0	1	3246	0.6872750370527207	common	True
chrM	16564.0	1	438	0.09273766673724328	common	True
chr2	133740654.0	1	1	0.00021172983273343214	private	True
chr2	133740701.0	1	1	0.00021172983273343214	private	True
chr2	133740704.0	1	1	0.00021172983273343214	private	True
chr2	133740708.0	1	1	0.00021172983273343214	private	True
chr2	133740723.0	1	1	0.00021172983273343214	private	True
chr2	133740725.0	1	1	0.00021172983273343214	private	True
chr2	133740740.0	1	1	0.00021172983273343214	private	True
chr2	133740750.0	1	1	0.00021172983273343214	private	True
chr2	133740754.0	1	1	0.00021172983273343214	private	True
chr2	133740768.0	1	1	0.00021172983273343214	private	True
chr2	133740801.0	1	1	0.00021172983273343214	private	True
chrM	13634.0	1	9	0.0019055684946008892	rare	True
chrM	13650.0	1	28	0.0059284353165360995	rare	True
chrM	13668.0	1	48	0.010163031971204743	common	True
chrM	13680.0	1	42	0.00889265297480415	rare	True
chrM	13683.0	1	53	0.011221681134871904	common	True
chrM	13684.0	1	47	0.009951302138471311	rare	True
chrM	13709.0	1	32	0.0067753546474698285	rare	True
chrM	16399.0	1	12	0.0025407579928011857	rare	True
chr4	126419044.0	1	619	0.1310607664619945	common	True
chr4	126419089.0	1	42	0.00889265297480415	rare	True
chr4	126419093.0	1	69	0.014609358458606819	common	True
chr4	126419109.0	1	61	0.01291551979673936	common	True
chr4	126419125.0	1	56	0.011856870633072199	common	True
chr4	126419129.0	1	58	0.012280330298539064	common	True
chr4	126419130.0	1	61	0.01291551979673936	common	True
chr4	126419142.0	1	92	0.019479144611475756	common	True
chr4	126419148.0	1	39	0.008257463476603853	rare	True
chr4	126418899.0	1	9	0.0019055684946008892	rare	True
chr4	126419050.0	1	22	0.004658056320135507	rare	True
chrM	14029.0	1	86	0.018208765615075163	common	True
chrM	14030.0	1	628	0.13296633495659538	common	True
chrM	14032.0	1	67	0.014185898793139954	common	True
chrM	14046.0	1	81	0.017150116451408005	common	True
chrM	14056.0	1	76	0.016091467287740843	common	True
chr9	129837.0	1	76	0.016091467287740843	common	True
chr9	129845.0	1	95	0.020114334109676054	common	True
chrM	6229.0	1	34	0.007198814312936693	rare	True
chrM	6309.0	1	339	0.07177641329663349	common	True
chrM	6315.0	1	292	0.06182511115816219	common	True
chrM	6319.0	1	283	0.059919542663561295	common	True
chrM	6341.0	1	304	0.06436586915096337	common	True
chrM	6347.0	1	189	0.040016938386618676	common	True
chrM	6361.0	1	301	0.06373067965276308	common	True
chr1	59195750.0	1	1	0.00021172983273343214	private	True
chr1	59195876.0	1	27	0.005716705483802668	rare	True
chr1	59195878.0	1	50	0.010586491636671608	common	True
chr1	59195881.0	1	620	0.13127249629472793	common	True
chr1	59195911.0	1	109	0.023078551767944103	common	True
chr1	59195917.0	1	80	0.01693838661867457	common	True
chr1	59195921.0	1	135	0.02858352741901334	common	True
chr1	59195926.0	1	91	0.019267414778742324	common	True
chr1	59195930.0	1	76	0.016091467287740843	common	True
chr1	59195932.0	1	111	0.023502011433410967	common	True
chr1	59195939.0	1	66	0.013974168960406522	common	True
chr1	59195950.0	1	179	0.037899640059284354	common	True
chr1	59195973.0	1	78	0.016514926953207706	common	True
chr1	59195977.0	1	66	0.013974168960406522	common	True
chr1	59195994.0	1	90	0.019055684946008893	common	True
chr1	59195995.0	1	78	0.016514926953207706	common	True
chr1	59196014.0	1	23	0.004869786152868939	rare	True
chrM	15420.0	1	624	0.13211941562566165	common	True
chrM	15422.0	1	85	0.01799703578234173	common	True
chrM	15423.0	1	132	0.027948337920813044	common	True
chrM	15425.0	1	109	0.023078551767944103	common	True
chrM	15431.0	1	140	0.0296421765826805	common	True
chrM	15433.0	1	87	0.018420495447808598	common	True
chrM	15437.0	1	105	0.022231632437010374	common	True
chrM	15438.0	1	159	0.03366504340461571	common	True
chrM	15439.0	1	60	0.012703789964005929	common	True
chrM	15440.0	1	72	0.015244547956807113	common	True
chr1	629550.0	1	25	0.005293245818335804	rare	True
chr1	629854.0	1	372	0.07876349777683675	common	True
chr1	630007.0	1	331	0.07008257463476604	common	True
chr1	219814641.0	1	1	0.00021172983273343214	private	True
chr1	629313.0	1	64	0.013550709294939657	common	True
chr1	629650.0	1	53	0.011221681134871904	common	True
chrM	4143.0	1	67	0.014185898793139954	common	True
chrM	4480.0	1	70	0.01482108829134025	common	True
chrM	4272.0	1	139	0.02943044674994707	common	True
chrM	4308.0	1	505	0.10692356553038324	common	True
chrM	4684.0	1	400	0.08469193309337286	common	True
chrM	4906.0	1	16	0.0033876773237349143	rare	True
chr1	631966.0	1	111	0.023502011433410967	common	True
chr1	632036.0	1	140	0.0296421765826805	common	True
chr1	632512.0	1	44	0.009316112640271015	rare	True
chrM	7341.0	1	67	0.014185898793139954	common	True
chrM	6910.0	1	322	0.06817700614016516	common	True
chrM	6979.0	1	50	0.010586491636671608	common	True
chr1	633560.0	1	60	0.012703789964005929	common	True
chr1	634477.0	1	4	0.0008469193309337286	ultra-rare	True
chr1	634538.0	1	6	0.0012703789964005929	rare	True
chr1	634594.0	1	39	0.008257463476603853	rare	True
chr1	634905.0	1	22	0.004658056320135507	rare	True
chrM	8391.0	1	192	0.04065212788481897	common	True
chrM	9308.0	1	6	0.0012703789964005929	rare	True
chrM	9425.0	1	47	0.009951302138471311	rare	True
chrM	9484.0	1	46	0.009739572305737878	rare	True
chrM	9811.0	1	2	0.0004234596654668643	ultra-rare	True
chr11	49862051.0	1	279	0.05907262333262757	common	True
chr11	49862060.0	1	467	0.09887783188651281	common	True
chr11	49862061.0	1	262	0.05547321617615922	common	True
chr11	49862068.0	1	385	0.08151598560237137	common	True
chr11	49862073.0	1	419	0.08871479991530806	common	True
chr11	49862075.0	1	489	0.10353588820664832	common	True
chr11	49862078.0	1	390	0.08257463476603853	common	True
chr11	49862079.0	1	461	0.09760745289011222	common	True
chr11	49862081.0	1	304	0.06436586915096337	common	True
chr11	49862083.0	1	427	0.09040863857717553	common	True
chr11	49862085.0	1	474	0.10035994071564683	common	True
chr11	49862104.0	1	491	0.10395934787211518	common	True
chr11	49862107.0	1	465	0.09845437222104594	common	True
chr11	49862111.0	1	614	0.13000211729832734	common	True
chr11	49862123.0	1	486	0.10290069870844802	common	True
chr11	49862141.0	1	422	0.08934998941350836	common	True
chr13	109424243.0	1	68	0.014397628625873385	common	True
chrM	1052.0	1	78	0.016514926953207706	common	True
chrM	1118.0	1	63	0.013338979462206225	common	True
chr13	17170650.0	1	2	0.0004234596654668643	ultra-rare	True
chrM	876.0	1	209	0.044251535041287315	common	True
chrM	894.0	1	273	0.05780224433622697	common	True
chr4	86138985.0	1	2754	0.5831039593478721	common	True
chrM	6147.0	1	2612	0.5530383230997248	common	True
chrM	6160.0	1	440	0.09316112640271014	common	True
chrM	6177.0	1	391	0.08278636459877196	common	True
chr5	32338477.0	1	3168	0.670760110099513	common	True
chr5	32338521.0	1	285	0.06034300232902816	common	True
chr5	32338523.0	1	359	0.07601100995130214	common	True
chr5	32338527.0	1	263	0.05568494600889265	common	True
chr5	32338529.0	1	409	0.08659750158797375	common	True
chr5	32338530.0	1	243	0.05145034935422401	common	True
chr5	32338538.0	1	367	0.07770484861316959	common	True
chr5	32338552.0	1	452	0.09570188439551133	common	True
chr5	32338577.0	1	425	0.08998517891170867	common	True
chr5	32338579.0	1	492	0.10417107770484861	common	True
chr5	32338582.0	1	431	0.09125555790810926	common	True
chr5	32338586.0	1	416	0.08807961041710777	common	True
chr5	32338626.0	1	54	0.011433410967605336	common	True
chr5	32338643.0	1	98	0.02074952360787635	common	True
chr5	32338677.0	1	61	0.01291551979673936	common	True
chrM	12719.0	1	3166	0.6703366504340461	common	True
chrM	14861.0	1	373	0.0789752276095702	common	True
chrM	14869.0	1	458	0.09697226339191192	common	True
chrM	14877.0	1	404	0.08553885242430659	common	True
chrM	14884.0	1	521	0.11031124285411814	common	True
chrM	14896.0	1	499	0.10565318653398263	common	True
chrM	14932.0	1	304	0.06436586915096337	common	True
chrM	14937.0	1	273	0.05780224433622697	common	True
chr1	629193.0	1	51	0.01079822146940504	common	True
chr1	629265.0	1	36	0.007622273978403557	rare	True
chr1	629473.0	1	222	0.04700402286682193	common	True
chr1	629583.0	1	105	0.022231632437010374	common	True
chr1	629599.0	1	182	0.03853482955748465	common	True
chr1	629670.0	1	77	0.016303197120474275	common	True
chr1	629787.0	1	504	0.1067118356976498	common	True
chrM	4078.0	1	7	0.0014821088291340249	rare	True
chrM	4023.0	1	50	0.010586491636671608	common	True
chrM	4095.0	1	16	0.0033876773237349143	rare	True
chrM	4186.0	1	69	0.014609358458606819	common	True
chrM	4346.0	1	12	0.0025407579928011857	rare	True
chrM	4500.0	1	224	0.047427482532288796	common	True
chrM	4617.0	1	536	0.11348719034511963	common	True
chr1	631135.0	1	102	0.02159644293881008	common	True
chr1	631149.0	1	271	0.05737878467076011	common	True
chr1	631159.0	1	124	0.026254499258945584	common	True
chrM	5791.0	1	230	0.04869786152868939	common	True
chrM	5863.0	1	137	0.029006987084480202	common	True
chrM	5895.0	1	27	0.005716705483802668	rare	True
chr1	634049.0	1	124	0.026254499258945584	common	True
chr1	634150.0	1	68	0.014397628625873385	common	True
chr1	634579.0	1	16	0.0033876773237349143	rare	True
chr1	634797.0	1	40	0.008469193309337285	rare	True
chrM	9544.0	1	5	0.0010586491636671606	rare	True
chrM	8764.0	1	134	0.028371797586279907	common	True
chrM	9098.0	1	11	0.0023290281600677537	rare	True
chrM	9527.0	1	16	0.0033876773237349143	rare	True
chr11	49862118.0	1	472	0.09993648105017996	common	True
chr11	49862121.0	1	461	0.09760745289011222	common	True
chr13	32707656.0	1	150	0.03175947491001482	common	True
chr13	32707679.0	1	17	0.0035994071564683463	rare	True
chr13	32707685.0	1	16	0.0033876773237349143	rare	True
chr13	32707691.0	1	13	0.0027524878255346177	rare	True
chr13	32707699.0	1	11	0.0023290281600677537	rare	True
chr13	32707710.0	1	13	0.0027524878255346177	rare	True
chr13	32707715.0	1	9	0.0019055684946008892	rare	True
chrM	9220.0	1	172	0.036417531230150325	common	True
chrM	9441.0	1	33	0.006987084480203261	rare	True
chrM	9454.0	1	38	0.008045733643870422	rare	True
chrM	9456.0	1	21	0.004446326487402075	rare	True
chrM	9457.0	1	60	0.012703789964005929	common	True
chrM	9477.0	1	33	0.006987084480203261	rare	True
chrM	9481.0	1	24	0.005081515985602371	rare	True
chrM	9482.0	1	46	0.009739572305737878	rare	True
chrM	9506.0	1	14	0.0029642176582680498	rare	True
chrM	9515.0	1	33	0.006987084480203261	rare	True
chrM	9517.0	1	33	0.006987084480203261	rare	True
chrM	16566.0	1	1156	0.24475968663984757	common	True
chr21	9676642.0	1	49	0.010374761803938174	common	True
chr4	29439622.0	1	73	0.015456277789540547	common	True
chr4	29439625.0	1	1410	0.29853906415413933	common	True
chr4	29439659.0	1	115	0.024348930764344696	common	True
chr4	29439660.0	1	101	0.021384713106076647	common	True
chr4	29439668.0	1	163	0.03451196273554944	common	True
chr4	29439670.0	1	164	0.03472369256828287	common	True
chr4	29439673.0	1	98	0.02074952360787635	common	True
chr4	29439675.0	1	191	0.04044039805208554	common	True
chr4	29439676.0	1	172	0.036417531230150325	common	True
chr4	29439679.0	1	158	0.033453313571882276	common	True
chr4	29439690.0	1	223	0.047215752699555365	common	True
chr4	29439707.0	1	145	0.030700825746347662	common	True
chr4	29439710.0	1	144	0.030489095913614227	common	True
chr4	29439715.0	1	100	0.021172983273343216	common	True
chr4	29439722.0	1	168	0.0355706118992166	common	True
chr4	29439726.0	1	136	0.02879525725174677	common	True
chr4	29439727.0	1	141	0.029853906415413932	common	True
chr4	29439743.0	1	189	0.040016938386618676	common	True
chrM	12834.0	1	1411	0.29875079398687276	common	True
chrM	12837.0	1	37	0.00783400381113699	rare	True
chrM	12890.0	1	160	0.03387677323734914	common	True
chrM	12900.0	1	106	0.02244336226974381	common	True
chrM	12902.0	1	121	0.02561930976074529	common	True
chrM	12920.0	1	291	0.061613381325428755	common	True
chrM	12921.0	1	183	0.03874655939021808	common	True
chrM	12922.0	1	303	0.06415413931822994	common	True
chrM	12926.0	1	328	0.06944738513656575	common	True
chrM	12933.0	1	566	0.11983908532712259	common	True
chrM	12935.0	1	483	0.10226550921024773	common	True
chrM	12944.0	1	409	0.08659750158797375	common	True
chrM	12947.0	1	545	0.11539275883972051	common	True
chrM	12951.0	1	488	0.10332415837391488	common	True
chrM	12952.0	1	522	0.11052297268685157	common	True
chrM	12956.0	1	287	0.06076646199449502	common	True
chrM	12957.0	1	400	0.08469193309337286	common	True
chr4	86139031.0	1	294	0.06224857082362905	common	True
chrM	6148.0	1	390	0.08257463476603853	common	True
chrM	6151.0	1	306	0.06478932881643024	common	True
chrM	6155.0	1	716	0.15159856023713741	common	True
chrM	6159.0	1	290	0.061401651492695324	common	True
chrM	6165.0	1	649	0.13741266144399747	common	True
chrM	6169.0	1	500	0.10586491636671606	common	True
chrM	6179.0	1	554	0.11729832733432141	common	True
chr5	32338533.0	1	390	0.08257463476603853	common	True
chr5	32338544.0	1	317	0.06711835697649798	common	True
chr5	32338545.0	1	355	0.07516409062036841	common	True
chr5	32338560.0	1	533	0.11285200084691933	common	True
chr5	32338561.0	1	472	0.09993648105017996	common	True
chr5	32338567.0	1	343	0.07262333262756722	common	True
chr5	32338575.0	1	526	0.1113698920177853	common	True
chr5	32338581.0	1	597	0.126402710141859	common	True
chr5	32338587.0	1	678	0.14355282659326699	common	True
chr5	32338589.0	1	389	0.0823629049333051	common	True
chr5	32338605.0	1	60	0.012703789964005929	common	True
chr5	32338606.0	1	62	0.013127249629472792	common	True
chr5	32338623.0	1	58	0.012280330298539064	common	True
chr5	32338644.0	1	55	0.011645140800338767	common	True
chrM	14873.0	1	492	0.10417107770484861	common	True
chrM	14875.0	1	371	0.07855176794410332	common	True
chrM	14878.0	1	430	0.09104382807537582	common	True
chrM	14881.0	1	348	0.07368198179123439	common	True
chrM	14899.0	1	328	0.06944738513656575	common	True
chrM	14901.0	1	410	0.08680923142070718	common	True
chrM	14909.0	1	471	0.09972475121744653	common	True
chrM	14916.0	1	383	0.08109252593690451	common	True
chrM	14920.0	1	706	0.1494812619098031	common	True
chrM	14926.0	1	355	0.07516409062036841	common	True
chrM	14930.0	1	349	0.07389371162396782	common	True
chrM	14931.0	1	347	0.07347025195850096	common	True
chrM	14933.0	1	343	0.07262333262756722	common	True
chrM	14934.0	1	267	0.05653186533982638	common	True
chrM	14936.0	1	272	0.05759051450349354	common	True
chrM	14938.0	1	226	0.047850942197755666	common	True
chr11	100145048.0	1	51	0.01079822146940504	common	True
chr11	100145051.0	1	46	0.009739572305737878	rare	True
chr11	100145061.0	1	28	0.0059284353165360995	rare	True
chr11	100145068.0	1	42	0.00889265297480415	rare	True
chr11	100145092.0	1	59	0.012492060131272496	common	True
chr11	100145096.0	1	33	0.006987084480203261	rare	True
chr11	100145103.0	1	34	0.007198814312936693	rare	True
chr11	100145110.0	1	40	0.008469193309337285	rare	True
chrM	11501.0	1	44	0.009316112640271015	rare	True
chrM	11507.0	1	29	0.006140165149269532	rare	True
chrM	11510.0	1	36	0.007622273978403557	rare	True
chrM	11517.0	1	52	0.011009951302138471	common	True
chrM	11522.0	1	30	0.0063518949820029645	rare	True
chr11	49862052.0	1	328	0.06944738513656575	common	True
chr11	49862065.0	1	399	0.08448020326063943	common	True
chr11	49862072.0	1	325	0.06881219563836545	common	True
chr11	49862074.0	1	471	0.09972475121744653	common	True
chr11	49862101.0	1	422	0.08934998941350836	common	True
chr11	49862113.0	1	480	0.10163031971204743	common	True
chr11	49862138.0	1	461	0.09760745289011222	common	True
chrM	6156.0	1	485	0.10268896887571459	common	True
chr5	32338511.0	1	81	0.017150116451408005	common	True
chr5	32338514.0	1	102	0.02159644293881008	common	True
chr5	32338551.0	1	391	0.08278636459877196	common	True
chr5	32338562.0	1	472	0.09993648105017996	common	True
chr5	32338573.0	1	306	0.06478932881643024	common	True
chr5	32338590.0	1	491	0.10395934787211518	common	True
chr5	32338596.0	1	247	0.05229726868515774	common	True
chr5	32338331.0	1	42	0.00889265297480415	rare	True
chr5	32338642.0	1	133	0.028160067753546476	common	True
chr5	32338654.0	1	80	0.01693838661867457	common	True
chr5	32338678.0	1	40	0.008469193309337285	rare	True
chrM	12722.0	1	35	0.007410544145670125	rare	True
chrM	14864.0	1	385	0.08151598560237137	common	True
chrM	14885.0	1	484	0.10247723904298116	common	True
chrM	14887.0	1	488	0.10332415837391488	common	True
chrM	14910.0	1	313	0.06627143764556426	common	True
chr1	59195931.0	1	114	0.024137200931611265	common	True
chr1	59195938.0	1	91	0.019267414778742324	common	True
chr1	59195953.0	1	103	0.02180817277154351	common	True
chr1	59195955.0	1	125	0.026466229091679016	common	True
chr1	59195958.0	1	90	0.019055684946008893	common	True
chr1	59195960.0	1	82	0.017361846284141436	common	True
chr1	59195970.0	1	131	0.02773660808807961	common	True
chr1	59195978.0	1	64	0.013550709294939657	common	True
chr1	59195981.0	1	80	0.01693838661867457	common	True
chr1	59195985.0	1	64	0.013550709294939657	common	True
chr1	59195989.0	1	68	0.014397628625873385	common	True
chrM	15441.0	1	86	0.018208765615075163	common	True
chrM	15442.0	1	40	0.008469193309337285	rare	True
chr1	629471.0	1	169	0.03578234173195003	common	True
chrM	4301.0	1	173	0.03662926106288376	common	True
chr1	631711.0	1	9	0.0019055684946008892	rare	True
chr1	632161.0	1	73	0.015456277789540547	common	True
chrM	6611.0	1	214	0.04531018420495448	common	True
chrM	6990.0	1	73	0.015456277789540547	common	True
chr1	633383.0	1	82	0.017361846284141436	common	True
chr1	633386.0	1	44	0.009316112640271015	rare	True
chr1	634018.0	1	104	0.022019902604276942	common	True
chrM	8206.0	1	171	0.036205801397416894	common	True
chrM	8221.0	1	72	0.015244547956807113	common	True
chrM	8849.0	1	124	0.026254499258945584	common	True
chr11	49862080.0	1	339	0.07177641329663349	common	True
chr11	49862089.0	1	409	0.08659750158797375	common	True
chr11	49862097.0	1	283	0.059919542663561295	common	True
chr11	49862106.0	1	264	0.05589667584162609	common	True
chr11	49862119.0	1	766	0.16218505187380902	common	True
chr11	49862135.0	1	513	0.10861740419225069	common	True
chr11	49862136.0	1	565	0.11962735549438916	common	True
chr20	21474595.0	1	412	0.08723269108617404	common	True
chr20	21474635.0	1	37	0.00783400381113699	rare	True
chr20	21474645.0	1	9	0.0019055684946008892	rare	True
chr20	21474659.0	1	20	0.004234596654668642	rare	True
chr20	21474691.0	1	25	0.005293245818335804	rare	True
chrM	9526.0	1	406	0.08596231208977345	common	True
chrM	12352.0	1	36	0.007622273978403557	rare	True
chrM	12356.0	1	72	0.015244547956807113	common	True
chrM	12376.0	1	39	0.008257463476603853	rare	True
chrM	12395.0	1	42	0.00889265297480415	rare	True
chrM	12415.0	1	33	0.006987084480203261	rare	True
chr21	21708352.0	1	188	0.039805208553885245	common	True
chr21	21708371.0	1	251	0.05314418801609147	common	True
chr21	21708385.0	1	122	0.02583103959347872	common	True
chr21	21708398.0	1	139	0.02943044674994707	common	True
chr21	21708402.0	1	180	0.038111369892017785	common	True
chr21	21708414.0	1	139	0.02943044674994707	common	True
chr21	21708417.0	1	146	0.030912555579081093	common	True
chr21	9676640.0	1	40	0.008469193309337285	rare	True
chr21	9676837.0	1	9	0.0019055684946008892	rare	True
chr4	29439610.0	1	2	0.0004234596654668643	ultra-rare	True
chr4	29439666.0	1	172	0.036417531230150325	common	True
chr4	29439686.0	1	163	0.03451196273554944	common	True
chr4	29439687.0	1	146	0.030912555579081093	common	True
chr4	29439694.0	1	185	0.03917001905568494	common	True
chr4	29439697.0	1	154	0.03260639424094855	common	True
chr4	29439728.0	1	207	0.04382807537582045	common	True
chr4	29439741.0	1	132	0.027948337920813044	common	True
chr4	29439742.0	1	283	0.059919542663561295	common	True
chr4	29439744.0	1	112	0.023713741266144398	common	True
chr4	29439745.0	1	172	0.036417531230150325	common	True
chrM	12880.0	1	107	0.02265509210247724	common	True
chrM	12924.0	1	268	0.056743595172559814	common	True
chrM	12936.0	1	438	0.09273766673724328	common	True
chrM	12965.0	1	278	0.05886089349989414	common	True
chr5	32338510.0	1	82	0.017361846284141436	common	True
chr5	32338524.0	1	443	0.09379631590091043	common	True
chr5	32338532.0	1	286	0.06055473216176159	common	True
chr5	32338536.0	1	502	0.10628837603218294	common	True
chr5	32338537.0	1	327	0.06923565530383231	common	True
chr5	32338539.0	1	385	0.08151598560237137	common	True
chr5	32338541.0	1	400	0.08469193309337286	common	True
chr5	32338549.0	1	333	0.0705060343002329	common	True
chr5	32338554.0	1	385	0.08151598560237137	common	True
chr5	32338555.0	1	576	0.1219563836544569	common	True
chr5	32338559.0	1	334	0.07071776413296633	common	True
chr5	32338570.0	1	583	0.12343849248359094	common	True
chr5	32338574.0	1	432	0.09146728774084269	common	True
chr5	32338583.0	1	453	0.09591361422824476	common	True
chr5	32338588.0	1	539	0.11412237984331992	common	True
chr5	32338594.0	1	314	0.06648316747829769	common	True
chr5	32338600.0	1	317	0.06711835697649798	common	True
chr5	32338604.0	1	37	0.00783400381113699	rare	True
chr5	32338608.0	1	125	0.026466229091679016	common	True
chr5	32338639.0	1	61	0.01291551979673936	common	True
chr5	32338646.0	1	75	0.01587973745500741	common	True
chr5	32338648.0	1	60	0.012703789964005929	common	True
chr5	32338656.0	1	66	0.013974168960406522	common	True
chr5	32338679.0	1	58	0.012280330298539064	common	True
chr5	32338700.0	1	40	0.008469193309337285	rare	True
chr5	32338702.0	1	36	0.007622273978403557	rare	True
chr5	32338738.0	1	37	0.00783400381113699	rare	True
chr5	32338745.0	1	38	0.008045733643870422	rare	True
chr5	32338750.0	1	22	0.004658056320135507	rare	True
chrM	14872.0	1	341	0.07219987296210036	common	True
chrM	14883.0	1	659	0.13952995977133179	common	True
chrM	14886.0	1	814	0.17234808384501377	common	True
chrM	14907.0	1	365	0.07728138894770273	common	True
