chr	start	end	refStart_noChr	refEnd_noChr
chr1	6197257	6199757	6197257	6199757
chr1	6203475	6205975	6203475	6205975
chr1	6208889	6211389	6208889	6211389
chr1	6235472	6237972	6235472	6237972
chr1	6242179	6244679	6242179	6244679
chr1	6260598	6263098	6260598	6263098
chr1	6393267	6395767	6393267	6395767
chr1	6422776	6426670	6422776	6426670
chr1	6465675	6468175	6465675	6468175
chr1	6519574	6522074	6519574	6522074
chr1	6553307	6556513	6553307	6556513
chr1	6577994	6580494	6577994	6580494
chr1	6611731	6616607	6611731	6616607
chr1	6622868	6625368	6622868	6625368
chr1	6701424	6703924	6701424	6703924
chr1	6783454	6785954	6783454	6785954
chr1	7769296	7771796	7769296	7771796
chr1	7782291	7784791	7782291	7784791
chr1	7853012	7855512	7853012	7855512
chr1	7942665	7945165	7942665	7945165
chr1	7952291	7954791	7952291	7954791
chr1	8025809	8028309	8025809	8028309
chr1	8316114	8318614	8316114	8318614
chr1	8848421	8850921	8848421	8850921
chr1	8878690	8881190	8878690	8881190
chr1	8943867	8946367	8943867	8946367
chr1	9025923	9028423	9025923	9028423
chr1	9087978	9090478	9087978	9090478
chr1	9128602	9131102	9128602	9131102
chr1	9232774	9235274	9232774	9235274
chr1	9290894	9293394	9290894	9293394
chr1	9537465	9539965	9537465	9539965
chr1	9586911	9589411	9586911	9589411
chr1	9627889	9630389	9627889	9630389
chr1	9823484	9825984	9823484	9825984
chr1	9909836	9912336	9909836	9912336
chr1	9941428	9945407	9941428	9945407
chr1	9995206	9997706	9995206	9997706
chr1	10030832	10033332	10030832	10033332
chr1	10208570	10211070	10208570	10211070
chr1	10396592	10399092	10396592	10399092
chr1	10428102	10430933	10428102	10430933
chr1	10448031	10450531	10448031	10450531
chr1	10470288	10474529	10470288	10474529
chr1	10796150	10798650	10796150	10798650
chr1	10981576	10984076	10981576	10984076
chr1	11010344	11012844	11010344	11012844
chr1	11046739	11049239	11046739	11049239
chr1	11059520	11062020	11059520	11062020
chr1	11099369	11101869	11099369	11101869
chr1	11187355	11189855	11187355	11189855
chr1	11262056	11264556	11262056	11264556
chr1	11271198	11273698	11271198	11273698
chr1	11477155	11479655	11477155	11479655
chr1	11652375	11654875	11652375	11654875
chr1	11655285	11657785	11655285	11657785
chr1	11662200	11664700	11662200	11664700
chr1	11689710	11693811	11689710	11693811
chr1	11734084	11736584	11734084	11736584
chr1	11759787	11762287	11759787	11762287
chr1	11804096	11808455	11804096	11808455
chr1	11847845	11850345	11847845	11850345
chr1	11858445	11860945	11858445	11860945
chr1	11925928	11928428	11925928	11928428
chr1	11932205	11934705	11932205	11934705
chr1	11978181	11980681	11978181	11980681
chr1	12017466	12019966	12017466	12019966
chr1	12061303	12063803	12061303	12063803
chr1	12164991	12167491	12164991	12167491
chr1	12228030	12230530	12228030	12230530
chr1	12617710	12620210	12617710	12620210
chr1	12642085	12644585	12642085	12644585
chr1	12714110	12716610	12714110	12716610
chr1	12744200	12746700	12744200	12746700
chr1	12771738	12774238	12771738	12774238
chr1	12789397	12791897	12789397	12791897
chr1	12830910	12833410	12830910	12833410
chr1	12848220	12850720	12848220	12850720
chr1	12855086	12857586	12855086	12857586
chr1	12885701	12888201	12885701	12888201
chr1	12897770	12900270	12897770	12900270
chr1	12914610	12917110	12914610	12917110
chr1	12947080	12949580	12947080	12949580
chr1	13056075	13058575	13056075	13058575
chr1	13058769	13061269	13058769	13061269
chr1	13066677	13069177	13066677	13069177
chr1	13116354	13118854	13116354	13118854
chr1	13157616	13160116	13157616	13160116
chr1	13165131	13167631	13165131	13167631
chr1	13169848	13172348	13169848	13172348
chr1	13200909	13203409	13200909	13203409
chr1	13225654	13228154	13225654	13228154
chr1	13252198	13254698	13252198	13254698
chr1	13284637	13287137	13284637	13287137
chr1	13301539	13304039	13301539	13304039
chr1	13313581	13316081	13313581	13316081
chr1	13346634	13349134	13346634	13349134
chr1	13371447	13373947	13371447	13373947
chr1	13387632	13390132	13387632	13390132
chr1	13408450	13410950	13408450	13410950
chr1	13513503	13516003	13513503	13516003
chr1	13581465	13583965	13581465	13583965
chr1	13698188	13700688	13698188	13700688
chr1	13890792	13893292	13890792	13893292
chr1	15150532	15153032	15150532	15153032
chr1	15234521	15237021	15234521	15237021
chr1	15407888	15410388	15407888	15410388
chr1	15436442	15438942	15436442	15438942
chr1	15454728	15457228	15454728	15457228
chr1	15463909	15466409	15463909	15466409
chr1	15524813	15528534	15524813	15528534
chr1	15584551	15587051	15584551	15587051
chr1	15615458	15617958	15615458	15617958
chr1	15657713	15660213	15657713	15660213
chr1	15682320	15684820	15682320	15684820
chr1	15734258	15736758	15734258	15736758
chr1	15740499	15742999	15740499	15742999
chr1	15754607	15757107	15754607	15757107
chr1	15808848	15811348	15808848	15811348
chr1	15834095	15836595	15834095	15836595
chr1	15975632	15978132	15975632	15978132
chr1	16002236	16004736	16002236	16004736
chr1	16016875	16021594	16016875	16021594
chr1	16038252	16040752	16038252	16040752
chr1	16073151	16075651	16073151	16075651
chr1	16155569	16158069	16155569	16158069
chr1	16212152	16214652	16212152	16214652
chr1	16236683	16239183	16236683	16239183
chr1	16350575	16354480	16350575	16354480
chr1	16436924	16441221	16436924	16441221
chr1	16613062	16615562	16613062	16615562
chr1	16738273	16740773	16738273	16740773
chr1	16980132	16982632	16980132	16982632
chr1	17011257	17013928	17011257	17013928
chr1	17053532	17056032	17053532	17056032
chr1	17118951	17121451	17118951	17121451
chr1	17203128	17205628	17203128	17205628
chr1	17247098	17249598	17247098	17249598
chr1	17306195	17308695	17306195	17308695
chr1	17370196	17372696	17370196	17372696
chr1	17439177	17441677	17439177	17441677
chr1	17537698	17540198	17537698	17540198
chr1	17753333	17755833	17753333	17755833
chr1	18105798	18108298	18105798	18108298
chr1	18478930	18481430	18478930	18481430
chr1	18628846	18631346	18628846	18631346
chr1	18859160	18861660	18859160	18861660
chr1	18902224	18904724	18902224	18904724
chr1	18956176	18958676	18956176	18958676
chr1	19209766	19212266	19209766	19212266
chr1	19249805	19253552	19249805	19253552
chr1	19273694	19276194	19273694	19276194
chr1	19288270	19290770	19288270	19290770
chr1	19310326	19314144	19310326	19314144
chr1	19482403	19484903	19482403	19484903
chr1	19485039	19487539	19485039	19487539
chr1	19594979	19597567	19594979	19597567
chr1	19662875	19665375	19662875	19665375
chr1	19799445	19801945	19799445	19801945
chr1	19814783	19817283	19814783	19817283
chr1	19880395	19882895	19880395	19882895
chr1	19923117	19925617	19923117	19925617
chr1	19979916	19982416	19979916	19982416
chr1	20026179	20028679	20026179	20028679
chr1	20119066	20121566	20119066	20121566
chr1	20137323	20139823	20137323	20139823
chr1	20184096	20188518	20184096	20188518
chr1	20288875	20291375	20288875	20291375
chr1	20485710	20488210	20485710	20488210
chr1	20507651	20510151	20507651	20510151
chr1	20550573	20553073	20550573	20553073
chr1	20587086	20589586	20587086	20589586
chr1	20631458	20633958	20631458	20633958
chr1	20661044	20663544	20661044	20663544
chr1	20717517	20720017	20717517	20720017
chr1	20732337	20734837	20732337	20734837
chr1	20786823	20789323	20786823	20789323
chr1	21176785	21179285	21176785	21179285
chr1	21345072	21347572	21345072	21347572
chr1	21438128	21440628	21438128	21440628
chr1	21507397	21509897	21507397	21509897
chr1	21545404	21547904	21545404	21547904
chr1	21668857	21671357	21668857	21671357
chr1	21783106	21785606	21783106	21785606
chr1	21810265	21812765	21810265	21812765
chr1	21936810	21939310	21936810	21939310
chr1	21975022	21977522	21975022	21977522
chr1	21999657	22002157	21999657	22002157
chr1	22023142	22025642	22023142	22025642
chr1	22050627	22053127	22050627	22053127
chr1	22143469	22145969	22143469	22145969
chr1	22426838	22429338	22426838	22429338
chr1	22561489	22563989	22561489	22563989
chr1	22633077	22637006	22633077	22637006
chr1	22641014	22643514	22641014	22643514
chr1	22650762	22653262	22650762	22653262
chr1	22708839	22711339	22708839	22711339
chr1	22972366	22974866	22972366	22974866
chr1	23017443	23021100	23017443	23021100
chr1	23177308	23179808	23177308	23179808
chr1	23217002	23219502	23217002	23219502
chr1	23343836	23346336	23343836	23346336
chr1	23369336	23371836	23369336	23371836
chr1	23424248	23426748	23424248	23426748
chr1	23484068	23486568	23484068	23486568
chr1	23530733	23533233	23530733	23533233
chr1	23559001	23561501	23559001	23561501
chr1	23689742	23692242	23689742	23692242
chr1	23741448	23743948	23741448	23743948
chr1	23776418	23778918	23776418	23778918
chr1	23789145	23791645	23789145	23791645
chr1	23800281	23802781	23800281	23802781
chr1	23838120	23840620	23838120	23840620
chr1	23867790	23870290	23867790	23870290
chr1	23912862	23915362	23912862	23915362
chr1	23954839	23957339	23954839	23957339
chr1	23980427	23982927	23980427	23982927
chr1	24111635	24114135	24111635	24114135
chr1	24142640	24145140	24142640	24145140
chr1	24187459	24189959	24187459	24189959
chr1	24197558	24200058	24197558	24200058
chr1	24413802	24416302	24413802	24416302
chr1	24416434	24418934	24416434	24418934
chr1	24500351	24502851	24500351	24502851
chr1	24554087	24556587	24554087	24556587
chr1	24629716	24632216	24629716	24632216
chr1	24743382	24745882	24743382	24745882
chr1	24964621	24967121	24964621	24967121
chr1	25232002	25234502	25232002	25234502
chr1	25270393	25272893	25270393	25272893
chr1	25336317	25340213	25336317	25340213
chr1	25428858	25432192	25428858	25432192
chr1	25541606	25544106	25541606	25544106
chr1	25614791	25617291	25614791	25617291
chr1	25798193	25800693	25798193	25800693
chr1	25809470	25811970	25809470	25811970
chr1	25816640	25819140	25816640	25819140
chr1	25858958	25861458	25858958	25861458
chr1	25875208	25877708	25875208	25877708
chr1	25906491	25908991	25906491	25908991
chr1	25997617	26000117	25997617	26000117
chr1	26017884	26020384	26017884	26020384
chr1	26045618	26048118	26045618	26048118
chr1	26067936	26070436	26067936	26070436
chr1	26109165	26111665	26109165	26111665
chr1	26157079	26159579	26157079	26159579
chr1	26167908	26170963	26167908	26170963
chr1	26171332	26173832	26171332	26173832
chr1	26175484	26177984	26175484	26177984
chr1	26188561	26191061	26188561	26191061
chr1	26232200	26234700	26232200	26234700
chr1	26278086	26280586	26278086	26280586
chr1	26315958	26320363	26315958	26320363
chr1	26359580	26362080	26359580	26362080
chr1	26374022	26376522	26374022	26376522
chr1	26408817	26411317	26408817	26411317
chr1	26430282	26432782	26430282	26432782
chr1	26470440	26472940	26470440	26472940
chr1	26527761	26530261	26527761	26530261
chr1	26691236	26693736	26691236	26693736
chr1	26785054	26787554	26785054	26787554
chr1	26824688	26827188	26824688	26827188
chr1	26861149	26863649	26861149	26863649
chr1	26889783	26892283	26889783	26892283
chr1	26898238	26902467	26898238	26902467
chr1	26913475	26915975	26913475	26915975
chr1	26959968	26962468	26959968	26962468
chr1	26991692	26994192	26991692	26994192
chr1	27012350	27014850	27012350	27014850
chr1	27166481	27168981	27166481	27168981
chr1	27232632	27235132	27232632	27235132
chr1	27320145	27322645	27320145	27322645
chr1	27340020	27342520	27340020	27342520
chr1	27366461	27368961	27366461	27368961
chr1	27374324	27376824	27374324	27376824
chr1	27382833	27385333	27382833	27385333
chr1	27390622	27393122	27390622	27393122
chr1	27489667	27492167	27489667	27492167
chr1	27603931	27606431	27603931	27606431
chr1	27634685	27637185	27634685	27637185
chr1	27671712	27674212	27671712	27674212
chr1	27723961	27726461	27723961	27726461
chr1	27771219	27773719	27771219	27773719
chr1	27828782	27831282	27828782	27831282
chr1	27870543	27873043	27870543	27873043
chr1	27914246	27916746	27914246	27916746
chr1	27933000	27935500	27933000	27935500
chr1	27957588	27960088	27957588	27960088
chr1	28088137	28090637	28088137	28090637
chr1	28193436	28195936	28193436	28195936
chr1	28232529	28236609	28232529	28236609
chr1	28257518	28260018	28257518	28260018
chr1	28327002	28329502	28327002	28329502
chr1	28367582	28370082	28367582	28370082
chr1	28503943	28506443	28503943	28506443
chr1	28551085	28553585	28551085	28553585
chr1	28590200	28592700	28590200	28592700
chr1	28647791	28650291	28647791	28650291
chr1	28666778	28669278	28666778	28669278
chr1	28734621	28737121	28734621	28737121
chr1	28810170	28812670	28810170	28812670
chr1	28885091	28887591	28885091	28887591
chr1	29123403	29125903	29123403	29125903
chr1	29181400	29183900	29181400	29183900
chr1	29230442	29232942	29230442	29232942
chr1	29234516	29237016	29234516	29237016
chr1	30576325	30578825	30576325	30578825
chr1	30723085	30725585	30723085	30725585
chr1	30757274	30759774	30757274	30759774
chr1	30908258	30910758	30908258	30910758
chr1	31065491	31067991	31065491	31067991
chr1	31239387	31241887	31239387	31241887
chr1	31294982	31298788	31294982	31298788
chr1	31376350	31378850	31376350	31378850
chr1	31407565	31410065	31407565	31410065
chr1	31574485	31576985	31574485	31576985
chr1	31615686	31618186	31615686	31618186
chr1	31644396	31646896	31644396	31646896
chr1	31703819	31706319	31703819	31706319
chr1	31764393	31766893	31764393	31766893
chr1	31815522	31818022	31815522	31818022
chr1	31937510	31940010	31937510	31940010
chr1	31944356	31946856	31944356	31946856
chr1	32011868	32014368	32011868	32014368
chr1	32070031	32072531	32070031	32072531
chr1	32106056	32108556	32106056	32108556
chr1	32177675	32180175	32177675	32180175
chr1	32198595	32201095	32198595	32201095
chr1	32203671	32206171	32203671	32206171
chr1	32207089	32209589	32207089	32209589
chr1	32219077	32221577	32219077	32221577
chr1	32221859	32224359	32221859	32224359
chr1	32245222	32247722	32245222	32247722
chr1	32249244	32251744	32249244	32251744
chr1	32290083	32292583	32290083	32292583
chr1	32335733	32338233	32335733	32338233
chr1	32349521	32352021	32349521	32352021
chr1	32363778	32366278	32363778	32366278
chr1	32394231	32396731	32394231	32396731
chr1	32463057	32465572	32463057	32465572
chr1	32537427	32539927	32537427	32539927
chr1	32649142	32652903	32649142	32652903
chr1	32703096	32705596	32703096	32705596
chr1	32739830	32742330	32739830	32742330
chr1	32814767	32817267	32814767	32817267
chr1	32817531	32820031	32817531	32820031
chr1	32871982	32874482	32871982	32874482
chr1	32883994	32886494	32883994	32886494
chr1	32900938	32903438	32900938	32903438
chr1	32964309	32966809	32964309	32966809
chr1	33079104	33082996	33079104	33082996
chr1	33181559	33184059	33181559	33184059
chr1	33254492	33256992	33254492	33256992
chr1	33320598	33323098	33320598	33323098
chr1	33430595	33433095	33430595	33433095
chr1	33470645	33473145	33470645	33473145
chr1	33858475	33860975	33858475	33860975
chr1	34164883	34167842	34164883	34167842
chr1	34753047	34755547	34753047	34755547
chr1	34757740	34760240	34757740	34760240
chr1	34779214	34781714	34779214	34781714
chr1	34790999	34793499	34790999	34793499
chr1	34859255	34861755	34859255	34861755
chr1	34929150	34931650	34929150	34931650
chr1	34984813	34987347	34984813	34987347
chr1	35030172	35033945	35030172	35033945
chr1	35192946	35195446	35192946	35195446
chr1	35266709	35269209	35266709	35269209
chr1	35555473	35559950	35555473	35559950
chr1	35571314	35573814	35571314	35573814
chr1	35641026	35643526	35641026	35643526
chr1	35718394	35720894	35718394	35720894
chr1	35769478	35771978	35769478	35771978
chr1	35806016	35808516	35806016	35808516
chr1	35867808	35870308	35867808	35870308
chr1	35928718	35931218	35928718	35931218
chr1	36082094	36084594	36082094	36084594
chr1	36086892	36089392	36086892	36089392
chr1	36124722	36127222	36124722	36127222
chr1	36153579	36158053	36153579	36158053
chr1	36222432	36224932	36222432	36224932
chr1	36304368	36306868	36304368	36306868
chr1	36323654	36326154	36323654	36326154
chr1	36385424	36387924	36385424	36387924
chr1	36397408	36399908	36397408	36399908
chr1	36449951	36452451	36449951	36452451
chr1	36463884	36466384	36463884	36466384
chr1	36482778	36485278	36482778	36485278
chr1	37034015	37036515	37034015	37036515
chr1	37472580	37475080	37472580	37475080
chr1	37514266	37516766	37514266	37516766
chr1	37553793	37557419	37553793	37557419
chr1	37595437	37597937	37595437	37597937
chr1	37634392	37636892	37634392	37636892
chr1	37690481	37694249	37690481	37694249
chr1	37764633	37767133	37764633	37767133
chr1	37791847	37794347	37791847	37794347
chr1	37804979	37807479	37804979	37807479
chr1	37807708	37810208	37807708	37810208
chr1	37859092	37861592	37859092	37861592
chr1	37946553	37949053	37946553	37949053
chr1	37989575	37992075	37989575	37992075
chr1	38005106	38009758	38005106	38009758
chr1	38046293	38048793	38046293	38048793
chr1	38859272	38861772	38859272	38861772
chr1	38872868	38875368	38872868	38875368
chr1	38881087	38883617	38881087	38883617
chr1	38941330	38943830	38941330	38943830
chr1	38989276	38991776	38989276	38991776
chr1	39024318	39026818	39024318	39026818
chr1	39079316	39081816	39079316	39081816
chr1	39489636	39492136	39489636	39492136
chr1	39576290	39578790	39576290	39578790
chr1	39639143	39641643	39639143	39641643
chr1	39671607	39674107	39671607	39674107
chr1	39690182	39693485	39690182	39693485
chr1	39770848	39773348	39770848	39773348
chr1	39788365	39790865	39788365	39790865
chr1	39883011	39885511	39883011	39885511
chr1	39901756	39904256	39901756	39904256
chr1	39953112	39955612	39953112	39955612
chr1	40038233	40040733	40038233	40040733
chr1	40096760	40099260	40096760	40099260
chr1	40159387	40161887	40159387	40161887
chr1	40243947	40246447	40243947	40246447
chr1	40256041	40258541	40256041	40258541
chr1	40317313	40319813	40317313	40319813
chr1	40342850	40345350	40342850	40345350
chr1	40448102	40450602	40448102	40450602
chr1	40475290	40477790	40475290	40477790
chr1	40506741	40509241	40506741	40509241
chr1	40529573	40532073	40529573	40532073
chr1	40665182	40667682	40665182	40667682
chr1	40689648	40692148	40689648	40692148
chr1	40781787	40784287	40781787	40784287
chr1	40861863	40864363	40861863	40864363
chr1	40977300	40979800	40977300	40979800
chr1	41022737	41025237	41022737	41025237
chr1	41241806	41244306	41241806	41244306
chr1	41359922	41362422	41359922	41362422
chr1	41484183	41486683	41484183	41486683
chr1	41628316	41630816	41628316	41630816
chr1	42035425	42037925	42035425	42037925
chr1	42151410	42153910	42151410	42153910
chr1	42164245	42166745	42164245	42166745
chr1	42335377	42337877	42335377	42337877
chr1	42378792	42381292	42378792	42381292
chr1	42454117	42458253	42454117	42458253
chr1	42461221	42463721	42461221	42463721
chr1	42656335	42658835	42656335	42658835
chr1	42680418	42682918	42680418	42682918
chr1	42739754	42742254	42739754	42742254
chr1	42765245	42769084	42765245	42769084
chr1	42782991	42785491	42782991	42785491
chr1	42815122	42819397	42815122	42819397
chr1	42844573	42847073	42844573	42847073
chr1	42958393	42960893	42958393	42960893
chr1	43143153	43145653	43143153	43145653
chr1	43170330	43172830	43170330	43172830
chr1	43267983	43272936	43267983	43272936
chr1	43285117	43287617	43285117	43287617
chr1	43298982	43301482	43298982	43301482
chr1	43335818	43338318	43335818	43338318
chr1	43356981	43359481	43356981	43359481
chr1	43367574	43370074	43367574	43370074
chr1	43387882	43391808	43387882	43391808
chr1	43453489	43455989	43453489	43455989
chr1	43523187	43525687	43523187	43525687
chr1	43648149	43650649	43648149	43650649
chr1	43703824	43706324	43703824	43706324
chr1	43931320	43933820	43931320	43933820
chr1	43944950	43947450	43944950	43947450
chr1	43968000	43970500	43968000	43970500
chr1	43972487	43974987	43972487	43974987
chr1	43976943	43979443	43976943	43979443
chr1	43989359	43991859	43989359	43991859
chr1	44030967	44033467	44030967	44033467
chr1	44116821	44119321	44116821	44119321
chr1	44141131	44143631	44141131	44143631
chr1	44211455	44213955	44211455	44213955
chr1	44354760	44357260	44354760	44357260
chr1	44403194	44405694	44403194	44405694
chr1	44672692	44676481	44672692	44676481
chr1	44737818	44740318	44737818	44740318
chr1	44773251	44775751	44773251	44775751
chr1	44787670	44790170	44787670	44790170
chr1	44798377	44800877	44798377	44800877
chr1	44806523	44809351	44806523	44809351
chr1	44842753	44845253	44842753	44845253
chr1	44986222	44988722	44986222	44988722
chr1	45008950	45013324	45008950	45013324
chr1	45305709	45308209	45305709	45308209
chr1	45324895	45327395	45324895	45327395
chr1	45338052	45342893	45338052	45342893
chr1	45490655	45493163	45490655	45493163
chr1	45498300	45502079	45498300	45502079
chr1	45542232	45544732	45542232	45544732
chr1	45548543	45551043	45548543	45551043
chr1	45581846	45584346	45581846	45584346
chr1	45623557	45626057	45623557	45626057
chr1	45686181	45690113	45686181	45690113
chr1	45750153	45752653	45750153	45752653
chr1	45784987	45787487	45784987	45787487
chr1	46132536	46135036	46132536	46135036
chr1	46173073	46175573	46173073	46175573
chr1	46175988	46178488	46175988	46178488
chr1	46201334	46203834	46201334	46203834
chr1	46219805	46222305	46219805	46222305
chr1	46244461	46246961	46244461	46246961
chr1	46301698	46305616	46301698	46305616
chr1	46338789	46341289	46338789	46341289
chr1	46392317	46394817	46392317	46394817
chr1	46487836	46490336	46487836	46490336
chr1	46543469	46545969	46543469	46545969
chr1	46551147	46553647	46551147	46553647
chr1	46616311	46618843	46616311	46618843
chr1	46666855	46669355	46666855	46669355
chr1	46673367	46675867	46673367	46675867
chr1	46718646	46721146	46718646	46721146
chr1	46755838	46758338	46755838	46758338
chr1	46940984	46943484	46940984	46943484
chr1	47021669	47024169	47021669	47024169
chr1	47065231	47067731	47065231	47067731
chr1	47135435	47137935	47135435	47137935
chr1	47190544	47193044	47190544	47193044
chr1	47231725	47234225	47231725	47234225
chr1	47314392	47316892	47314392	47316892
chr1	47331790	47334290	47331790	47334290
chr1	47414285	47416785	47414285	47416785
chr1	47436044	47438544	47436044	47438544
chr1	47996885	47999385	47996885	47999385
chr1	48220685	48223185	48220685	48223185
chr1	48471708	48474208	48471708	48474208
chr1	48776469	48778969	48776469	48778969
chr1	50022029	50025954	50022029	50025954
chr1	50422943	50425443	50422943	50425443
chr1	50958745	50962267	50958745	50962267
chr1	51100221	51102721	51100221	51102721
chr1	51234273	51236773	51234273	51236773
chr1	51344616	51347116	51344616	51347116
chr1	51518828	51521328	51518828	51521328
chr1	51575179	51577679	51575179	51577679
chr1	51878305	51880805	51878305	51880805
chr1	51990200	51992700	51990200	51992700
chr1	52032850	52035810	52032850	52035810
chr1	52054199	52057191	52054199	52057191
chr1	52140089	52142589	52140089	52142589
chr1	52365705	52368205	52365705	52368205
chr1	52402602	52406423	52402602	52406423
chr1	52552987	52555487	52552987	52555487
chr1	52600371	52602871	52600371	52602871
chr1	52631168	52633668	52631168	52633668
chr1	52697847	52700347	52697847	52700347
chr1	52724453	52726953	52724453	52726953
chr1	52840511	52843011	52840511	52843011
chr1	52925276	52929212	52925276	52929212
chr1	53060052	53062552	53060052	53062552
chr1	53142138	53144638	53142138	53144638
chr1	53194792	53197292	53194792	53197292
chr1	53220134	53222634	53220134	53222634
chr1	53238018	53240518	53238018	53240518
chr1	53327969	53330469	53327969	53330469
chr1	53457399	53459899	53457399	53459899
chr1	53738664	53741164	53738664	53741164
chr1	53837963	53840463	53837963	53840463
chr1	53889239	53891798	53889239	53891798
chr1	53944085	53947699	53944085	53947699
chr1	54017686	54020186	54017686	54020186
chr1	54051584	54055504	54051584	54055504
chr1	54153270	54155770	54153270	54155770
chr1	54182041	54184541	54182041	54184541
chr1	54199536	54202073	54199536	54202073
chr1	54412979	54415479	54412979	54415479
chr1	54540257	54542757	54540257	54542757
chr1	54623056	54625556	54623056	54625556
chr1	54639754	54642286	54639754	54642286
chr1	54713861	54716361	54713861	54716361
chr1	54764023	54766523	54764023	54766523
chr1	54800823	54803323	54800823	54803323
chr1	54804063	54806563	54804063	54806563
chr1	54886695	54889195	54886695	54889195
chr1	54978628	54981128	54978628	54981128
chr1	54996933	54999433	54996933	54999433
chr1	55037447	55039947	55037447	55039947
chr1	55214878	55217378	55214878	55217378
chr1	56523995	56526495	56523995	56526495
chr1	56643314	56647301	56643314	56647301
chr1	56819196	56821696	56819196	56821696
chr1	56852768	56855268	56852768	56855268
chr1	56973883	56976383	56973883	56976383
chr1	58546234	58548802	58546234	58548802
chr1	58576752	58579252	58576752	58579252
chr1	58699590	58702090	58699590	58702090
chr1	58783548	58786048	58783548	58786048
chr1	59294638	59297138	59294638	59297138
chr1	59812786	59815286	59812786	59815286
chr1	59926273	59928773	59926273	59928773
chr1	60073270	60075770	60073270	60075770
chr1	60863259	60865759	60863259	60865759
chr1	61724923	61727423	61724923	61727423
chr1	61740477	61742977	61740477	61742977
chr1	62192849	62195349	62192849	62195349
chr1	62318934	62321434	62318934	62321434
chr1	62434297	62436797	62434297	62436797
chr1	62595520	62598020	62595520	62598020
chr1	62687886	62690386	62687886	62690386
chr1	62782132	62784632	62782132	62784632
chr1	63320567	63323067	63320567	63323067
chr1	63365575	63368075	63365575	63368075
chr1	63521372	63523872	63521372	63523872
chr1	63591411	63595721	63591411	63595721
chr1	63772017	63774517	63772017	63774517
chr1	64201623	64204123	64201623	64204123
chr1	64468129	64470629	64468129	64470629
chr1	64743075	64745575	64743075	64745575
chr1	65067254	65069754	65067254	65069754
chr1	65145549	65148049	65145549	65148049
chr1	65246219	65248719	65246219	65248719
chr1	65418587	65421152	65418587	65421152
chr1	65790514	65793014	65790514	65793014
chr1	66531267	66533767	66531267	66533767
chr1	66750459	66752959	66750459	66752959
chr1	66800776	66803276	66800776	66803276
chr1	66922895	66926856	66922895	66926856
chr1	67053648	67056148	67053648	67056148
