Chr	Mt Start	Mt End	Mt fragment length	Nuc Start	Nuc End	Chr fragment length	Difference	Source
1	4611	5021	411	50017096	50017505	410	1	Calabrese_BMCBioinformatics_2012_低置信;Calabrese_BMCBioinformatics_2012_高置信;Simone_BMC_Genomics_2011_版本1_766_HSP;Simone_BMC_Genomics_2011_版本2_585_高置信;Tao_Genes_2023;UCSC_https://hgdownload.soe.ucsc.edu/goldenPath/hg18/database/
1	14195	16491	2297	50714133	50714138	6	2291	Nyuwa基因组资源NUMTs;Wei_Nature_2022_生殖系
1	3675	3713	39	50756365	50756366	2	37	Wei_Nature_2022_生殖系
1	15107	15250	144	51432616	51432626	11	133	Wei_Nature_2022_生殖系
1	15571	16091	521	51646545	51646545	1	520	Wei_Nature_2022_肿瘤
1	2705	11840	9136	51920025	51920025	1	9135	Wei_Nature_2022_生殖系
1	6162	6544	383	52330428	52330437	10	373	Wei_Nature_2022_生殖系
1	14860	14952	93	52979127	52979128	2	91	Nyuwa基因组资源NUMTs;Wei_Nature_2022_生殖系
1	90	16423	16334	53679944	53679945	2	16332	Wei_Nature_2022_生殖系
1	6907	7115	209	53778696	53778697	2	207	Wei_Nature_2022_生殖系
1	14644	14725	82	54694418	54694419	2	80	Wei_Nature_2022_生殖系
1	7301	8453	1153	55372550	55373651	1102	51	Calabrese_BMCBioinformatics_2012_低置信;Calabrese_BMCBioinformatics_2012_高置信;Simone_BMC_Genomics_2011_版本1_766_HSP;Simone_BMC_Genomics_2011_版本2_585_高置信;Tao_Genes_2023;UCSC_https://hgdownload.soe.ucsc.edu/goldenPath/hg18/database/
1	3245	12367	9123	57714056	57714056	1	9122	Wei_Nature_2022_生殖系
1	3245	12367	9123	57717044	57717044	1	9122	Wei_Nature_2022_生殖系
1	15420	15478	59	59195879	59195881	3	56	Nyuwa基因组资源NUMTs
1	108	16451	16344	60562625	60562628	4	16340	Wei_Nature_2022_生殖系
1	12698	12772	75	60662500	60662502	3	72	Nyuwa基因组资源NUMTs
1	9771	9905	135	60745303	60745305	3	132	Nyuwa基因组资源NUMTs
1	865	1253	389	60828104	60828105	2	387	Nyuwa基因组资源NUMTs;Wei_Nature_2022_生殖系
1	5958	6076	119	61649661	61649662	2	117	Wei_Nature_2022_生殖系
1	16112	16531	420	62609268	62609268	1	419	Wei_Nature_2022_肿瘤
1	9288	9538	251	62803798	62803800	3	248	Nyuwa基因组资源NUMTs
1	16212	16212	1	62845712	62845712	1	0	Wei_Nature_2022_肿瘤
1	466	577	112	63432575	63432586	12	100	Nyuwa基因组资源NUMTs
1	15860	15966	107	64150284	64150284	1	106	Wei_Nature_2022_生殖系
1	3627	13450	9824	67098820	67098820	1	9823	Wei_Nature_2022_生殖系
1	8539	20175	11637	67106853	67106853	1	11636	Nyuwa基因组资源NUMTs;Wei_Nature_2022_生殖系
1	10175	10245	71	67178207	67178207	1	70	Wei_Nature_2022_生殖系
1	14774	14863	90	68242117	68242118	2	88	Wei_Nature_2022_生殖系
1	12100	14664	2565	68259362	68259362	1	2564	Wei_Nature_2022_生殖系
1	12975	13413	439	68710694	68710696	3	436	Wei_Nature_2022_生殖系
1	3445	3836	392	70090824	70090826	3	389	Wei_Nature_2022_生殖系
1	6535	6704	170	70099813	70099825	13	157	Wei_Nature_2022_生殖系
1	864	4779	3916	72598898	72598900	3	3913	Wei_Nature_2022_生殖系
1	1584	1659	76	73818965	73818966	2	74	Nyuwa基因组资源NUMTs
1	4529	9668	5140	74082315	74082320	6	5134	Wei_Nature_2022_生殖系
1	1135	1308	174	75166767	75166780	14	160	Wei_Nature_2022_生殖系
1	10652	10816	165	75587548	75587549	2	163	Nyuwa基因组资源NUMTs
1	12250	12382	133	75855369	75855371	3	130	Nyuwa基因组资源NUMTs
1	3910	13173	9264	76602656	76602658	3	9261	Wei_Nature_2022_生殖系
1	16400	16566	167	76971249	76971415	167	0	Calabrese_BMCBioinformatics_2012_低置信;Calabrese_BMCBioinformatics_2012_高置信;Simone_BMC_Genomics_2011_版本1_766_HSP;Simone_BMC_Genomics_2011_版本2_585_高置信;Tao_Genes_2023;UCSC_https://hgdownload.soe.ucsc.edu/goldenPath/hg18/database/;Wei_Nature_2022_生殖系
1	3591	3793	203	78738194	78738220	27	176	Nyuwa基因组资源NUMTs
1	4969	5343	375	81080801	81081175	375	0	Calabrese_BMCBioinformatics_2012_低置信;Calabrese_BMCBioinformatics_2012_高置信;Simone_BMC_Genomics_2011_版本1_766_HSP;Simone_BMC_Genomics_2011_版本2_585_高置信;Tao_Genes_2023;UCSC_https://hgdownload.soe.ucsc.edu/goldenPath/hg18/database/
1	2543	11449	8907	82269304	82269322	19	8888	Wei_Nature_2022_生殖系
1	5528	5831	304	82377224	82377239	16	288	Nyuwa基因组资源NUMTs
1	9914	10071	158	85292006	85292006	1	157	Nyuwa基因组资源NUMTs
1	12082	12188	107	86343239	86343240	2	105	Nyuwa基因组资源NUMTs
1	2811	2882	72	86355209	86355210	2	70	Nyuwa基因组资源NUMTs
1	13885	14016	132	87807861	87807864	4	128	Nyuwa基因组资源NUMTs
1	16170	16249	80	88180549	88180549	1	79	Wei_Nature_2022_生殖系
1	1368	1477	110	88478001	88478006	6	104	Wei_Nature_2022_生殖系
1	6854	6956	103	92121364	92121388	25	78	Wei_Nature_2022_生殖系
1	8963	9034	72	92367985	92367989	5	67	Nyuwa基因组资源NUMTs
1	1739	12883	11145	93920175	93937743	17569	6424	Calabrese_BMCBioinformatics_2012_高置信;Simone_BMC_Genomics_2011_版本2_585_高置信
1	12612	12768	157	93920442	93920596	155	2	Calabrese_BMCBioinformatics_2012_低置信;Simone_BMC_Genomics_2011_版本1_766_HSP;Tao_Genes_2023;UCSC_https://hgdownload.soe.ucsc.edu/goldenPath/hg18/database/
1	12031	12339	309	93921981	93922279	299	10	Calabrese_BMCBioinformatics_2012_低置信;Simone_BMC_Genomics_2011_版本1_766_HSP;Tao_Genes_2023;UCSC_https://hgdownload.soe.ucsc.edu/goldenPath/hg18/database/
1				93922585	93923554	970		Tao_Genes_2023
1	9219	9858	640	93925174	93925307	134	506	Calabrese_BMCBioinformatics_2012_低置信;Simone_BMC_Genomics_2011_版本1_766_HSP;Tao_Genes_2023;UCSC_https://hgdownload.soe.ucsc.edu/goldenPath/hg18/database/
1	7862	8245	384	93926635	93927071	437	53	Calabrese_BMCBioinformatics_2012_低置信;Simone_BMC_Genomics_2011_版本1_766_HSP;Tao_Genes_2023;UCSC_https://hgdownload.soe.ucsc.edu/goldenPath/hg18/database/
1	6837	7679	843	93927471	93928308	838	5	Calabrese_BMCBioinformatics_2012_低置信;Simone_BMC_Genomics_2011_版本1_766_HSP;Tao_Genes_2023;UCSC_https://hgdownload.soe.ucsc.edu/goldenPath/hg18/database/
1	5565	6108	544	93933749	93934284	536	8	Calabrese_BMCBioinformatics_2012_低置信;Simone_BMC_Genomics_2011_版本1_766_HSP;Tao_Genes_2023;UCSC_https://hgdownload.soe.ucsc.edu/goldenPath/hg18/database/
1	4699	4891	193	93935023	93935231	209	16	Calabrese_BMCBioinformatics_2012_低置信;Simone_BMC_Genomics_2011_版本1_766_HSP;Tao_Genes_2023;UCSC_https://hgdownload.soe.ucsc.edu/goldenPath/hg18/database/
1	1739	3106	1368	93936406	93937757	1352	16	Calabrese_BMCBioinformatics_2012_低置信;Simone_BMC_Genomics_2011_版本1_766_HSP;Tao_Genes_2023;UCSC_https://hgdownload.soe.ucsc.edu/goldenPath/hg18/database/
1	14320	14391	72	97559467	97559467	1	71	Nyuwa基因组资源NUMTs
1	10196	10262	67	98067516	98067517	2	65	Wei_Nature_2022_生殖系
1	15116	15324	209	98143138	98143142	5	204	Wei_Nature_2022_生殖系
1	6197	6329	133	99362935	99362936	2	131	Wei_Nature_2022_生殖系
1	8944	9068	125	100327374	100327399	26	99	Wei_Nature_2022_生殖系
1	2705	2920	216	100920638	100920639	2	214	Wei_Nature_2022_生殖系
1			13053	101936940	101936948	9	13044	Nyuwa基因组资源NUMTs
1	15034	15209	176	102577139	102577144	6	170	Wei_Nature_2022_生殖系
1	12017	12200	184	103166189	103166192	4	180	Nyuwa基因组资源NUMTs
1	12476	12518	43	103621156	103621198	43	0	Calabrese_BMCBioinformatics_2012_低置信;Calabrese_BMCBioinformatics_2012_高置信;Simone_BMC_Genomics_2011_版本1_766_HSP;Simone_BMC_Genomics_2011_版本2_585_高置信;Tao_Genes_2023;UCSC_https://hgdownload.soe.ucsc.edu/goldenPath/hg18/database/
1	535	12758	12224	104299345	104299345	1	12223	Wei_Nature_2022_生殖系
1	16107	16569	463	104618625	104618625	1	462	Wei_Nature_2022_肿瘤
1	2773	2847	75	104727996	104728002	7	68	Wei_Nature_2022_生殖系
1	8878	10204	1327	105004816	105004817	2	1325	Wei_Nature_2022_生殖系
1	16042	16537	496	105140669	105140669	1	495	Wei_Nature_2022_生殖系
1	12735	12818	84	105862911	105862912	2	82	Nyuwa基因组资源NUMTs
1	5855	9328	3474	106802629	106806125	3497	23	Calabrese_BMCBioinformatics_2012_低置信;Calabrese_BMCBioinformatics_2012_高置信;Daniela_Lascaro_BMC_Genomics_2008;Simone_BMC_Genomics_2011_版本1_766_HSP;Simone_BMC_Genomics_2011_版本2_585_高置信;Tao_Genes_2023;UCSC_https://hgdownload.soe.ucsc.edu/goldenPath/hg18/database/
1				107369143	107369276	134		Tao_Genes_2023
1	3911	5431	1521	108142228	108142228	1	1520	Wei_Nature_2022_生殖系
1	3911	5431	1521	108197995	108198067	73	1448	Wei_Nature_2022_生殖系
1	3844	7688	3845	109841389	109841389	1	3844	Nyuwa基因组资源NUMTs
1	12859	13044	186	110157772	110157774	3	183	Wei_Nature_2022_生殖系
1	13327	13450	124	113576758	113576881	124	0	Calabrese_BMCBioinformatics_2012_低置信;Calabrese_BMCBioinformatics_2012_高置信;Simone_BMC_Genomics_2011_版本1_766_HSP;Simone_BMC_Genomics_2011_版本2_585_高置信;Tao_Genes_2023;UCSC_https://hgdownload.soe.ucsc.edu/goldenPath/hg18/database/
1	15774	16115	342	114004828	114004833	6	336	Wei_Nature_2022_生殖系
1	3890	4135	246	114648758	114648759	2	244	Wei_Nature_2022_生殖系
1	13330	13470	141	116087672	116087677	6	135	Wei_Nature_2022_生殖系
1	2583	2652	70	118142050	118142056	7	63	Nyuwa基因组资源NUMTs;Wei_Nature_2022_生殖系
1	1051	3162	2112	119942350	119944634	2285	173	Daniela_Lascaro_BMC_Genomics_2008
1	2619	8157	5539	121486847	121486891	45	5494	Wei_Nature_2022_生殖系
1	8008	8472	465	122592474	122592474	1	464	Wei_Nature_2022_肿瘤
1	8497	10301	1805	125180142	125180212	71	1734	Nyuwa基因组资源NUMTs
1	12339	14980	2642	144452707	144452712	6	2636	Wei_Nature_2022_生殖系
1	11611	11771	161	146153092	146153135	44	117	Wei_Nature_2022_生殖系
1	15610	16053	444	146436740	146436740	1	443	Wei_Nature_2022_肿瘤
1	6869	6980	112	147860672	147860783	112	0	Calabrese_BMCBioinformatics_2012_低置信;Calabrese_BMCBioinformatics_2012_高置信;Simone_BMC_Genomics_2011_版本1_766_HSP;Simone_BMC_Genomics_2011_版本2_585_高置信;Tao_Genes_2023;UCSC_https://hgdownload.soe.ucsc.edu/goldenPath/hg18/database/
1	1597	3194	1598	147997141	147997141	1	1597	Nyuwa基因组资源NUMTs
1	15610	16053	444	149136094	149136094	1	443	Wei_Nature_2022_肿瘤
1	2598	2723	126	150524300	150524300	1	125	Wei_Nature_2022_生殖系
1	7947	8033	87	151584221	151584221	1	86	Wei_Nature_2022_肿瘤
1	109	16403	16295	151610524	151610524	1	16294	Wei_Nature_2022_肿瘤
1	5236	5382	147	152512409	152512412	4	143	Nyuwa基因组资源NUMTs
1	6864	6960	97	152812311	152812311	1	96	Nyuwa基因组资源NUMTs
1	959	1183	225	153790926	153790931	6	219	Wei_Nature_2022_生殖系
1	5768	5836	69	155004601	155004601	1	68	Wei_Nature_2022_肿瘤
1	5737	11474	5738	155525795	155525795	1	5737	Nyuwa基因组资源NUMTs
1	14471	15165	695	155822239	155822239	1	694	Wei_Nature_2022_肿瘤
1	12807	13031	225	156110772	156110772	1	224	Wei_Nature_2022_肿瘤
1	2816	2993	178	157674530	157674530	1	177	Wei_Nature_2022_肿瘤
1	3532	3625	94	157715667	157715667	1	93	Wei_Nature_2022_生殖系
1	16287	16460	174	157913738	157913739	2	172	Nyuwa基因组资源NUMTs;Wei_Nature_2022_生殖系
1	143	16474	16332	159237506	159237506	1	16331	Wei_Nature_2022_肿瘤
1	9718	9859	142	159624707	159624713	7	135	Wei_Nature_2022_生殖系
1	12480	12555	76	160776431	160776432	2	74	Nyuwa基因组资源NUMTs
1	12994	13059	66	161355070	161355070	1	65	Wei_Nature_2022_生殖系
1	7671	13088	5418	161538480	161538480	1	5417	Wei_Nature_2022_生殖系
1	3838	4092	255	163393421	163393422	2	253	Wei_Nature_2022_生殖系
1	3210	3392	183	163996131	163996135	5	178	Wei_Nature_2022_生殖系
1	1359	1488	130	167182477	167182477	1	129	Nyuwa基因组资源NUMTs
1	4709	4816	108	167353632	167353635	4	104	Wei_Nature_2022_生殖系
1	13359	13438	80	167444534	167444555	22	58	Nyuwa基因组资源NUMTs
1	313	9328	9016	167825568	167825569	2	9014	Nyuwa基因组资源NUMTs;Wei_Nature_2022_生殖系
1	1327	1437	111	167941829	167941838	10	101	Wei_Nature_2022_生殖系
1				168593601	168593710	110		Tao_Genes_2023
1	8461	8556	96	169474063	169474158	96	0	Calabrese_BMCBioinformatics_2012_低置信;Calabrese_BMCBioinformatics_2012_高置信;Simone_BMC_Genomics_2011_版本1_766_HSP;Simone_BMC_Genomics_2011_版本2_585_高置信;Tao_Genes_2023;UCSC_https://hgdownload.soe.ucsc.edu/goldenPath/hg18/database/
1				170006358	170006412	55		Tao_Genes_2023
1	9801	10192	392	170256486	170256488	3	389	Wei_Nature_2022_生殖系
1	1876	15470	13595	171736346	171736346	1	13594	Wei_Nature_2022_生殖系
1	1876	15470	13595	171835780	171835780	1	13594	Wei_Nature_2022_生殖系
1	8603	16134	7532	172079862	172079902	41	7491	Wei_Nature_2022_生殖系
1	5586	5653	68	172710531	172710602	72	4	Calabrese_BMCBioinformatics_2012_低置信;Calabrese_BMCBioinformatics_2012_高置信;Simone_BMC_Genomics_2011_版本1_766_HSP;Simone_BMC_Genomics_2011_版本2_585_高置信;Tao_Genes_2023;UCSC_https://hgdownload.soe.ucsc.edu/goldenPath/hg18/database/
1	2173	2409	237	172888475	172888478	4	233	Wei_Nature_2022_生殖系
1	6754	7202	449	176689080	176689080	1	448	Wei_Nature_2022_肿瘤
1	14992	15231	240	177618025	177618028	4	236	Wei_Nature_2022_生殖系
1	2786	3211	426	180329446	180329446	1	425	Wei_Nature_2022_肿瘤
1	1286	1376	91	180632990	180632991	2	89	Nyuwa基因组资源NUMTs;Wei_Nature_2022_生殖系
1	12142	12535	394	181422785	181423178	394	0	Calabrese_BMCBioinformatics_2012_低置信;Calabrese_BMCBioinformatics_2012_高置信;Simone_BMC_Genomics_2011_版本1_766_HSP;Simone_BMC_Genomics_2011_版本2_585_高置信;Tao_Genes_2023;UCSC_https://hgdownload.soe.ucsc.edu/goldenPath/hg18/database/
1	2331	2397	67	181477682	181477683	2	65	Wei_Nature_2022_生殖系
1	12169	12280	112	182410269	182410269	1	111	Wei_Nature_2022_生殖系
1	713	822	110	183490199	183490199	1	109	Wei_Nature_2022_生殖系
1	2930	3045	116	183771042	183771043	2	114	Wei_Nature_2022_生殖系
1	7924	8064	141	183894317	183894317	1	140	Wei_Nature_2022_生殖系
1	6352	6617	266	185562616	185562625	10	256	Wei_Nature_2022_生殖系
1	8359	16569	8211	185687479	185687479	1	8210	Wei_Nature_2022_生殖系
1	1488	1771	284	188611969	188611974	6	278	Wei_Nature_2022_生殖系
1	9099	9477	379	189978954	189978954	1	378	Wei_Nature_2022_肿瘤
1	4449	4668	220	190482482	190482482	1	219	Wei_Nature_2022_生殖系
1	14290	14388	99	190602621	190602622	2	97	Wei_Nature_2022_生殖系
1	612	941	330	190909727	190910060	334	4	Calabrese_BMCBioinformatics_2012_低置信;Calabrese_BMCBioinformatics_2012_高置信;Simone_BMC_Genomics_2011_版本1_766_HSP;Simone_BMC_Genomics_2011_版本2_585_高置信;Tao_Genes_2023;UCSC_https://hgdownload.soe.ucsc.edu/goldenPath/hg18/database/
1	14245	14524	280	190961578	190961592	15	265	Wei_Nature_2022_生殖系
1	16105	16214	110	191651179	191651180	2	108	Nyuwa基因组资源NUMTs
1	873	1181	309	191961693	191961992	300	9	Calabrese_BMCBioinformatics_2012_低置信;Calabrese_BMCBioinformatics_2012_高置信;Simone_BMC_Genomics_2011_版本1_766_HSP;Simone_BMC_Genomics_2011_版本2_585_高置信;Tao_Genes_2023;UCSC_https://hgdownload.soe.ucsc.edu/goldenPath/hg18/database/
1	16389	16499	111	192674711	192674713	3	108	Wei_Nature_2022_生殖系
1	9099	9477	379	194919117	194919117	1	378	Wei_Nature_2022_肿瘤
1	14072	14254	183	197218393	197218393	1	182	Wei_Nature_2022_肿瘤
1	9023	9195	173	197920800	197920803	4	169	Nyuwa基因组资源NUMTs
1	12208	12244	37	199834088	199834089	2	35	Wei_Nature_2022_生殖系
1	15491	16349	859	199977635	199977835	201	658	Wei_Nature_2022_生殖系
1	15491	16349	859	199979444	199979444	1	858	Wei_Nature_2022_生殖系
1	545	978	434	199989764	199989764	1	433	Wei_Nature_2022_肿瘤
1	13325	13509	185	200006709	200006709	1	184	Wei_Nature_2022_生殖系
1	6391	6458	68	203322335	203322340	6	62	Nyuwa基因组资源NUMTs
1	4427	4642	216	203863179	203863181	3	213	Wei_Nature_2022_生殖系
1	1250	1399	150	203882751	203882756	6	144	Nyuwa基因组资源NUMTs
1	9099	9477	379	205237995	205237995	1	378	Wei_Nature_2022_肿瘤
1	11152	11320	169	205475336	205475504	169	0	Calabrese_BMCBioinformatics_2012_低置信;Calabrese_BMCBioinformatics_2012_高置信;Simone_BMC_Genomics_2011_版本1_766_HSP;Simone_BMC_Genomics_2011_版本2_585_高置信;Tao_Genes_2023;UCSC_https://hgdownload.soe.ucsc.edu/goldenPath/hg18/database/
1	1235	1309	75	207216076	207216077	2	73	Wei_Nature_2022_生殖系
1				208145434	208145500	67		Tao_Genes_2023
1	515	557	43	208594247	208594247	1	42	Wei_Nature_2022_肿瘤
1	112	13444	13333	209803899	209803903	5	13328	Wei_Nature_2022_生殖系
1	6511	13022	6512	209990189	209990189	1	6511	Nyuwa基因组资源NUMTs
1	5078	5194	117	211614181	211614181	1	116	Wei_Nature_2022_生殖系
1	2623	2699	77	212504996	212505072	77	0	Calabrese_BMCBioinformatics_2012_低置信;Calabrese_BMCBioinformatics_2012_高置信;Simone_BMC_Genomics_2011_版本1_766_HSP;Simone_BMC_Genomics_2011_版本2_585_高置信;Tao_Genes_2023;UCSC_https://hgdownload.soe.ucsc.edu/goldenPath/hg18/database/
1	11037	14015	2979	213516652	213516652	1	2978	Wei_Nature_2022_肿瘤
1	12770	12836	67	214937999	214938000	2	65	Wei_Nature_2022_生殖系
1	16188	16308	121	215086118	215086123	6	115	Nyuwa基因组资源NUMTs
1	9562	9600	39	215499796	215499834	39	0	Calabrese_BMCBioinformatics_2012_低置信;Calabrese_BMCBioinformatics_2012_高置信;Simone_BMC_Genomics_2011_版本1_766_HSP;Simone_BMC_Genomics_2011_版本2_585_高置信;Tao_Genes_2023;UCSC_https://hgdownload.soe.ucsc.edu/goldenPath/hg18/database/
1	165	15203	15039	218311915	218311918	4	15035	Nyuwa基因组资源NUMTs
1	9818	9919	102	220455154	220455255	102	0	Calabrese_BMCBioinformatics_2012_低置信;Calabrese_BMCBioinformatics_2012_高置信;Simone_BMC_Genomics_2011_版本1_766_HSP;Simone_BMC_Genomics_2011_版本2_585_高置信;Tao_Genes_2023;UCSC_https://hgdownload.soe.ucsc.edu/goldenPath/hg18/database/
1	8860	12250	3391	222723911	222723915	5	3386	Wei_Nature_2022_生殖系
1	2696	2820	125	223247225	223247225	1	124	Wei_Nature_2022_生殖系
1	4526	4716	191	225427270	225427299	30	161	Nyuwa基因组资源NUMTs
1	12994	13129	136	226633566	226633568	3	133	Wei_Nature_2022_生殖系
