Chr	Start	End
chr1	628374	635364
chr1	628375	633357
chr1	628375	635051
chr1	628375	635263
chr1	628376	633305
chr1	628376	633383
chr1	628376	634525
chr1	628376	634664
chr1	628376	635039
chr1	628376	635123
chr1	628376	635315
chr1	628376	635330
chr1	628376	635366
chr1	628377	634694
chr1	628377	635125
chr1	628377	635268
chr1	628377	635331
chr1	628377	635343
chr1	628378	633242
chr1	628378	633325
chr1	628378	634617
chr1	628378	635018
chr1	628378	635135
chr1	628378	635231
chr1	628378	635325
chr1	628378	635350
chr1	628378	635355
chr1	628379	634686
chr1	628379	635251
chr1	628379	635323
chr1	628379	635331
chr1	628380	634757
chr1	628380	635264
chr1	628380	635268
chr1	628380	635307
chr1	628380	635308
chr1	628381	634765
chr1	628381	634887
chr1	628381	634996
chr1	628381	635239
chr1	628381	635305
chr1	628381	635309
chr1	628381	635360
chr1	628382	631775
chr1	628382	634488
chr1	628382	634784
chr1	628382	634873
chr1	628382	635326
chr1	628383	633610
chr1	628383	635027
chr1	628383	635029
chr1	628383	635216
chr1	628383	635253
chr1	628383	635276
chr1	628383	635306
chr1	628383	635361
chr1	628383	635362
chr1	628384	631771
chr1	628384	634457
chr1	628384	634845
chr1	628384	635220
chr1	628384	635275
chr1	628384	635312
chr1	628384	635317
chr1	628384	635330
chr1	628385	633188
chr1	628385	634754
chr1	628385	634958
chr1	628385	635128
chr1	628385	635330
chr1	628385	635334
chr1	628386	631761
chr1	628386	634523
chr1	628386	635303
chr1	628386	635313
chr1	628386	635345
chr1	628387	634523
chr1	628387	634856
chr1	628387	634936
chr1	628387	635238
chr1	628387	635319
chr1	628387	635326
chr1	628388	635120
chr1	628389	634795
chr1	628389	635038
chr1	628389	635115
chr1	628389	635143
chr1	628389	635260
chr1	628389	635261
chr1	628389	635373
chr1	628389	635377
chr1	628390	634613
chr1	628390	635006
chr1	628390	635218
chr1	628390	635243
chr1	628390	635311
chr1	628391	635221
chr1	628391	635262
chr1	628391	635328
chr1	628391	635348
chr1	628392	635321
chr1	628392	635338
chr1	628393	635238
chr1	628394	635016
chr1	628394	635044
chr1	628394	635114
chr1	628394	635236
chr1	628394	635373
chr1	628395	635044
chr1	628395	635107
chr1	628395	635259
chr1	628395	635313
chr1	628395	635326
chr1	628395	635352
chr1	628395	635363
chr1	628396	634681
chr1	628396	635224
chr1	628396	635225
chr1	628396	635231
chr1	628396	635256
chr1	628396	635333
chr1	628396	635368
chr1	628397	634653
chr1	628397	635282
chr1	628397	635306
chr1	628397	635355
chr1	628397	635363
chr1	628398	635000
chr1	628398	635004
chr1	628398	635028
chr1	628398	635238
chr1	628398	635309
chr1	628398	635332
chr1	628399	635053
chr1	628399	635354
chr1	628399	635360
chr1	628399	635371
chr1	628400	635128
chr1	628400	635336
chr1	628401	634938
chr1	628401	635009
chr1	628401	635043
chr1	628401	635222
chr1	628401	635238
chr1	628401	635246
chr1	628401	635269
chr1	628401	635271
chr1	628401	635304
chr1	628401	635310
chr1	628401	635321
chr1	628401	635329
chr1	628401	635334
chr1	628401	635335
chr1	628402	633192
chr1	628402	635206
chr1	628402	635250
chr1	628402	635305
chr1	628402	635349
chr1	628402	635349
chr1	628403	631785
chr1	628403	634524
chr1	628403	635124
chr1	628403	635283
chr1	628403	635322
chr1	628404	633450
chr1	628404	634525
chr1	628404	634668
chr1	628404	635239
chr1	628404	635243
chr1	628404	635245
chr1	628405	634853
chr1	628405	635000
chr1	628405	635008
chr1	628405	635012
chr1	628405	635236
chr1	628405	635265
chr1	628405	635300
chr1	628405	635314
chr1	628405	635360
chr1	628406	634838
chr1	628406	635044
chr1	628406	635202
chr1	628406	635333
chr1	628406	635334
chr1	628407	634657
chr1	628407	635247
chr1	628407	635273
chr1	628407	635294
chr1	628407	635300
chr1	628407	635304
chr1	628407	635314
chr1	628407	635344
chr1	628407	635361
chr1	628408	631825
chr1	628408	633634
chr1	628408	634514
chr1	628408	634621
chr1	628408	634939
chr1	628408	634998
chr1	628408	635003
chr1	628408	635011
chr1	628408	635011
chr1	628408	635024
chr1	628408	635043
chr1	628408	635128
chr1	628408	635133
chr1	628408	635147
chr1	628408	635147
chr1	628408	635224
chr1	628408	635255
chr1	628408	635257
chr1	628408	635272
chr1	628408	635309
chr1	628408	635332
chr1	628408	635350
chr1	628408	635358
chr1	628409	633168
chr1	628409	634748
chr1	628409	634772
chr1	628409	634843
chr1	628409	635027
chr1	628409	635039
chr1	628409	635119
chr1	628409	635210
chr1	628409	635226
chr1	628409	635229
chr1	628409	635229
chr1	628409	635233
chr1	628409	635270
chr1	628409	635271
chr1	628409	635272
chr1	628409	635300
chr1	628409	635309
chr1	628409	635309
chr1	628409	635317
chr1	628409	635318
chr1	628409	635334
chr1	628409	635342
chr1	628409	635347
chr1	628409	635356
chr1	628409	635360
chr1	628410	631749
chr1	628410	631753
chr1	628410	633340
chr1	628410	633637
chr1	628410	633902
chr1	628410	634614
chr1	628410	634745
chr1	628410	634876
chr1	628410	635023
chr1	628410	635024
chr1	628410	635233
chr1	628410	635308
chr1	628410	635309
chr1	628410	635317
chr1	628410	635323
chr1	628410	635336
chr1	628410	635340
chr1	628410	635343
chr1	628410	635349
chr1	628410	635365
chr1	628410	635371
chr1	628411	633283
chr1	628411	633301
chr1	628411	633322
chr1	628411	634525
chr1	628411	634541
chr1	628411	634611
chr1	628411	634760
chr1	628411	634846
chr1	628411	635023
chr1	628411	635038
chr1	628411	635254
chr1	628411	635262
chr1	628411	635306
chr1	628411	635309
chr1	628411	635314
chr1	628411	635315
chr1	628411	635319
chr1	628411	635324
chr1	628411	635332
chr1	628411	635349
chr1	628411	635363
chr1	628412	633099
chr1	628412	634628
chr1	628412	635030
chr1	628412	635048
chr1	628412	635231
chr1	628412	635305
chr1	628412	635305
chr1	628412	635319
chr1	628412	635328
chr1	628412	635335
chr1	628412	635345
chr1	628412	635364
chr1	628413	634476
chr1	628413	634626
chr1	628413	634629
chr1	628413	634769
chr1	628413	634836
chr1	628413	635016
chr1	628413	635031
chr1	628413	635039
chr1	628413	635042
chr1	628413	635044
chr1	628413	635047
chr1	628413	635106
chr1	628413	635131
chr1	628413	635246
chr1	628413	635277
chr1	628413	635307
chr1	628413	635310
chr1	628413	635329
chr1	628413	635332
chr1	628413	635335
chr1	628413	635340
chr1	628413	635341
chr1	628413	635365
chr1	628413	635372
chr1	628413	635603
chr1	628414	634615
chr1	628414	635003
chr1	628414	635070
chr1	628414	635255
chr1	628414	635262
chr1	628414	635311
chr1	628414	635317
chr1	628414	635324
chr1	628414	635338
chr1	628414	635369
chr1	628415	633219
chr1	628415	634488
chr1	628415	634616
chr1	628415	635003
chr1	628415	635128
chr1	628415	635145
chr1	628415	635219
chr1	628415	635224
chr1	628415	635245
chr1	628415	635249
chr1	628415	635267
chr1	628415	635274
chr1	628415	635276
chr1	628415	635314
chr1	628415	635319
chr1	628415	635323
chr1	628415	635327
chr1	628415	635330
chr1	628415	635336
chr1	628415	635362
chr1	628415	635367
chr1	628416	633398
chr1	628416	634523
chr1	628416	634525
chr1	628416	634525
chr1	628416	634613
chr1	628416	635124
chr1	628416	635147
chr1	628416	635202
chr1	628416	635220
chr1	628416	635254
chr1	628416	635272
chr1	628416	635305
chr1	628416	635314
chr1	628416	635321
chr1	628416	635354
chr1	628416	635358
chr1	628417	630361
chr1	628417	633356
chr1	628417	634614
chr1	628417	634838
chr1	628417	634911
chr1	628417	635004
chr1	628417	635005
chr1	628417	635112
chr1	628417	635132
chr1	628417	635233
chr1	628417	635289
chr1	628417	635294
chr1	628417	635300
chr1	628417	635305
chr1	628417	635311
chr1	628417	635314
chr1	628417	635316
chr1	628417	635325
chr1	628417	635346
chr1	628417	635359
chr1	628418	633209
chr1	628418	634662
chr1	628418	635027
chr1	628418	635029
chr1	628418	635045
chr1	628418	635052
chr1	628418	635063
chr1	628418	635107
chr1	628418	635131
chr1	628418	635262
chr1	628418	635262
chr1	628418	635330
chr1	628418	635347
chr1	628418	635347
chr1	628418	635348
chr1	628419	631748
chr1	628419	631783
chr1	628419	631822
chr1	628419	633324
chr1	628419	634764
chr1	628419	634841
chr1	628419	635005
chr1	628419	635012
chr1	628419	635043
chr1	628419	635044
chr1	628419	635068
chr1	628419	635104
chr1	628419	635244
chr1	628419	635258
chr1	628419	635268
chr1	628419	635288
chr1	628419	635305
chr1	628419	635315
chr1	628419	635333
chr1	628419	635357
chr1	628419	635362
chr1	628419	635369
chr1	628420	631827
chr1	628420	634636
chr1	628420	634933
chr1	628420	635046
chr1	628420	635114
chr1	628420	635249
chr1	628420	635253
chr1	628420	635308
chr1	628420	635314
chr1	628420	635319
chr1	628420	635321
chr1	628420	635325
chr1	628420	635328
chr1	628420	635335
chr1	628420	635336
chr1	628420	635350
chr1	628420	635362
chr1	628421	634527
chr1	628421	635044
chr1	628421	635105
chr1	628421	635107
chr1	628421	635218
chr1	628421	635265
chr1	628421	635285
chr1	628421	635290
chr1	628421	635308
chr1	628421	635318
chr1	628421	635336
chr1	628421	635342
chr1	628421	635366
chr1	628421	635380
chr1	628422	634525
chr1	628422	634760
chr1	628422	634999
chr1	628422	635033
chr1	628422	635036
chr1	628422	635058
chr1	628422	635119
chr1	628422	635255
chr1	628422	635276
chr1	628422	635327
chr1	628422	635358
chr1	628423	631761
chr1	628423	631794
chr1	628423	635028
chr1	628423	635276
chr1	628423	635309
chr1	628423	635315
chr1	628423	635327
chr1	628423	635346
chr1	628424	634518
chr1	628424	634945
chr1	628424	635035
chr1	628424	635044
chr1	628424	635072
chr1	628424	635226
chr1	628424	635305
chr1	628424	635314
chr1	628424	635315
chr1	628424	635336
chr1	628424	635339
chr1	628424	635349
chr1	628424	635378
chr1	628425	632868
chr1	628425	634522
chr1	628425	634574
chr1	628425	634589
chr1	628425	634754
chr1	628425	634827
chr1	628425	634833
chr1	628425	634876
chr1	628425	635000
chr1	628425	635000
chr1	628425	635002
chr1	628425	635010
chr1	628425	635014
chr1	628425	635148
chr1	628425	635205
chr1	628425	635313
chr1	628425	635318
chr1	628425	635325
chr1	628425	635355
chr1	628425	635356
chr1	628425	635372
chr1	628426	633287
chr1	628426	633290
chr1	628426	634496
chr1	628426	634772
chr1	628426	634838
chr1	628426	635218
chr1	628426	635287
chr1	628426	635307
chr1	628426	635307
chr1	628426	635309
chr1	628426	635324
chr1	628426	635338
chr1	628427	634522
chr1	628427	634614
chr1	628427	634773
chr1	628427	635017
chr1	628427	635105
chr1	628427	635117
chr1	628427	635150
chr1	628427	635257
chr1	628427	635271
chr1	628427	635308
chr1	628427	635321
chr1	628427	635321
chr1	628427	635332
chr1	628427	635348
chr1	628427	635349
chr1	628427	635362
chr1	628427	635364
chr1	628427	635370
chr1	628428	633417
chr1	628428	634523
chr1	628428	634660
chr1	628428	634859
chr1	628428	635007
chr1	628428	635106
chr1	628428	635252
chr1	628428	635253
chr1	628428	635256
chr1	628428	635279
chr1	628428	635279
chr1	628428	635309
chr1	628428	635325
chr1	628428	635327
chr1	628428	635346
chr1	628428	635346
chr1	628428	635351
chr1	628429	634518
chr1	628429	634520
chr1	628429	634784
chr1	628429	635032
chr1	628429	635033
chr1	628429	635042
chr1	628429	635043
chr1	628429	635106
chr1	628429	635135
chr1	628429	635219
chr1	628429	635221
chr1	628429	635236
chr1	628429	635262
chr1	628429	635308
chr1	628429	635329
chr1	628429	635331
chr1	628429	635342
chr1	628429	635345
chr1	628429	635354
chr1	628429	635360
chr1	628429	635361
chr1	628429	635382
chr1	628430	630168
chr1	628430	631789
chr1	628430	631809
chr1	628430	635248
chr1	628430	635328
chr1	628430	635360
chr1	628431	634513
chr1	628431	634525
chr1	628431	634980
chr1	628431	635018
chr1	628431	635038
chr1	628431	635045
chr1	628431	635229
chr1	628431	635235
chr1	628431	635253
chr1	628431	635255
chr1	628431	635276
chr1	628431	635294
chr1	628431	635304
chr1	628431	635318
chr1	628431	635338
chr1	628431	635341
chr1	628431	635350
chr1	628431	635362
chr1	628432	630584
chr1	628432	633388
chr1	628432	634683
chr1	628432	634871
chr1	628432	635034
chr1	628432	635040
chr1	628432	635045
chr1	628432	635114
chr1	628432	635224
chr1	628432	635225
chr1	628432	635240
chr1	628432	635302
chr1	628432	635310
chr1	628432	635324
chr1	628432	635326
chr1	628432	635338
chr1	628432	635376
chr1	628433	634524
chr1	628433	634658
chr1	628433	634747
chr1	628433	635039
chr1	628433	635045
chr1	628433	635225
chr1	628433	635301
chr1	628433	635317
chr1	628433	635356
chr1	628434	630381
chr1	628434	633188
chr1	628434	633903
chr1	628434	634755
chr1	628434	634838
chr1	628434	635011
chr1	628434	635042
chr1	628434	635232
chr1	628434	635305
chr1	628434	635307
chr1	628434	635310
chr1	628434	635327
chr1	628434	635333
chr1	628434	635343
chr1	628434	635346
chr1	628434	635364
chr1	628435	631760
chr1	628435	634561
chr1	628435	634620
chr1	628435	634695
chr1	628435	634842
chr1	628435	634848
chr1	628435	634854
chr1	628435	634931
chr1	628435	634945
chr1	628435	635080
chr1	628435	635256
chr1	628435	635272
chr1	628435	635300
chr1	628435	635304
chr1	628435	635308
chr1	628435	635330
chr1	628435	635342
chr1	628435	635353
chr1	628435	635369
chr1	628436	631820
chr1	628436	633149
chr1	628436	633260
chr1	628436	633352
chr1	628436	634460
chr1	628436	634491
chr1	628436	635005
chr1	628436	635129
chr1	628436	635221
chr1	628436	635236
chr1	628436	635278
chr1	628436	635302
chr1	628436	635308
chr1	628436	635311
chr1	628436	635321
chr1	628436	635324
chr1	628436	635324
chr1	628436	635365
chr1	628436	635382
chr1	628437	633281
chr1	628437	634620
chr1	628437	634924
chr1	628437	634932
chr1	628437	635203
chr1	628437	635260
chr1	628437	635263
chr1	628437	635268
chr1	628437	635309
chr1	628437	635328
chr1	628437	635366
chr1	628438	634660
chr1	628438	635223
chr1	628438	635238
chr1	628438	635262
chr1	628438	635302
chr1	628438	635324
chr1	628438	635340
chr1	628438	635345
chr1	628439	633297
chr1	628439	633504
chr1	628439	634438
chr1	628439	634524
chr1	628439	634536
chr1	628439	634747
chr1	628439	635004
chr1	628439	635045
chr1	628439	635204
chr1	628439	635224
chr1	628439	635240
chr1	628439	635251
chr1	628439	635261
chr1	628439	635314
chr1	628439	635332
chr1	628439	635361
chr1	628440	633283
chr1	628440	633344
chr1	628440	634525
chr1	628440	634623
chr1	628440	634753
chr1	628440	635015
chr1	628440	635019
chr1	628440	635120
chr1	628440	635126
chr1	628440	635227
chr1	628440	635303
chr1	628440	635313
chr1	628440	635315
chr1	628440	635320
chr1	628440	635324
chr1	628441	631766
chr1	628441	633359
chr1	628441	634616
chr1	628441	635021
chr1	628441	635039
chr1	628441	635242
chr1	628441	635272
chr1	628441	635299
chr1	628441	635338
chr1	628441	635396
chr1	628442	630410
chr1	628442	634970
chr1	628442	635044
chr1	628442	635109
chr1	628442	635114
chr1	628442	635301
chr1	628442	635308
chr1	628443	631789
chr1	628443	633322
chr1	628443	634523
chr1	628443	634751
chr1	628443	634842
chr1	628443	635133
chr1	628443	635205
chr1	628443	635240
chr1	628443	635240
chr1	628443	635243
chr1	628443	635247
chr1	628443	635248
chr1	628443	635257
chr1	628443	635257
chr1	628443	635302
chr1	628443	635322
chr1	628443	635364
chr1	628444	633327
chr1	628444	633383
chr1	628444	634670
chr1	628444	634842
chr1	628444	635120
chr1	628444	635122
chr1	628444	635236
chr1	628444	635245
chr1	628444	635246
chr1	628444	635267
chr1	628444	635309
chr1	628444	635349
chr1	628444	635359
chr1	628445	634525
chr1	628445	634652
chr1	628445	634701
chr1	628445	634768
chr1	628445	635127
chr1	628445	635262
chr1	628445	635328
chr1	628445	635343
chr1	628445	635347
chr1	628445	635348
chr1	628446	634639
chr1	628446	634639
chr1	628446	634750
chr1	628446	635217
chr1	628446	635271
chr1	628446	635338
chr1	628446	635343
chr1	628446	635355
chr1	628446	635368
chr1	628447	631812
chr1	628447	634514
chr1	628447	635129
chr1	628447	635218
chr1	628447	635223
chr1	628447	635270
chr1	628447	635300
chr1	628447	635301
chr1	628447	635307
chr1	628447	635319
chr1	628447	635319
chr1	628447	635333
chr1	628447	635336
chr1	628447	635346
chr1	628447	635354
chr1	628447	635355
chr1	628447	635362
chr1	628447	635363
chr1	628447	635367
chr1	628447	635414
chr1	628448	633232
chr1	628448	634806
chr1	628448	634867
chr1	628448	635110
chr1	628448	635236
chr1	628448	635300
chr1	628448	635309
chr1	628448	635316
chr1	628448	635332
chr1	628448	635348
chr1	628448	635389
chr1	628449	634511
chr1	628449	634712
chr1	628449	634760
chr1	628449	634793
chr1	628449	634933
chr1	628449	634961
chr1	628449	635045
chr1	628449	635071
chr1	628449	635120
chr1	628449	635157
chr1	628449	635230
chr1	628449	635246
chr1	628449	635249
chr1	628449	635266
chr1	628449	635279
chr1	628449	635299
chr1	628449	635312
chr1	628449	635312
chr1	628449	635315
chr1	628449	635316
chr1	628449	635350
chr1	628449	635360
chr1	628450	633326
chr1	628450	634795
chr1	628450	635032
chr1	628450	635060
chr1	628450	635200
chr1	628450	635236
chr1	628450	635251
chr1	628450	635271
chr1	628450	635302
chr1	628450	635316
chr1	628450	635321
chr1	628450	635344
chr1	628450	635351
chr1	628451	631739
chr1	628451	631833
chr1	628451	633044
chr1	628451	633329
chr1	628451	633940
chr1	628451	634520
chr1	628451	634757
chr1	628451	634862
chr1	628451	635046
chr1	628451	635164
chr1	628451	635225
chr1	628451	635231
chr1	628451	635246
chr1	628451	635250
chr1	628451	635267
chr1	628451	635274
chr1	628451	635275
chr1	628451	635316
chr1	628451	635327
chr1	628451	635327
chr1	628451	635348
chr1	628452	631747
chr1	628452	633310
chr1	628452	634641
chr1	628452	634838
chr1	628452	635006
chr1	628452	635043
chr1	628452	635045
chr1	628452	635070
chr1	628452	635106
chr1	628452	635239
chr1	628452	635272
chr1	628452	635309
chr1	628452	635312
chr1	628452	635312
chr1	628452	635319
chr1	628452	635320
chr1	628452	635321
chr1	628452	635343
chr1	628452	635363
chr1	628453	634757
chr1	628453	634843
chr1	628453	634876
chr1	628453	635024
chr1	628453	635220
chr1	628453	635227
chr1	628453	635238
chr1	628453	635257
chr1	628453	635260
chr1	628453	635280
chr1	628453	635303
chr1	628453	635313
chr1	628453	635324
chr1	628453	635329
chr1	628453	635335
chr1	628453	635336
chr1	628453	635367
chr1	628454	631741
chr1	628454	633294
chr1	628454	634525
chr1	628454	634525
chr1	628454	634616
chr1	628454	634672
chr1	628454	634676
chr1	628454	635008
chr1	628454	635080
chr1	628454	635265
chr1	628454	635273
chr1	628454	635309
chr1	628454	635312
chr1	628454	635320
chr1	628454	635333
chr1	628454	635348
chr1	628454	635350
chr1	628454	635357
chr1	628454	635368
chr1	628455	633209
chr1	628455	633323
chr1	628455	633389
chr1	628455	634764
chr1	628455	635027
