"Chr","Start","End","Value","Color"
10,25000001,27000000,0.00210146,"fc8d62"
10,26000001,28000000,0.00226305,"fc8d62"
10,27000001,29000000,0.00245204,"fc8d62"
10,28000001,30000000,0.00250622,"fc8d62"
10,29000001,31000000,0.00237842,"fc8d62"
10,30000001,32000000,0.00196699,"fc8d62"
10,31000001,33000000,0.00185684,"fc8d62"
10,32000001,34000000,0.00212669,"fc8d62"
10,33000001,35000000,0.00240884,"fc8d62"
10,34000001,36000000,0.00196518,"fc8d62"
10,35000001,37000000,0.00217284,"fc8d62"
10,36000001,38000000,0.00270071,"fc8d62"
10,37000001,39000000,0.00211387,"fc8d62"
10,38000001,40000000,0.00200121,"fc8d62"
10,39000001,41000000,0.00214618,"fc8d62"
10,40000001,42000000,0.00190061,"fc8d62"
10,41000001,43000000,0.00206345,"fc8d62"
10,42000001,44000000,0.00212081,"fc8d62"
10,43000001,45000000,0.00243393,"fc8d62"
10,44000001,46000000,0.00310483,"fc8d62"
10,45000001,47000000,0.00306242,"fc8d62"
10,46000001,48000000,0.00302165,"fc8d62"
10,47000001,49000000,0.00232144,"fc8d62"
10,48000001,50000000,0.00268197,"fc8d62"
10,49000001,51000000,0.00280893,"fc8d62"
10,50000001,52000000,0.00159658,"fc8d62"
10,51000001,53000000,0.00175999,"fc8d62"
10,52000001,54000000,0.00200728,"fc8d62"
10,53000001,55000000,0.00186725,"fc8d62"
10,54000001,56000000,0.00154889,"fc8d62"
10,55000001,57000000,0.00275488,"fc8d62"
10,56000001,57983155,0.00334156,"fc8d62"
10,57000001,57983155,0.00122825,"fc8d62"
11,1,2000000,0.00286373,"fc8d62"
11,1000001,3000000,0.00244199,"fc8d62"
11,2000001,4000000,0.00186097,"fc8d62"
11,3000001,5000000,0.00213978,"fc8d62"
11,4000001,6000000,0.00259079,"fc8d62"
11,5000001,7000000,0.00300778,"fc8d62"
11,6000001,8000000,0.00284871,"fc8d62"
11,7000001,9000000,0.00256396,"fc8d62"
11,8000001,10000000,0.00223455,"fc8d62"
11,9000001,11000000,0.00199242,"fc8d62"
11,10000001,12000000,0.00192679,"fc8d62"
11,11000001,13000000,0.00159392,"fc8d62"
11,12000001,14000000,0.00190111,"fc8d62"
11,13000001,15000000,0.0017214,"fc8d62"
11,14000001,16000000,0.00153144,"fc8d62"
11,15000001,17000000,0.00168236,"fc8d62"
11,16000001,18000000,0.00165136,"fc8d62"
11,17000001,19000000,0.00170071,"fc8d62"
11,18000001,20000000,0.00213007,"fc8d62"
11,19000001,21000000,0.00244015,"fc8d62"
11,20000001,22000000,0.00223468,"fc8d62"
11,21000001,23000000,0.00210464,"fc8d62"
11,22000001,24000000,0.00199708,"fc8d62"
11,23000001,25000000,0.00259669,"fc8d62"
11,24000001,26000000,0.00347687,"fc8d62"
11,25000001,27000000,0.00338762,"fc8d62"
11,26000001,28000000,0.002492,"fc8d62"
11,27000001,29000000,0.00228493,"fc8d62"
11,28000001,30000000,0.00219835,"fc8d62"
11,29000001,31000000,0.00282782,"fc8d62"
11,30000001,32000000,0.0027914,"fc8d62"
11,31000001,33000000,0.00235489,"fc8d62"
11,32000001,34000000,0.00277331,"fc8d62"
11,33000001,35000000,0.00206497,"fc8d62"
11,34000001,36000000,0.00185098,"fc8d62"
11,35000001,37000000,0.00206747,"fc8d62"
11,36000001,38000000,0.00189741,"fc8d62"
11,37000001,39000000,0.00151899,"fc8d62"
11,38000001,40000000,0.00163257,"fc8d62"
11,39000001,41000000,0.00252469,"fc8d62"
11,40000001,42000000,0.00247347,"fc8d62"
11,41000001,43000000,0.00193316,"fc8d62"
11,42000001,44000000,0.00169593,"fc8d62"
11,43000001,45000000,0.00166491,"fc8d62"
11,44000001,46000000,0.00215465,"fc8d62"
11,45000001,47000000,0.00225009,"fc8d62"
11,46000001,48000000,0.00244912,"fc8d62"
11,47000001,49000000,0.0025438,"fc8d62"
11,48000001,50000000,0.00265382,"fc8d62"
11,49000001,50685131,0.00199502,"fc8d62"
11,50000001,50685131,0.000442274,"fc8d62"
12,1,2000000,0.00246102,"fc8d62"
12,1000001,3000000,0.00268301,"fc8d62"
12,2000001,4000000,0.00224657,"fc8d62"
12,3000001,5000000,0.00173216,"fc8d62"
12,4000001,6000000,0.00167483,"fc8d62"
12,5000001,7000000,0.00153881,"fc8d62"
12,6000001,8000000,0.00199582,"fc8d62"
12,7000001,9000000,0.00229927,"fc8d62"
12,8000001,10000000,0.00192909,"fc8d62"
12,9000001,11000000,0.00168381,"fc8d62"
12,10000001,12000000,0.00226948,"fc8d62"
12,11000001,13000000,0.00240557,"fc8d62"
12,12000001,14000000,0.00215456,"fc8d62"
12,13000001,15000000,0.00226578,"fc8d62"
12,14000001,16000000,0.00246469,"fc8d62"
12,15000001,17000000,0.00290668,"fc8d62"
12,16000001,18000000,0.00243437,"fc8d62"
12,17000001,19000000,0.00180736,"fc8d62"
12,18000001,20000000,0.00232979,"fc8d62"
12,19000001,21000000,0.00251676,"fc8d62"
12,20000001,22000000,0.00220831,"fc8d62"
12,21000001,23000000,0.00229335,"fc8d62"
12,22000001,24000000,0.00242345,"fc8d62"
12,23000001,25000000,0.00231951,"fc8d62"
12,24000001,26000000,0.00228166,"fc8d62"
12,25000001,27000000,0.00244977,"fc8d62"
12,26000001,28000000,0.00228374,"fc8d62"
12,27000001,29000000,0.00213284,"fc8d62"
12,28000001,30000000,0.0016215,"fc8d62"
12,29000001,31000000,0.00130595,"fc8d62"
12,30000001,32000000,0.00180622,"fc8d62"
12,31000001,32552834,0.00156279,"fc8d62"
12,32000001,32552834,0.000520841,"fc8d62"
13,1,2000000,0.00268386,"fc8d62"
13,1000001,3000000,0.00260284,"fc8d62"
13,2000001,4000000,0.00289072,"fc8d62"
13,3000001,5000000,0.00288052,"fc8d62"
13,4000001,6000000,0.00209426,"fc8d62"
13,5000001,7000000,0.00225099,"fc8d62"
13,6000001,8000000,0.0025176,"fc8d62"
13,7000001,9000000,0.00222141,"fc8d62"
13,8000001,10000000,0.00215451,"fc8d62"
13,9000001,11000000,0.00241791,"fc8d62"
13,10000001,12000000,0.00242218,"fc8d62"
13,11000001,13000000,0.00202749,"fc8d62"
13,12000001,14000000,0.00227726,"fc8d62"
13,13000001,15000000,0.00275044,"fc8d62"
13,14000001,16000000,0.00252271,"fc8d62"
13,15000001,17000000,0.00241457,"fc8d62"
13,16000001,18000000,0.00285294,"fc8d62"
13,17000001,19000000,0.00324859,"fc8d62"
13,18000001,20000000,0.00262561,"fc8d62"
13,19000001,21000000,0.00206248,"fc8d62"
13,20000001,22000000,0.00313644,"fc8d62"
13,21000001,23000000,0.00365787,"fc8d62"
13,22000001,24000000,0.00261756,"fc8d62"
13,23000001,25000000,0.00251934,"fc8d62"
13,24000001,25667229,0.00216101,"fc8d62"
13,25000001,25667229,0.000632525,"fc8d62"
14,1,2000000,0.00300411,"fc8d62"
14,1000001,3000000,0.00334721,"fc8d62"
14,2000001,4000000,0.00321581,"fc8d62"
14,3000001,5000000,0.00321065,"fc8d62"
14,4000001,6000000,0.00257705,"fc8d62"
14,5000001,7000000,0.00215648,"fc8d62"
14,6000001,8000000,0.0030406,"fc8d62"
14,7000001,9000000,0.00323091,"fc8d62"
14,8000001,10000000,0.00262774,"fc8d62"
14,9000001,11000000,0.00262146,"fc8d62"
14,10000001,12000000,0.00302961,"fc8d62"
14,11000001,13000000,0.00299484,"fc8d62"
14,12000001,14000000,0.0028022,"fc8d62"
14,13000001,15000000,0.00252016,"fc8d62"
14,14000001,16000000,0.00203903,"fc8d62"
14,15000001,17000000,0.00231139,"fc8d62"
14,16000001,18000000,0.00250633,"fc8d62"
14,17000001,19000000,0.00237306,"fc8d62"
14,18000001,20000000,0.00258243,"fc8d62"
14,19000001,21000000,0.00253504,"fc8d62"
14,20000001,22000000,0.00237538,"fc8d62"
14,21000001,23000000,0.00199647,"fc8d62"
14,22000001,24000000,0.00184147,"fc8d62"
14,23000001,25000000,0.00235698,"fc8d62"
14,24000001,26000000,0.00286473,"fc8d62"
14,25000001,27000000,0.00225892,"fc8d62"
14,26000001,28000000,0.0018218,"fc8d62"
14,27000001,29000000,0.00191448,"fc8d62"
14,28000001,30000000,0.00129326,"fc8d62"
14,29000001,31000000,0.00107167,"fc8d62"
14,30000001,32000000,0.00237553,"fc8d62"
14,31000001,33000000,0.00282276,"fc8d62"
14,32000001,34000000,0.00247475,"fc8d62"
14,33000001,35000000,0.0026928,"fc8d62"
14,34000001,36000000,0.00244545,"fc8d62"
14,35000001,37000000,0.00233695,"fc8d62"
14,36000001,38000000,0.00216562,"fc8d62"
14,37000001,39000000,0.00190627,"fc8d62"
14,38000001,40000000,0.00218322,"fc8d62"
14,39000001,41000000,0.00232186,"fc8d62"
14,40000001,42000000,0.00203928,"fc8d62"
14,41000001,43000000,0.00205785,"fc8d62"
14,42000001,44000000,0.00229948,"fc8d62"
14,43000001,45000000,0.00260735,"fc8d62"
14,44000001,46000000,0.0025816,"fc8d62"
14,45000001,47000000,0.00198155,"fc8d62"
14,46000001,48000000,0.00221146,"fc8d62"
14,47000001,49000000,0.00249765,"fc8d62"
14,48000001,50000000,0.00224226,"fc8d62"
14,49000001,51000000,0.0024283,"fc8d62"
14,50000001,52000000,0.0029985,"fc8d62"
14,51000001,53000000,0.00341483,"fc8d62"
14,52000001,53685928,0.00245616,"fc8d62"
14,53000001,53685928,0.000783401,"fc8d62"
15,1,2000000,0.00325896,"fc8d62"
15,1000001,3000000,0.00297638,"fc8d62"
15,2000001,4000000,0.00189589,"fc8d62"
15,3000001,5000000,0.00205331,"fc8d62"
15,4000001,6000000,0.00273219,"fc8d62"
15,5000001,7000000,0.0024365,"fc8d62"
15,6000001,8000000,0.00303519,"fc8d62"
15,7000001,9000000,0.00315093,"fc8d62"
15,8000001,10000000,0.00252819,"fc8d62"
15,9000001,11000000,0.00261575,"fc8d62"
15,10000001,12000000,0.00260777,"fc8d62"
15,11000001,13000000,0.002227,"fc8d62"
15,12000001,13456278,0.00147876,"fc8d62"
15,13000001,13456278,0.000443253,"fc8d62"
16,1,2000000,0.00302634,"fc8d62"
16,1000001,3000000,0.00276514,"fc8d62"
16,2000001,4000000,0.00250515,"fc8d62"
16,3000001,5000000,0.00312392,"fc8d62"
16,4000001,6000000,0.00292183,"fc8d62"
16,5000001,7000000,0.00213605,"fc8d62"
16,6000001,8000000,0.00202212,"fc8d62"
16,7000001,9000000,0.00190396,"fc8d62"
16,8000001,10000000,0.00164751,"fc8d62"
16,9000001,11000000,0.00145621,"fc8d62"
16,10000001,12000000,0.00146211,"fc8d62"
16,11000001,13000000,0.00172792,"fc8d62"
16,12000001,14000000,0.00163885,"fc8d62"
16,13000001,15000000,0.00139981,"fc8d62"
16,14000001,16000000,0.00148195,"fc8d62"
16,15000001,17000000,0.00162523,"fc8d62"
16,16000001,18000000,0.00181441,"fc8d62"
16,17000001,19000000,0.00224034,"fc8d62"
16,18000001,20000000,0.00237135,"fc8d62"
16,19000001,21000000,0.00188993,"fc8d62"
16,20000001,22000000,0.00150012,"fc8d62"
16,21000001,23000000,0.00120236,"fc8d62"
16,22000001,24000000,0.00197267,"fc8d62"
16,23000001,25000000,0.00257325,"fc8d62"
16,24000001,26000000,0.00208207,"fc8d62"
16,25000001,27000000,0.00195637,"fc8d62"
16,26000001,28000000,0.00209485,"fc8d62"
16,27000001,28459215,0.00161588,"fc8d62"
16,28000001,28459215,0.00053276,"fc8d62"
17,1,2000000,0.00280475,"fc8d62"
17,1000001,3000000,0.00308697,"fc8d62"
17,2000001,4000000,0.00314358,"fc8d62"
17,3000001,5000000,0.00268151,"fc8d62"
17,4000001,6000000,0.00273076,"fc8d62"
17,5000001,7000000,0.00321376,"fc8d62"
17,6000001,8000000,0.00318887,"fc8d62"
17,7000001,9000000,0.00260014,"fc8d62"
17,8000001,10000000,0.0021478,"fc8d62"
17,9000001,11000000,0.00159485,"fc8d62"
17,10000001,12000000,0.00129903,"fc8d62"
17,11000001,13000000,0.00132356,"fc8d62"
17,12000001,14000000,0.00143578,"fc8d62"
17,13000001,15000000,0.00199052,"fc8d62"
17,14000001,16000000,0.00217242,"fc8d62"
17,15000001,17000000,0.00246086,"fc8d62"
17,16000001,18000000,0.002781,"fc8d62"
17,17000001,19000000,0.00254289,"fc8d62"
17,18000001,20000000,0.00234449,"fc8d62"
17,19000001,21000000,0.00144441,"fc8d62"
17,20000001,22000000,0.000852675,"fc8d62"
17,21000001,23000000,0.00138176,"fc8d62"
17,22000001,24000000,0.00185559,"fc8d62"
17,23000001,25000000,0.00207966,"fc8d62"
17,24000001,26000000,0.00198418,"fc8d62"
17,25000001,27000000,0.00217843,"fc8d62"
17,26000001,28000000,0.00257224,"fc8d62"
17,27000001,29000000,0.00245707,"fc8d62"
17,28000001,30000000,0.00316163,"fc8d62"
17,29000001,31000000,0.00380451,"fc8d62"
17,30000001,32000000,0.00303372,"fc8d62"
17,31000001,33000000,0.00259116,"fc8d62"
17,32000001,34000000,0.00187263,"fc8d62"
17,33000001,35000000,0.00142076,"fc8d62"
17,34000001,36000000,0.00196893,"fc8d62"
17,35000001,37000000,0.0029076,"fc8d62"
17,36000001,38000000,0.00299078,"fc8d62"
17,37000001,39000000,0.0028495,"fc8d62"
17,38000001,40000000,0.00369546,"fc8d62"
17,39000001,41000000,0.003321,"fc8d62"
17,40000001,42000000,0.0028308,"fc8d62"
17,41000001,42403734,0.00202726,"fc8d62"
17,42000001,42403734,0.000479636,"fc8d62"
18,1,2000000,0.00221391,"fc8d62"
18,1000001,3000000,0.00200914,"fc8d62"
18,2000001,4000000,0.00188453,"fc8d62"
18,3000001,5000000,0.00204229,"fc8d62"
18,4000001,6000000,0.00196679,"fc8d62"
18,5000001,7000000,0.00157049,"fc8d62"
18,6000001,8000000,0.00237501,"fc8d62"
18,7000001,9000000,0.00277675,"fc8d62"
18,8000001,10000000,0.00236327,"fc8d62"
18,9000001,11000000,0.00234428,"fc8d62"
18,10000001,12000000,0.00221016,"fc8d62"
18,11000001,13000000,0.00252262,"fc8d62"
18,12000001,14000000,0.00284832,"fc8d62"
18,13000001,15000000,0.00300838,"fc8d62"
18,14000001,16000000,0.00313979,"fc8d62"
18,15000001,17000000,0.00248242,"fc8d62"
18,16000001,18000000,0.00213555,"fc8d62"
18,17000001,19000000,0.00230516,"fc8d62"
18,18000001,20000000,0.00217559,"fc8d62"
18,19000001,21000000,0.0022164,"fc8d62"
18,20000001,22000000,0.00196211,"fc8d62"
18,21000001,23000000,0.00204255,"fc8d62"
18,22000001,24000000,0.00227155,"fc8d62"
18,23000001,25000000,0.00236954,"fc8d62"
18,24000001,26000000,0.00208559,"fc8d62"
18,25000001,27000000,0.00129545,"fc8d62"
18,26000001,27842185,0.000926289,"fc8d62"
18,27000001,27842185,0.000364909,"fc8d62"
19,1,2000000,0.0019311,"fc8d62"
19,1000001,3000000,0.002221,"fc8d62"
19,2000001,4000000,0.00192096,"fc8d62"
19,3000001,5000000,0.00212361,"fc8d62"
19,4000001,6000000,0.00239185,"fc8d62"
19,5000001,7000000,0.00292788,"fc8d62"
19,6000001,8000000,0.00341443,"fc8d62"
19,7000001,9000000,0.00266826,"fc8d62"
19,8000001,10000000,0.00190162,"fc8d62"
19,9000001,11000000,0.00180317,"fc8d62"
19,10000001,12000000,0.00142279,"fc8d62"
19,11000001,13000000,0.00131365,"fc8d62"
19,12000001,14000000,0.00187428,"fc8d62"
19,13000001,15000000,0.00201095,"fc8d62"
19,14000001,16000000,0.00133591,"fc8d62"
19,15000001,17000000,0.00156601,"fc8d62"
19,16000001,18000000,0.00167527,"fc8d62"
19,17000001,19000000,0.00166737,"fc8d62"
19,18000001,19701765,0.00187179,"fc8d62"
19,19000001,19701765,0.000874331,"fc8d62"
2,1,2000000,0.00256233,"fc8d62"
2,1000001,3000000,0.00233525,"fc8d62"
2,2000001,4000000,0.00244716,"fc8d62"
2,3000001,5000000,0.00170689,"fc8d62"
2,4000001,6000000,0.00195165,"fc8d62"
2,5000001,7000000,0.00250167,"fc8d62"
2,6000001,8000000,0.00185604,"fc8d62"
2,7000001,9000000,0.00239207,"fc8d62"
2,8000001,10000000,0.00269364,"fc8d62"
2,9000001,11000000,0.00204429,"fc8d62"
2,10000001,12000000,0.00255054,"fc8d62"
2,11000001,13000000,0.00259592,"fc8d62"
2,12000001,14000000,0.00256165,"fc8d62"
2,13000001,15000000,0.00300663,"fc8d62"
2,14000001,16000000,0.00261052,"fc8d62"
2,15000001,17000000,0.00225113,"fc8d62"
2,16000001,18000000,0.00278079,"fc8d62"
2,17000001,19000000,0.003164,"fc8d62"
2,18000001,20000000,0.00260029,"fc8d62"
2,19000001,21000000,0.00240005,"fc8d62"
2,20000001,22000000,0.00278934,"fc8d62"
2,21000001,23000000,0.00253614,"fc8d62"
2,22000001,24000000,0.00188177,"fc8d62"
2,23000001,25000000,0.00202185,"fc8d62"
2,24000001,26000000,0.00204326,"fc8d62"
2,25000001,27000000,0.00197508,"fc8d62"
2,26000001,28000000,0.00177767,"fc8d62"
2,27000001,29000000,0.00240894,"fc8d62"
2,28000001,30000000,0.00346601,"fc8d62"
2,29000001,31000000,0.00322853,"fc8d62"
2,30000001,32000000,0.00217558,"fc8d62"
2,31000001,33000000,0.0021784,"fc8d62"
2,32000001,34000000,0.00310205,"fc8d62"
2,33000001,35000000,0.00287851,"fc8d62"
2,34000001,36000000,0.00266166,"fc8d62"
2,35000001,37000000,0.00286999,"fc8d62"
2,36000001,38000000,0.00207648,"fc8d62"
2,37000001,39000000,0.00154794,"fc8d62"
2,38000001,40000000,0.00245087,"fc8d62"
2,39000001,41000000,0.00244923,"fc8d62"
2,40000001,42000000,0.00244665,"fc8d62"
2,41000001,43000000,0.00254587,"fc8d62"
2,42000001,44000000,0.00261456,"fc8d62"
2,43000001,45000000,0.00318129,"fc8d62"
2,44000001,46000000,0.00315331,"fc8d62"
2,45000001,47000000,0.00248513,"fc8d62"
2,46000001,48000000,0.0022437,"fc8d62"
2,47000001,49000000,0.00247089,"fc8d62"
2,48000001,50000000,0.00198604,"fc8d62"
2,49000001,51000000,0.00200539,"fc8d62"
2,50000001,52000000,0.00193204,"fc8d62"
2,51000001,53000000,0.00212612,"fc8d62"
2,52000001,54000000,0.00293844,"fc8d62"
2,53000001,55000000,0.00275969,"fc8d62"
2,54000001,56000000,0.00195056,"fc8d62"
2,55000001,57000000,0.00223967,"fc8d62"
2,56000001,58000000,0.00254366,"fc8d62"
2,57000001,59000000,0.00239687,"fc8d62"
2,58000001,60000000,0.00253949,"fc8d62"
2,59000001,61000000,0.00251795,"fc8d62"
2,60000001,62000000,0.00244568,"fc8d62"
2,61000001,63000000,0.00193677,"fc8d62"
2,62000001,64000000,0.00230461,"fc8d62"
2,63000001,65000000,0.0026926,"fc8d62"
2,64000001,66000000,0.00242201,"fc8d62"
2,65000001,67000000,0.00287834,"fc8d62"
2,66000001,68000000,0.00256363,"fc8d62"
2,67000001,69000000,0.00166771,"fc8d62"
2,68000001,70000000,0.00186894,"fc8d62"
2,69000001,71000000,0.00200876,"fc8d62"
2,70000001,72000000,0.00202154,"fc8d62"
2,71000001,73000000,0.00225074,"fc8d62"
2,72000001,74000000,0.00205627,"fc8d62"
2,73000001,75000000,0.00172785,"fc8d62"
2,74000001,76000000,0.00147189,"fc8d62"
2,75000001,77000000,0.00225855,"fc8d62"
2,76000001,78000000,0.00289994,"fc8d62"
2,77000001,79000000,0.00293457,"fc8d62"
2,78000001,80000000,0.00317047,"fc8d62"
2,79000001,81000000,0.00264567,"fc8d62"
2,80000001,82000000,0.00167254,"fc8d62"
2,81000001,83000000,0.00187145,"fc8d62"
2,82000001,84000000,0.00238133,"fc8d62"
2,83000001,85000000,0.00216681,"fc8d62"
2,84000001,86000000,0.00205097,"fc8d62"
2,85000001,87000000,0.0022405,"fc8d62"
2,86000001,88000000,0.0027047,"fc8d62"
2,87000001,89000000,0.0027762,"fc8d62"
2,88000001,90000000,0.00211849,"fc8d62"
2,89000001,91000000,0.00186501,"fc8d62"
2,90000001,92000000,0.00237266,"fc8d62"
2,91000001,93000000,0.00235352,"fc8d62"
2,92000001,94000000,0.00225961,"fc8d62"
2,93000001,95000000,0.00270635,"fc8d62"
2,94000001,96000000,0.00318778,"fc8d62"
2,95000001,97000000,0.00296474,"fc8d62"
2,96000001,98000000,0.00297425,"fc8d62"
2,97000001,98364873,0.00204065,"fc8d62"
2,98000001,98364873,0.000324778,"fc8d62"
3,1,2000000,0.00237263,"fc8d62"
3,1000001,3000000,0.00196896,"fc8d62"
3,2000001,4000000,0.00200493,"fc8d62"
3,3000001,5000000,0.00164287,"fc8d62"
3,4000001,6000000,0.00198458,"fc8d62"
3,5000001,7000000,0.00245505,"fc8d62"
3,6000001,8000000,0.00219065,"fc8d62"
3,7000001,9000000,0.00235852,"fc8d62"
3,8000001,10000000,0.00236199,"fc8d62"
