	mergedClusterID	GroupID	Index	POS	CHR	min	max
243	1013_chr9	2	2	2	2	87232045	87232071
244	1014_chr1	1	1	1	1	89606004	89606004
245	1014_chr10	1	1	1	1	76737656	76737656
246	1014_chr11	1	1	1	1	92126760	92126760
247	1014_chr12	1	1	1	1	86594029	86594029
248	1014_chr13	1	1	1	1	56961044	56961044
249	1014_chr14	1	1	1	1	103620542	103620542
250	1014_chr2	1	1	1	1	83975111	83975111
251	1014_chr3	1	1	1	1	82825152	82825152
252	1014_chr4	1	1	1	1	74671801	74671801
253	1014_chr5	1	1	1	1	87273647	87273647
254	1014_chr6	1	1	1	1	83951485	83951485
255	1014_chr7	1	1	1	1	84570261	84570261
256	1014_chr8	2	2	2	2	83843549	83843746
257	1014_chr9	2	2	2	2	87233174	87233175
258	1015_chr1	1	1	1	1	89608777	89608777
259	1015_chr10	1	1	1	1	76818056	76818056
260	1015_chr11	1	1	1	1	92296590	92296590
261	1015_chr12	1	1	1	1	86696845	86696845
262	1015_chr13	1	1	1	1	57055598	57055598
263	1015_chr14	1	1	1	1	104276681	104276681
264	1015_chr2	1	1	1	1	84099832	84099832
265	1015_chr3	2	2	2	2	82887769	82887770
266	1015_chr4	1	1	1	1	74711374	74711374
267	1015_chr5	1	1	1	1	87283132	87283132
268	1015_chr6	1	1	1	1	84011886	84011886
269	1015_chr7	1	1	1	1	84599668	84599668
270	1015_chr8	1	1	1	1	83923390	83923390
271	1015_chr9	1	1	1	1	87387805	87387805
272	1016_chr1	1	1	1	1	89755319	89755319
273	1016_chr10	1	1	1	1	76876537	76876537
274	1016_chr11	1	1	1	1	92417055	92417055
275	1016_chr12	1	1	1	1	86726759	86726759
276	1016_chr13	1	1	1	1	57090507	57090507
277	1016_chr14	1	1	1	1	104289089	104289089
278	1016_chr2	1	1	1	1	84144859	84144859
279	1016_chr3	1	1	1	1	83051827	83051827
280	1016_chr4	1	1	1	1	74783359	74783359
281	1016_chr5	1	1	1	1	87312031	87312031
282	1016_chr6	1	1	1	1	84029314	84029314
283	1016_chr7	1	1	1	1	84706013	84706013
284	1016_chr8	1	1	1	1	84000000	84000000
285	1016_chr9	1	1	1	1	87407803	87407803
286	1017_chr1	1	1	1	1	89783767	89783767
287	1017_chr10	1	1	1	1	76890732	76890732
288	1017_chr11	1	1	1	1	92503211	92503211
289	1017_chr12	1	1	1	1	86743631	86743631
290	1017_chr13	1	1	1	1	57123043	57123043
291	1017_chr14	1	1	1	1	104379328	104379328
292	1017_chr2	1	1	1	1	84166563	84166563
293	1017_chr3	1	1	1	1	83070965	83070965
294	1017_chr4	1	1	1	1	74850488	74850488
295	1017_chr5	1	1	1	1	87321326	87321326
296	1017_chr6	1	1	1	1	84165063	84165063
297	1017_chr7	1	1	1	1	84748999	84748999
298	1017_chr8	1	1	1	1	84071072	84071072
299	1017_chr9	1	1	1	1	87692953	87692953
300	1018_chr1	1	1	1	1	89894029	89894029
301	1018_chr10	1	1	1	1	77034972	77034972
302	1018_chr11	1	1	1	1	92632752	92632752
303	1018_chr12	1	1	1	1	86800418	86800418
304	1018_chr13	6	6	6	6	57159432	57159434
305	1018_chr14	1	1	1	1	104438424	104438424
306	1018_chr2	1	1	1	1	84208602	84208602
307	1018_chr3	1	1	1	1	83219719	83219719
308	1018_chr4	1	1	1	1	74914235	74914235
309	1018_chr5	1	1	1	1	87377732	87377732
310	1018_chr6	1	1	1	1	84277233	84277233
311	1018_chr7	1	1	1	1	84807692	84807692
312	1018_chr8	1	1	1	1	84136538	84136538
313	1018_chr9	1	1	1	1	87727508	87727508
314	1019_chr1	10	10	10	10	90241649	90241664
315	1019_chr10	1	1	1	1	77050275	77050275
316	1019_chr11	1	1	1	1	92662103	92662103
317	1019_chr12	1	1	1	1	86802732	86802732
318	1019_chr13	1	1	1	1	57205996	57205996
319	1019_chr14	7	7	7	7	104813219	104813227
320	1019_chr2	1	1	1	1	84327093	84327093
321	1019_chr3	1	1	1	1	83249210	83249210
322	1019_chr4	1	1	1	1	75023917	75023917
323	1019_chr5	1	1	1	1	87379843	87379843
324	1019_chr6	1	1	1	1	84499303	84499303
325	1019_chr7	1	1	1	1	85084386	85084386
326	1019_chr8	1	1	1	1	84183626	84183626
327	1019_chr9	2	2	2	2	87824644	87825612
328	101_chr1	1	1	1	1	9089362	9089362
329	101_chr10	1	1	1	1	8832136	8832136
330	101_chr11	1	1	1	1	9830739	9830739
331	101_chr12	1	1	1	1	10211105	10211105
332	101_chr13	2	2	2	2	16489300	16489312
333	101_chr14	1	1	1	1	25640796	25640796
334	101_chr15	1	1	1	1	24152255	24152255
335	101_chr16	1	1	1	1	9165121	9165121
336	101_chr17	1	1	1	1	9480569	9480569
337	101_chr18	1	1	1	1	10263157	10263157
338	101_chr19	1	1	1	1	12898426	12898426
339	101_chr2	1	1	1	1	7527911	7527911
340	101_chr20	1	1	1	1	10727641	10727641
341	101_chr21	1	1	1	1	9679512	9679512
342	101_chr22	1	1	1	1	17203911	17203911
343	101_chr3	1	1	1	1	7809565	7809565
344	101_chr4	1	1	1	1	9253467	9253467
345	101_chr5	1	1	1	1	7837405	7837405
346	101_chr6	1	1	1	1	7966766	7966766
347	101_chr7	1	1	1	1	11037862	11037862
348	101_chr8	1	1	1	1	7571137	7571137
349	101_chr9	1	1	1	1	6951616	6951616
350	101_chrX	2	2	2	2	13063629	13063636
351	101_chrY	13	13	13	13	11643653	11643684
352	1020_chr1	1	1	1	1	90285189	90285189
353	1020_chr10	1	1	1	1	77126711	77126711
354	1020_chr11	1	1	1	1	92673687	92673687
355	1020_chr12	1	1	1	1	86944936	86944936
356	1020_chr13	1	1	1	1	57330677	57330677
357	1020_chr14	1	1	1	1	104909454	104909454
358	1020_chr2	1	1	1	1	84531328	84531328
359	1020_chr3	1	1	1	1	83276267	83276267
360	1020_chr4	1	1	1	1	75121313	75121313
361	1020_chr5	1	1	1	1	87408973	87408973
362	1020_chr6	1	1	1	1	84515396	84515396
363	1020_chr7	1	1	1	1	85085683	85085683
364	1020_chr8	8	8	8	8	84367309	84367314
365	1020_chr9	1	1	1	1	87860647	87860647
366	1021_chr1	1	1	1	1	90431028	90431028
367	1021_chr10	1	1	1	1	77155684	77155684
368	1021_chr11	1	1	1	1	92679196	92679196
369	1021_chr12	26	26	26	26	86947633	86947706
370	1021_chr13	1	1	1	1	57346613	57346613
371	1021_chr14	1	1	1	1	104941678	104941678
372	1021_chr2	1	1	1	1	84555862	84555862
373	1021_chr3	1	1	1	1	83327495	83327495
374	1021_chr4	1	1	1	1	75138552	75138552
375	1021_chr5	1	1	1	1	87457306	87457306
376	1021_chr6	1	1	1	1	84535247	84535247
377	1021_chr7	1	1	1	1	85264753	85264753
378	1021_chr8	4	4	4	4	84378180	84378263
379	1021_chr9	1	1	1	1	87986864	87986864
380	1022_chr1	1	1	1	1	90545733	90545733
381	1022_chr10	1	1	1	1	77161052	77161052
382	1022_chr11	1	1	1	1	92683416	92683416
383	1022_chr12	1	1	1	1	86969294	86969294
384	1022_chr13	1	1	1	1	57472088	57472088
385	1022_chr14	1	1	1	1	105153833	105153833
386	1022_chr2	1	1	1	1	84587951	84587951
387	1022_chr3	1	1	1	1	83406616	83406616
388	1022_chr4	1	1	1	1	75200228	75200228
389	1022_chr5	1	1	1	1	87554784	87554784
390	1022_chr6	1	1	1	1	84543759	84543759
391	1022_chr7	4	4	4	4	85278242	85278244
392	1022_chr8	2	2	2	2	84415143	84415206
393	1022_chr9	1	1	1	1	88095348	88095348
394	1023_chr1	1	1	1	1	90922257	90922257
395	1023_chr10	1	1	1	1	77162205	77162205
396	1023_chr11	1	1	1	1	92704680	92704680
397	1023_chr12	1	1	1	1	87083877	87083877
398	1023_chr13	1	1	1	1	57579080	57579080
399	1023_chr14	1	1	1	1	105177492	105177492
400	1023_chr2	1	1	1	1	84707082	84707082
401	1023_chr3	1	1	1	1	83454016	83454016
402	1023_chr4	1	1	1	1	75286633	75286633
403	1023_chr5	1	1	1	1	87625749	87625749
404	1023_chr6	1	1	1	1	84561151	84561151
405	1023_chr7	1	1	1	1	85402307	85402307
406	1023_chr8	1	1	1	1	84421277	84421277
407	1023_chr9	22	22	22	22	88292648	88292664
408	1024_chr1	1	1	1	1	90979107	90979107
409	1024_chr10	1	1	1	1	77169375	77169375
410	1024_chr11	1	1	1	1	92756456	92756456
411	1024_chr12	1	1	1	1	87185960	87185960
412	1024_chr13	1	1	1	1	57627502	57627502
413	1024_chr14	1	1	1	1	105425145	105425145
414	1024_chr2	1	1	1	1	84727929	84727929
415	1024_chr3	1	1	1	1	83485364	83485364
416	1024_chr4	1	1	1	1	75291476	75291476
417	1024_chr5	1	1	1	1	87756647	87756647
418	1024_chr6	1	1	1	1	84837499	84837499
419	1024_chr7	1	1	1	1	85556769	85556769
420	1024_chr8	1	1	1	1	84435949	84435949
421	1024_chr9	1	1	1	1	88391309	88391309
422	1025_chr1	1	1	1	1	91059052	91059052
423	1025_chr10	1	1	1	1	77263625	77263625
424	1025_chr11	1	1	1	1	93014249	93014249
425	1025_chr12	1	1	1	1	87266776	87266776
426	1025_chr13	1	1	1	1	57666751	57666751
427	1025_chr14	1	1	1	1	105697272	105697272
428	1025_chr2	1	1	1	1	84730238	84730238
429	1025_chr3	1	1	1	1	83597552	83597552
430	1025_chr4	1	1	1	1	75463382	75463382
431	1025_chr5	2	2	2	2	87815532	87815672
432	1025_chr6	1	1	1	1	84849453	84849453
433	1025_chr7	1	1	1	1	85568527	85568527
434	1025_chr8	1	1	1	1	84617453	84617453
435	1025_chr9	1	1	1	1	88558596	88558596
436	1026_chr1	1	1	1	1	91179291	91179291
437	1026_chr10	1	1	1	1	77300267	77300267
438	1026_chr11	3	3	3	3	93243467	93243490
439	1026_chr12	1	1	1	1	87306398	87306398
440	1026_chr13	1	1	1	1	57686235	57686235
441	1026_chr14	1	1	1	1	105857899	105857899
442	1026_chr2	1	1	1	1	84896465	84896465
443	1026_chr3	1	1	1	1	83636286	83636286
444	1026_chr4	14	14	14	14	75571655	75571662
445	1026_chr5	1	1	1	1	87904039	87904039
446	1026_chr6	1	1	1	1	84878925	84878925
447	1026_chr7	1	1	1	1	85607614	85607614
448	1026_chr8	1	1	1	1	84798224	84798224
449	1026_chr9	1	1	1	1	88575352	88575352
450	1027_chr1	1	1	1	1	91215271	91215271
451	1027_chr10	1	1	1	1	77317806	77317806
452	1027_chr11	1	1	1	1	93314700	93314700
453	1027_chr12	1	1	1	1	87337545	87337545
454	1027_chr13	1	1	1	1	57808827	57808827
455	1027_chr14	1	1	1	1	105863975	105863975
456	1027_chr2	1	1	1	1	85153330	85153330
457	1027_chr3	1	1	1	1	83737831	83737831
458	1027_chr4	1	1	1	1	75591696	75591696
459	1027_chr5	1	1	1	1	87983753	87983753
460	1027_chr6	1	1	1	1	84970743	84970743
461	1027_chr7	1	1	1	1	85742490	85742490
462	1027_chr8	1	1	1	1	84999336	84999336
463	1027_chr9	1	1	1	1	88596719	88596719
464	1028_chr1	1	1	1	1	91280345	91280345
465	1028_chr10	1	1	1	1	77599833	77599833
466	1028_chr11	1	1	1	1	93385845	93385845
467	1028_chr12	5	5	5	5	87429016	87429191
468	1028_chr13	1	1	1	1	58011536	58011536
469	1028_chr14	1	1	1	1	105934282	105934282
470	1028_chr2	1	1	1	1	85291988	85291988
471	1028_chr3	1	1	1	1	83775909	83775909
472	1028_chr4	1	1	1	1	75692299	75692299
473	1028_chr5	1	1	1	1	88022046	88022046
474	1028_chr6	1	1	1	1	85093706	85093706
475	1028_chr7	1	1	1	1	85812724	85812724
476	1028_chr8	1	1	1	1	85003765	85003765
477	1028_chr9	1	1	1	1	88698356	88698356
478	1029_chr1	1	1	1	1	91450542	91450542
479	1029_chr10	1	1	1	1	77711792	77711792
480	1029_chr11	1	1	1	1	93399577	93399577
481	1029_chr12	1	1	1	1	87503743	87503743
482	1029_chr13	1	1	1	1	58035796	58035796
483	1029_chr14	1	1	1	1	105980695	105980695
484	1029_chr2	1	1	1	1	85295842	85295842
485	1029_chr3	5	5	5	5	83788370	83788395
486	1029_chr4	1	1	1	1	75734479	75734479
487	1029_chr5	1	1	1	1	88026253	88026253
488	1029_chr6	1	1	1	1	85235769	85235769
489	1029_chr7	1	1	1	1	85906988	85906988
490	1029_chr8	4	4	4	4	85086494	85086501
491	1029_chr9	2	2	2	2	88709672	88709672
492	102_chr1	1	1	1	1	9147489	9147489
493	102_chr10	1	1	1	1	8863070	8863070
494	102_chr11	1	1	1	1	9848933	9848933
495	102_chr12	1	1	1	1	10228976	10228976
496	102_chr13	2	2	2	2	16490482	16490537
497	102_chr14	2	2	2	2	25689932	25690146
498	102_chr15	1	1	1	1	24186566	24186566
499	102_chr16	1	1	1	1	9302166	9302166
500	102_chr17	1	1	1	1	9618322	9618322
501	102_chr18	1	1	1	1	10274741	10274741
502	102_chr19	1	1	1	1	12918800	12918800
503	102_chr2	1	1	1	1	7693729	7693729
504	102_chr20	1	1	1	1	10956177	10956177
505	102_chr21	1	1	1	1	9684484	9684484
506	102_chr22	2	2	2	2	17271214	17271303
507	102_chr3	1	1	1	1	7856004	7856004
508	102_chr4	1	1	1	1	9255786	9255786
509	102_chr5	6	6	6	6	8026875	8026881
510	102_chr6	1	1	1	1	7988468	7988468
511	102_chr7	1	1	1	1	11042500	11042500
512	102_chr8	1	1	1	1	7758768	7758768
513	102_chr9	1	1	1	1	6976200	6976200
514	102_chrX	1	1	1	1	13106219	13106219
515	102_chrY	3	3	3	3	11690371	11690443
516	1030_chr1	1	1	1	1	91469866	91469866
517	1030_chr10	1	1	1	1	77812459	77812459
518	1030_chr11	1	1	1	1	93426992	93426992
519	1030_chr12	1	1	1	1	87506647	87506647
520	1030_chr13	1	1	1	1	58062491	58062491
521	1030_chr14	1	1	1	1	106072690	106072690
522	1030_chr2	1	1	1	1	85325612	85325612
523	1030_chr3	1	1	1	1	83803205	83803205
524	1030_chr4	1	1	1	1	75775588	75775588
525	1030_chr5	19	19	19	19	88112311	88112321
526	1030_chr6	1	1	1	1	85442789	85442789
527	1030_chr7	1	1	1	1	86009128	86009128
528	1030_chr8	1	1	1	1	85164528	85164528
529	1030_chr9	1	1	1	1	88804756	88804756
530	1031_chr1	1	1	1	1	91533177	91533177
531	1031_chr10	1	1	1	1	77904307	77904307
532	1031_chr11	1	1	1	1	93446457	93446457
533	1031_chr12	1	1	1	1	87535118	87535118
534	1031_chr13	1	1	1	1	58121300	58121300
535	1031_chr14	1	1	1	1	106365265	106365265
536	1031_chr2	1	1	1	1	85395656	85395656
537	1031_chr3	1	1	1	1	83982844	83982844
538	1031_chr4	1	1	1	1	75782402	75782402
539	1031_chr5	1	1	1	1	88279310	88279310
540	1031_chr6	1	1	1	1	85469489	85469489
541	1031_chr7	1	1	1	1	86016750	86016750
542	1031_chr8	1	1	1	1	85302849	85302849
543	1031_chr9	1	1	1	1	88820698	88820698
544	1032_chr1	5	5	5	5	91561238	91561257
545	1032_chr10	1	1	1	1	77905344	77905344
546	1032_chr11	1	1	1	1	93620272	93620272
547	1032_chr12	1	1	1	1	87571329	87571329
548	1032_chr13	1	1	1	1	58145807	58145807
549	1032_chr14	1	1	1	1	106380870	106380870
550	1032_chr2	1	1	1	1	85483743	85483743
551	1032_chr3	1	1	1	1	84032044	84032044
552	1032_chr4	1	1	1	1	75801434	75801434
553	1032_chr5	1	1	1	1	88391047	88391047
554	1032_chr6	1	1	1	1	85747525	85747525
555	1032_chr7	1	1	1	1	86055903	86055903
556	1032_chr8	1	1	1	1	85333638	85333638
557	1032_chr9	1	1	1	1	88854556	88854556
558	1033_chr1	1	1	1	1	91894626	91894626
559	1033_chr10	1	1	1	1	77908952	77908952
560	1033_chr11	1	1	1	1	93650055	93650055
561	1033_chr12	1	1	1	1	87592211	87592211
562	1033_chr13	1	1	1	1	58185398	58185398
