mergedClusterID	CHR	chr_order	min	max	mid_pos	x	POS
1005_chr4	chr4	4	74144724	74144724	74144724.0	763330634.0	1
1005_chr5	chr5	5	86282775	86282775	86282775.0	965650209.0	1
1005_chr6	chr6	6	83106042	83106042	83106042.0	1143941252.0	1
1005_chr7	chr7	7	84204969	84204969	84204969.0	1315735570.0	1
1005_chr8	chr8	8	83082250	83082250	83082250.0	1473856552.0	1
1005_chr9	chr9	9	86387875	86387875	86387875.0	1622183931.0	1
1006_chr1	chr1	1	89188001	89188001	89188001.0	89188001.0	1
1006_chr10	chr10	10	76083051	76083051	76083051.0	1750110424.0	1
1006_chr11	chr11	11	91435618	91435618	91435618.0	1899250322.0	1
1006_chr12	chr12	12	85492740	85492740	85492740.0	2028313899.0	1
1006_chr13	chr13	13	56231750	56231750	56231750.0	2132318062.0	1
1006_chr14	chr14	14	102972688	102972689	102972688.5	2293413179.5	2
1006_chr2	chr2	2	82834450	82834457	82834453.5	331780778.5	5
1006_chr3	chr3	3	82218834	82218834	82218834.0	573188349.0	1
1006_chr4	chr4	4	74253497	74253497	74253497.0	763439407.0	1
1006_chr5	chr5	5	86639719	86639719	86639719.0	966007153.0	1
1006_chr6	chr6	6	83158204	83158204	83158204.0	1143993414.0	1
1006_chr7	chr7	7	84208607	84208607	84208607.0	1315739208.0	1
1006_chr8	chr8	8	83222684	83222684	83222684.0	1473996986.0	1
1006_chr9	chr9	9	86425379	86425385	86425382.0	1622221438.0	8
1007_chr1	chr1	1	89213384	89213384	89213384.0	89213384.0	1
1007_chr10	chr10	10	76088605	76088605	76088605.0	1750115978.0	1
1007_chr11	chr11	11	91439681	91439681	91439681.0	1899254385.0	1
1007_chr12	chr12	12	85655062	85655062	85655062.0	2028476221.0	1
1007_chr13	chr13	13	56280670	56280670	56280670.0	2132366982.0	1
1007_chr14	chr14	14	103062063	103062063	103062063.0	2293502554.0	1
1007_chr2	chr2	2	82966431	82966431	82966431.0	331912756.0	1
1007_chr3	chr3	3	82228795	82228795	82228795.0	573198310.0	1
1007_chr4	chr4	4	74383611	74383611	74383611.0	763569521.0	1
1007_chr5	chr5	5	86750991	86750991	86750991.0	966118425.0	1
1007_chr6	chr6	6	83189207	83189207	83189207.0	1144024417.0	1
1007_chr7	chr7	7	84381711	84381711	84381711.0	1315912312.0	1
1007_chr8	chr8	8	83267160	83267160	83267160.0	1474041462.0	1
1007_chr9	chr9	9	86680869	86680869	86680869.0	1622476925.0	1
1008_chr1	chr1	1	89408287	89408287	89408287.0	89408287.0	1
1008_chr10	chr10	10	76136571	76136571	76136571.0	1750163944.0	1
1008_chr11	chr11	11	91538634	91538634	91538634.0	1899353338.0	1
1008_chr12	chr12	12	85688908	85688908	85688908.0	2028510067.0	1
1008_chr13	chr13	13	56535668	56535668	56535668.0	2132621980.0	1
1008_chr14	chr14	14	103126454	103126454	103126454.0	2293566945.0	1
1008_chr2	chr2	2	82977486	82977486	82977486.0	331923811.0	1
1008_chr3	chr3	3	82252729	82252729	82252729.0	573222244.0	1
1008_chr4	chr4	4	74426794	74426794	74426794.0	763612704.0	1
1008_chr5	chr5	5	86770443	86770469	86770456.0	966137890.0	11
1008_chr6	chr6	6	83279214	83279214	83279214.0	1144114424.0	1
1008_chr7	chr7	7	84397017	84397017	84397017.0	1315927618.0	1
1008_chr8	chr8	8	83381683	83381683	83381683.0	1474155985.0	1
1008_chr9	chr9	9	86803851	86803851	86803851.0	1622599907.0	1
1009_chr1	chr1	1	89426292	89426292	89426292.0	89426292.0	1
1009_chr10	chr10	10	76249562	76249562	76249562.0	1750276935.0	1
1009_chr11	chr11	11	91629033	91629033	91629033.0	1899443737.0	1
1009_chr12	chr12	12	85796274	85796274	85796274.0	2028617433.0	1
1009_chr13	chr13	13	56557648	56557648	56557648.0	2132643960.0	1
1009_chr14	chr14	14	103136315	103136315	103136315.0	2293576806.0	1
1009_chr2	chr2	2	82995518	82995518	82995518.0	331941843.0	1
1009_chr3	chr3	3	82367374	82367374	82367374.0	573336889.0	1
1009_chr4	chr4	4	74441042	74441042	74441042.0	763626952.0	1
1009_chr5	chr5	5	86832101	86832101	86832101.0	966199535.0	1
1009_chr6	chr6	6	83639928	83639928	83639928.0	1144475138.0	1
1009_chr7	chr7	7	84410637	84410637	84410637.0	1315941238.0	1
1009_chr8	chr8	8	83429686	83429686	83429686.0	1474203988.0	1
1009_chr9	chr9	9	86825187	86825187	86825187.0	1622621243.0	1
100_chr1	chr1	1	9081260	9081265	9081262.5	9081262.5	9
100_chr10	chr10	10	8678663	8678668	8678665.5	1682706038.5	10
100_chr11	chr11	11	9597934	9597934	9597934.0	1817412638.0	1
100_chr12	chr12	12	10148324	10148324	10148324.0	1952969483.0	1
100_chr13	chr13	13	16487857	16487857	16487857.0	2092574169.0	1
100_chr14	chr14	14	25587363	25587363	25587363.0	2216027854.0	1
100_chr15	chr15	15	24137342	24137343	24137342.5	2321354899.5	2
100_chr16	chr16	16	9126840	9126840	9126840.0	2408318495.0	1
100_chr17	chr17	17	9450858	9450858	9450858.0	2498832435.0	1
100_chr18	chr18	18	10232705	10232705	10232705.0	2582689760.0	1
100_chr19	chr19	19	12890880	12890880	12890880.0	2665611021.0	1
100_chr2	chr2	2	7492041	7492041	7492041.0	256438366.0	1
100_chr20	chr20	20	10614920	10614920	10614920.0	2721939959.0	1
100_chr21	chr21	21	9676276	9676814	9676545.0	2785142166.0	530
100_chr22	chr22	22	16964754	16964754	16964754.0	2838886776.0	1
100_chr3	chr3	3	7754947	7754947	7754947.0	498724462.0	1
100_chr4	chr4	4	9242704	9242704	9242704.0	698428614.0	1
100_chr5	chr5	5	7790395	7790395	7790395.0	887157829.0	1
100_chr6	chr6	6	7937795	7937887	7937841.0	1068773051.0	10
100_chr7	chr7	7	11013624	11013624	11013624.0	1242544225.0	1
100_chr8	chr8	8	7555840	7555840	7555840.0	1398330142.0	1
100_chr9	chr9	9	6935587	6935587	6935587.0	1542731643.0	1
100_chrX	chrX	23	12949765	12949765	12949765.0	2885679740.0	1
100_chrY	chrY	24	11581805	11581805	11581805.0	3040342413.0	1
1010_chr1	chr1	1	89474801	89474801	89474801.0	89474801.0	1
1010_chr10	chr10	10	76264410	76264410	76264410.0	1750291783.0	1
1010_chr11	chr11	11	91685262	91685262	91685262.0	1899499966.0	1
1010_chr12	chr12	12	85873158	85873158	85873158.0	2028694317.0	1
1010_chr13	chr13	13	56665274	56665274	56665274.0	2132751586.0	1
1010_chr14	chr14	14	103177704	103177704	103177704.0	2293618195.0	1
1010_chr2	chr2	2	83033939	83033939	83033939.0	331980264.0	1
1010_chr3	chr3	3	82390586	82390586	82390586.0	573360101.0	1
1010_chr4	chr4	4	74491884	74491884	74491884.0	763677794.0	1
1010_chr5	chr5	5	87041114	87041114	87041114.0	966408548.0	1
1010_chr6	chr6	6	83782269	83782269	83782269.0	1144617479.0	1
1010_chr7	chr7	7	84417612	84417612	84417612.0	1315948213.0	1
1010_chr8	chr8	8	83620714	83620714	83620714.0	1474395016.0	1
1010_chr9	chr9	9	86956877	86956877	86956877.0	1622752933.0	1
1011_chr1	chr1	1	89476781	89476781	89476781.0	89476781.0	1
1011_chr10	chr10	10	76423090	76423090	76423090.0	1750450463.0	1
1011_chr11	chr11	11	91763762	91763762	91763762.0	1899578466.0	1
1011_chr12	chr12	12	85927929	85927929	85927929.0	2028749088.0	1
1011_chr13	chr13	13	56685014	56685014	56685014.0	2132771326.0	1
1011_chr14	chr14	14	103221296	103221296	103221296.0	2293661787.0	1
1011_chr2	chr2	2	83565815	83565815	83565815.0	332512140.0	1
1011_chr3	chr3	3	82460248	82460248	82460248.0	573429763.0	1
1011_chr4	chr4	4	74517962	74517962	74517962.0	763703872.0	1
1011_chr5	chr5	5	87054014	87054014	87054014.0	966421448.0	1
1011_chr6	chr6	6	83864523	83864523	83864523.0	1144699733.0	1
1011_chr7	chr7	7	84444771	84444771	84444771.0	1315975372.0	1
1011_chr8	chr8	8	83628936	83628936	83628936.0	1474403238.0	1
1011_chr9	chr9	9	87077708	87077708	87077708.0	1622873764.0	1
1012_chr1	chr1	1	89569721	89569721	89569721.0	89569721.0	1
1012_chr10	chr10	10	76499175	76499175	76499175.0	1750526548.0	1
1012_chr11	chr11	11	91793740	91793740	91793740.0	1899608444.0	1
1012_chr12	chr12	12	86379738	86379738	86379738.0	2029200897.0	1
1012_chr13	chr13	13	56922490	56922490	56922490.0	2133008802.0	1
1012_chr14	chr14	14	103247953	103247953	103247953.0	2293688444.0	1
1012_chr2	chr2	2	83804436	83804436	83804436.0	332750761.0	1
1012_chr3	chr3	3	82510030	82510030	82510030.0	573479545.0	1
1012_chr4	chr4	4	74537438	74537438	74537438.0	763723348.0	1
1012_chr5	chr5	5	87122293	87122293	87122293.0	966489727.0	1
1012_chr6	chr6	6	83894034	83894034	83894034.0	1144729244.0	1
1012_chr7	chr7	7	84468083	84468083	84468083.0	1315998684.0	1
1012_chr8	chr8	8	83712220	83712220	83712220.0	1474486522.0	1
1012_chr9	chr9	9	87118185	87118185	87118185.0	1622914241.0	1
1013_chr1	chr1	1	89584935	89584935	89584935.0	89584935.0	1
1013_chr10	chr10	10	76523928	76523928	76523928.0	1750551301.0	1
1013_chr11	chr11	11	91993953	91993953	91993953.0	1899808657.0	1
1013_chr12	chr12	12	86517523	86517523	86517523.0	2029338682.0	1
1013_chr13	chr13	13	56956069	56956831	56956450.0	2133042762.0	2
1013_chr14	chr14	14	103430771	103430771	103430771.0	2293871262.0	1
1013_chr2	chr2	2	83900998	83900998	83900998.0	332847323.0	1
1013_chr3	chr3	3	82778975	82779018	82778996.5	573748511.5	3
1013_chr4	chr4	4	74641247	74641247	74641247.0	763827157.0	1
1013_chr5	chr5	5	87157456	87157461	87157458.5	966524892.5	11
1013_chr6	chr6	6	83905209	83905209	83905209.0	1144740419.0	1
1013_chr7	chr7	7	84546064	84546064	84546064.0	1316076665.0	1
1013_chr8	chr8	8	83841791	83842545	83842168.0	1474616470.0	2
1013_chr9	chr9	9	87232045	87232071	87232058.0	1623028114.0	2
1014_chr1	chr1	1	89606004	89606004	89606004.0	89606004.0	1
1014_chr10	chr10	10	76737656	76737656	76737656.0	1750765029.0	1
1014_chr11	chr11	11	92126760	92126760	92126760.0	1899941464.0	1
1014_chr12	chr12	12	86594029	86594029	86594029.0	2029415188.0	1
1014_chr13	chr13	13	56961044	56961044	56961044.0	2133047356.0	1
1014_chr14	chr14	14	103620542	103620542	103620542.0	2294061033.0	1
1014_chr2	chr2	2	83975111	83975111	83975111.0	332921436.0	1
1014_chr3	chr3	3	82825152	82825152	82825152.0	573794667.0	1
1014_chr4	chr4	4	74671801	74671801	74671801.0	763857711.0	1
1014_chr5	chr5	5	87273647	87273647	87273647.0	966641081.0	1
1014_chr6	chr6	6	83951485	83951485	83951485.0	1144786695.0	1
1014_chr7	chr7	7	84570261	84570261	84570261.0	1316100862.0	1
1014_chr8	chr8	8	83843549	83843746	83843647.5	1474617949.5	2
1014_chr9	chr9	9	87233174	87233175	87233174.5	1623029230.5	2
1015_chr1	chr1	1	89608777	89608777	89608777.0	89608777.0	1
1015_chr10	chr10	10	76818056	76818056	76818056.0	1750845429.0	1
1015_chr11	chr11	11	92296590	92296590	92296590.0	1900111294.0	1
1015_chr12	chr12	12	86696845	86696845	86696845.0	2029518004.0	1
1015_chr13	chr13	13	57055598	57055598	57055598.0	2133141910.0	1
1015_chr14	chr14	14	104276681	104276681	104276681.0	2294717172.0	1
1015_chr2	chr2	2	84099832	84099832	84099832.0	333046157.0	1
1015_chr3	chr3	3	82887769	82887770	82887769.5	573857284.5	2
1015_chr4	chr4	4	74711374	74711374	74711374.0	763897284.0	1
1015_chr5	chr5	5	87283132	87283132	87283132.0	966650566.0	1
1015_chr6	chr6	6	84011886	84011886	84011886.0	1144847096.0	1
1015_chr7	chr7	7	84599668	84599668	84599668.0	1316130269.0	1
1015_chr8	chr8	8	83923390	83923390	83923390.0	1474697692.0	1
1015_chr9	chr9	9	87387805	87387805	87387805.0	1623183861.0	1
1016_chr1	chr1	1	89755319	89755319	89755319.0	89755319.0	1
1016_chr10	chr10	10	76876537	76876537	76876537.0	1750903910.0	1
1016_chr11	chr11	11	92417055	92417055	92417055.0	1900231759.0	1
1016_chr12	chr12	12	86726759	86726759	86726759.0	2029547918.0	1
1016_chr13	chr13	13	57090507	57090507	57090507.0	2133176819.0	1
1016_chr14	chr14	14	104289089	104289089	104289089.0	2294729580.0	1
1016_chr2	chr2	2	84144859	84144859	84144859.0	333091184.0	1
1016_chr3	chr3	3	83051827	83051827	83051827.0	574021342.0	1
1016_chr4	chr4	4	74783359	74783359	74783359.0	763969269.0	1
1016_chr5	chr5	5	87312031	87312031	87312031.0	966679465.0	1
1016_chr6	chr6	6	84029314	84029314	84029314.0	1144864524.0	1
1016_chr7	chr7	7	84706013	84706013	84706013.0	1316236614.0	1
1016_chr8	chr8	8	84000000	84000000	84000000.0	1474774302.0	1
1016_chr9	chr9	9	87407803	87407803	87407803.0	1623203859.0	1
1017_chr1	chr1	1	89783767	89783767	89783767.0	89783767.0	1
1017_chr10	chr10	10	76890732	76890732	76890732.0	1750918105.0	1
1017_chr11	chr11	11	92503211	92503211	92503211.0	1900317915.0	1
1017_chr12	chr12	12	86743631	86743631	86743631.0	2029564790.0	1
1017_chr13	chr13	13	57123043	57123043	57123043.0	2133209355.0	1
1017_chr14	chr14	14	104379328	104379328	104379328.0	2294819819.0	1
1017_chr2	chr2	2	84166563	84166563	84166563.0	333112888.0	1
1017_chr3	chr3	3	83070965	83070965	83070965.0	574040480.0	1
1017_chr4	chr4	4	74850488	74850488	74850488.0	764036398.0	1
1017_chr5	chr5	5	87321326	87321326	87321326.0	966688760.0	1
1017_chr6	chr6	6	84165063	84165063	84165063.0	1145000273.0	1
1017_chr7	chr7	7	84748999	84748999	84748999.0	1316279600.0	1
1017_chr8	chr8	8	84071072	84071072	84071072.0	1474845374.0	1
1017_chr9	chr9	9	87692953	87692953	87692953.0	1623489009.0	1
1018_chr1	chr1	1	89894029	89894029	89894029.0	89894029.0	1
1018_chr10	chr10	10	77034972	77034972	77034972.0	1751062345.0	1
1018_chr11	chr11	11	92632752	92632752	92632752.0	1900447456.0	1
1018_chr12	chr12	12	86800418	86800418	86800418.0	2029621577.0	1
1018_chr13	chr13	13	57159432	57159434	57159433.0	2133245745.0	6
1018_chr14	chr14	14	104438424	104438424	104438424.0	2294878915.0	1
1018_chr2	chr2	2	84208602	84208602	84208602.0	333154927.0	1
1018_chr3	chr3	3	83219719	83219719	83219719.0	574189234.0	1
1018_chr4	chr4	4	74914235	74914235	74914235.0	764100145.0	1
1018_chr5	chr5	5	87377732	87377732	87377732.0	966745166.0	1
1018_chr6	chr6	6	84277233	84277233	84277233.0	1145112443.0	1
1018_chr7	chr7	7	84807692	84807692	84807692.0	1316338293.0	1
1018_chr8	chr8	8	84136538	84136538	84136538.0	1474910840.0	1
1018_chr9	chr9	9	87727508	87727508	87727508.0	1623523564.0	1
1019_chr1	chr1	1	90241649	90241664	90241656.5	90241656.5	10
1019_chr10	chr10	10	77050275	77050275	77050275.0	1751077648.0	1
1019_chr11	chr11	11	92662103	92662103	92662103.0	1900476807.0	1
1019_chr12	chr12	12	86802732	86802732	86802732.0	2029623891.0	1
1019_chr13	chr13	13	57205996	57205996	57205996.0	2133292308.0	1
1019_chr14	chr14	14	104813219	104813227	104813223.0	2295253714.0	7
1019_chr2	chr2	2	84327093	84327093	84327093.0	333273418.0	1
1019_chr3	chr3	3	83249210	83249210	83249210.0	574218725.0	1
1019_chr4	chr4	4	75023917	75023917	75023917.0	764209827.0	1
1019_chr5	chr5	5	87379843	87379843	87379843.0	966747277.0	1
1019_chr6	chr6	6	84499303	84499303	84499303.0	1145334513.0	1
1019_chr7	chr7	7	85084386	85084386	85084386.0	1316614987.0	1
1019_chr8	chr8	8	84183626	84183626	84183626.0	1474957928.0	1
1019_chr9	chr9	9	87824644	87825612	87825128.0	1623621184.0	2
101_chr1	chr1	1	9089362	9089362	9089362.0	9089362.0	1
101_chr10	chr10	10	8832136	8832136	8832136.0	1682859509.0	1
101_chr11	chr11	11	9830739	9830739	9830739.0	1817645443.0	1
101_chr12	chr12	12	10211105	10211105	10211105.0	1953032264.0	1
101_chr13	chr13	13	16489300	16489312	16489306.0	2092575618.0	2
101_chr14	chr14	14	25640796	25640796	25640796.0	2216081287.0	1
101_chr15	chr15	15	24152255	24152255	24152255.0	2321369812.0	1
101_chr16	chr16	16	9165121	9165121	9165121.0	2408356776.0	1
101_chr17	chr17	17	9480569	9480569	9480569.0	2498862146.0	1
101_chr18	chr18	18	10263157	10263157	10263157.0	2582720212.0	1
101_chr19	chr19	19	12898426	12898426	12898426.0	2665618567.0	1
101_chr2	chr2	2	7527911	7527911	7527911.0	256474236.0	1
101_chr20	chr20	20	10727641	10727641	10727641.0	2722052680.0	1
101_chr21	chr21	21	9679512	9679512	9679512.0	2785145133.0	1
101_chr22	chr22	22	17203911	17203911	17203911.0	2839125933.0	1
101_chr3	chr3	3	7809565	7809565	7809565.0	498779080.0	1
101_chr4	chr4	4	9253467	9253467	9253467.0	698439377.0	1
101_chr5	chr5	5	7837405	7837405	7837405.0	887204839.0	1
101_chr6	chr6	6	7966766	7966766	7966766.0	1068801976.0	1
101_chr7	chr7	7	11037862	11037862	11037862.0	1242568463.0	1
101_chr8	chr8	8	7571137	7571137	7571137.0	1398345439.0	1
101_chr9	chr9	9	6951616	6951616	6951616.0	1542747672.0	1
101_chrX	chrX	23	13063629	13063636	13063632.5	2885793607.5	2
101_chrY	chrY	24	11643653	11643684	11643668.5	3040404276.5	13
1020_chr1	chr1	1	90285189	90285189	90285189.0	90285189.0	1
1020_chr10	chr10	10	77126711	77126711	77126711.0	1751154084.0	1
1020_chr11	chr11	11	92673687	92673687	92673687.0	1900488391.0	1
1020_chr12	chr12	12	86944936	86944936	86944936.0	2029766095.0	1
1020_chr13	chr13	13	57330677	57330677	57330677.0	2133416989.0	1
1020_chr14	chr14	14	104909454	104909454	104909454.0	2295349945.0	1
1020_chr2	chr2	2	84531328	84531328	84531328.0	333477653.0	1
1020_chr3	chr3	3	83276267	83276267	83276267.0	574245782.0	1
1020_chr4	chr4	4	75121313	75121313	75121313.0	764307223.0	1
1020_chr5	chr5	5	87408973	87408973	87408973.0	966776407.0	1
1020_chr6	chr6	6	84515396	84515396	84515396.0	1145350606.0	1
1020_chr7	chr7	7	85085683	85085683	85085683.0	1316616284.0	1
1020_chr8	chr8	8	84367309	84367314	84367311.5	1475141613.5	8
1020_chr9	chr9	9	87860647	87860647	87860647.0	1623656703.0	1
1021_chr1	chr1	1	90431028	90431028	90431028.0	90431028.0	1
1021_chr10	chr10	10	77155684	77155684	77155684.0	1751183057.0	1
1021_chr11	chr11	11	92679196	92679196	92679196.0	1900493900.0	1
1021_chr12	chr12	12	86947633	86947706	86947669.5	2029768828.5	26
1021_chr13	chr13	13	57346613	57346613	57346613.0	2133432925.0	1
1021_chr14	chr14	14	104941678	104941678	104941678.0	2295382169.0	1
1021_chr2	chr2	2	84555862	84555862	84555862.0	333502187.0	1
1021_chr3	chr3	3	83327495	83327495	83327495.0	574297010.0	1
1021_chr4	chr4	4	75138552	75138552	75138552.0	764324462.0	1
1021_chr5	chr5	5	87457306	87457306	87457306.0	966824740.0	1
1021_chr6	chr6	6	84535247	84535247	84535247.0	1145370457.0	1
1021_chr7	chr7	7	85264753	85264753	85264753.0	1316795354.0	1
1021_chr8	chr8	8	84378180	84378263	84378221.5	1475152523.5	4
1021_chr9	chr9	9	87986864	87986864	87986864.0	1623782920.0	1
1022_chr1	chr1	1	90545733	90545733	90545733.0	90545733.0	1
1022_chr10	chr10	10	77161052	77161052	77161052.0	1751188425.0	1
1022_chr11	chr11	11	92683416	92683416	92683416.0	1900498120.0	1
1022_chr12	chr12	12	86969294	86969294	86969294.0	2029790453.0	1
1022_chr13	chr13	13	57472088	57472088	57472088.0	2133558400.0	1
1022_chr14	chr14	14	105153833	105153833	105153833.0	2295594324.0	1
1022_chr2	chr2	2	84587951	84587951	84587951.0	333534276.0	1
1022_chr3	chr3	3	83406616	83406616	83406616.0	574376131.0	1
1022_chr4	chr4	4	75200228	75200228	75200228.0	764386138.0	1
1022_chr5	chr5	5	87554784	87554784	87554784.0	966922218.0	1
1022_chr6	chr6	6	84543759	84543759	84543759.0	1145378969.0	1
1022_chr7	chr7	7	85278242	85278244	85278243.0	1316808844.0	4
1022_chr8	chr8	8	84415143	84415206	84415174.5	1475189476.5	2
1022_chr9	chr9	9	88095348	88095348	88095348.0	1623891404.0	1
